N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 1.212072919E+00 1.208695640E+00 1.206179953E+00 1.203913793E+00
1.016672606E+01 1.212913380E+00 1.209426017E+00 1.206846404E+00 1.204547494E+00
1.033324570E+01 1.213542415E+00 1.209984146E+00 1.207372407E+00 1.205068516E+00
1.049996187E+01 1.214026345E+00 1.210434278E+00 1.207821936E+00 1.205542122E+00
1.066670514E+01 1.214422567E+00 1.210832640E+00 1.208252301E+00 1.206028308E+00
1.083333839E+01 1.214781648E+00 1.211230738E+00 1.208717970E+00 1.206585556E+00
1.100000000E+01 1.215150696E+00 1.211679047E+00 1.209273927E+00 1.207273234E+00
1.116672606E+01 1.215577033E+00 1.212230219E+00 1.209977591E+00 1.208151466E+00
1.133324570E+01 1.216111461E+00 1.212940876E+00 1.210888291E+00 1.209277790E+00
1.149996187E+01 1.216810383E+00 1.213871178E+00 1.212063779E+00 1.210701238E+00
1.166670514E+01 1.217735917E+00 1.215081714E+00 1.213554939E+00 1.212457222E+00
1.183333839E+01 1.218953563E+00 1.216628758E+00 1.215401664E+00 1.214567281E+00
1.200000000E+01 1.220527889E+00 1.218560216E+00 1.217632632E+00 1.217043784E+00
1.216672606E+01 1.222517537E+00 1.220913573E+00 1.220267053E+00 1.219893178E+00
1.233324570E+01 1.224970105E+00 1.223713333E+00 1.223312561E+00 1.223112316E+00
1.249996187E+01 1.227914896E+00 1.226964258E+00 1.226758320E+00 1.226682578E+00
1.266670514E+01 1.231352286E+00 1.230643358E+00 1.230571642E+00 1.230571483E+00
1.283333839E+01 1.235245455E+00 1.234700295E+00 1.234705107E+00 1.234741957E+00
1.300000000E+01 1.239524186E+00 1.239069512E+00 1.239108711E+00 1.239159437E+00
