N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 1.261749436E+00 1.256793939E+00 1.253265217E+00 1.249886794E+00
1.016672606E+01 1.273648629E+00 1.269214024E+00 1.266191921E+00 1.263306476E+00
1.033324570E+01 1.282757637E+00 1.278709305E+00 1.276077050E+00 1.273585195E+00
1.049996187E+01 1.289744735E+00 1.285954521E+00 1.283601438E+00 1.281407471E+00
1.066670514E+01 1.295158741E+00 1.291525231E+00 1.289365998E+00 1.287396729E+00
1.083333839E+01 1.299411668E+00 1.295871244E+00 1.293855192E+00 1.292068473E+00
1.100000000E+01 1.302807437E+00 1.299338207E+00 1.297451114E+00 1.295836370E+00
1.116672606E+01 1.305584844E+00 1.302203906E+00 1.300463427E+00 1.299035652E+00
1.133324570E+01 1.307951801E+00 1.304706899E+00 1.303152723E+00 1.301941517E+00
1.149996187E+01 1.310102824E+00 1.307059960E+00 1.305740317E+00 1.304775972E+00
1.166670514E+01 1.312222163E+00 1.309450643E+00 1.308406993E+00 1.307706582E+00
1.183333839E+01 1.314478227E+00 1.312034373E+00 1.311287286E+00 1.310844875E+00
1.200000000E+01 1.317013673E+00 1.314925694E+00 1.314465827E+00 1.314250310E+00
1.216672606E+01 1.319934122E+00 1.318192359E+00 1.317980147E+00 1.317941496E+00
1.233324570E+01 1.323299087E+00 1.321856044E+00 1.321830724E+00 1.321912257E+00
1.249996187E+01 1.327119554E+00 1.325901284E+00 1.325996492E+00 1.326148126E+00
1.266670514E+01 1.331365527E+00 1.330291596E+00 1.330451226E+00 1.330638057E+00
1.283333839E+01 1.335983623E+00 1.334987173E+00 1.335174312E+00 1.335377361E+00
1.300000000E+01 1.340917472E+00 1.339955759E+00 1.340151805E+00 1.340363062E+00
