N_Fe N_B T d n_Fe n_Fe_SRH
1.000000E+13 1.360E+15 340 3.500E-4 1.020246043E+00 1.020250543E+00
1.292000E+13 1.360E+15 340 3.500E-4 1.022637960E+00 1.022642343E+00
1.668000E+13 1.360E+15 340 3.500E-4 1.025291805E+00 1.025296079E+00
2.154000E+13 1.360E+15 340 3.500E-4 1.028223192E+00 1.028227356E+00
2.783000E+13 1.360E+15 340 3.500E-4 1.031451658E+00 1.031455731E+00
3.594000E+13 1.360E+15 340 3.500E-4 1.035437974E+00 1.035441945E+00
4.642000E+13 1.360E+15 340 3.500E-4 1.039302156E+00 1.039305932E+00
5.995000E+13 1.360E+15 340 3.500E-4 1.043988148E+00 1.043991734E+00
7.743000E+13 1.360E+15 340 3.500E-4 1.048468578E+00 1.048471936E+00
1.000000E+14 1.360E+15 340 3.500E-4 1.053189465E+00 1.053192529E+00
