N_Fe N_B T d n_FeB n_FeB_SRH
1.000000E+13 1.360E+15 340 3.500E-4 1.032113956E+00 1.032139322E+00
1.292000E+13 1.360E+15 340 3.500E-4 1.037357090E+00 1.037380817E+00
1.668000E+13 1.360E+15 340 3.500E-4 1.042179328E+00 1.042201313E+00
2.154000E+13 1.360E+15 340 3.500E-4 1.046623494E+00 1.046643692E+00
2.783000E+13 1.360E+15 340 3.500E-4 1.050723094E+00 1.050741553E+00
3.594000E+13 1.360E+15 340 3.500E-4 1.054429989E+00 1.036094739E+00
4.642000E+13 1.360E+15 340 3.500E-4 1.057890903E+00 1.057906104E+00
5.995000E+13 1.360E+15 340 3.500E-4 1.044838252E+00 1.044843201E+00
7.743000E+13 1.360E+15 340 3.500E-4 1.049850167E+00 1.049855332E+00
1.000000E+14 1.360E+15 340 3.500E-4 1.055312173E+00 1.055317093E+00
