Fe nFsrh nFBsrh dnsrh nF nFB dn
1.000000000E+10 1.215336774E+00 1.213751160E+0 1.585614000E-03 1.215336774E+00 1.213751160E+0 1.585614000E-03
1.468000015E+10 1.215345664E+00 1.215120079E+0 2.255850000E-04 1.215345664E+00 1.215120079E+0 2.255850000E-04
2.154000005E+10 1.215358487E+00 1.216473614E+0 -1.115127000E-03 1.215358487E+00 1.216473614E+0 -1.115127000E-03
3.162000032E+10 1.215377154E+00 1.217815398E+0 -2.438244000E-03 1.215377154E+00 1.217815398E+0 -2.438244000E-03
4.642000041E+10 1.215404197E+00 1.219144380E+0 -3.740183000E-03 1.215404197E+00 1.219144380E+0 -3.740183000E-03
6.813000017E+10 1.215443092E+00 1.220459804E+0 -5.016712000E-03 1.215443092E+00 1.220459804E+0 -5.016712000E-03
1.000000000E+11 1.215596531E+00 1.221763085E+0 -6.166554000E-03 1.215596531E+00 1.221763085E+0 -6.166554000E-03
1.468000015E+11 1.217089256E+00 1.223054796E+0 -5.965540000E-03 1.217089256E+00 1.223054796E+0 -5.965540000E-03
2.154000005E+11 1.219245339E+00 1.224333143E+0 -5.087804000E-03 1.219245339E+00 1.224333143E+0 -5.087804000E-03
3.162000032E+11 1.222337547E+00 1.225601499E+0 -3.263952000E-03 1.222337547E+00 1.225601499E+0 -3.263952000E-03
4.642000041E+11 1.226269417E+00 1.226858819E+0 -5.894020000E-04 1.226269417E+00 1.226858819E+0 -5.894020000E-04
6.813000017E+11 1.226546579E+00 1.228104336E+0 -1.557757000E-03 1.226546579E+00 1.228104336E+0 -1.557757000E-03
1.000000000E+12 1.226883815E+00 1.229339341E+0 -2.455526000E-03 1.226883815E+00 1.229339341E+0 -2.455526000E-03
1.468000015E+12 1.227271578E+00 1.230564331E+0 -3.292753000E-03 1.227271578E+00 1.230564331E+0 -3.292753000E-03
2.154000005E+12 1.227704678E+00 1.231777561E+0 -4.072883000E-03 1.227704678E+00 1.231777561E+0 -4.072883000E-03
3.162000032E+12 1.228213680E+00 1.232982189E+0 -4.768509000E-03 1.228213680E+00 1.232982189E+0 -4.768509000E-03
4.642000041E+12 1.228627326E+00 1.234177188E+0 -5.549862000E-03 1.228627326E+00 1.234177188E+0 -5.549862000E-03
6.813000017E+12 1.239879754E+00 1.235361788E+0 4.517966000E-03 1.239879754E+00 1.235361788E+0 4.517966000E-03
1.000000000E+13 1.240243654E+00 1.236537182E+0 3.706472000E-03 1.240243654E+00 1.236537182E+0 3.706472000E-03
