T Fe100 Fe140 Fe210 Fe310 Fe460 Fe680 Fe101 Fe141 Fe211 Fe311 Fe461 Fe681 Fe102 Fe142 Fe212 Fe312 Fe462 Fe682 Fe103
Fe 1.000000000E+01 1.016672606E+01 1.033324570E+01 1.049996187E+01 1.066670514E+01 1.083333839E+01 1.100000000E+01 1.116672606E+01 1.133324570E+01 1.149996187E+01 1.166670514E+01 1.183333839E+01 1.200000000E+01 1.216672606E+01 1.233324570E+01 1.249996187E+01 1.266670514E+01 1.283333839E+01 1.300000000E+01
290 1.184342707E+00 1.184559582E+00 1.184872170E+00 1.185319076E+00 1.185950624E+00 1.186828537E+00 1.188021407E+00 1.189593213E+00 1.191583722E+00 1.193985818E+00 1.196734330E+00 1.199724254E+00 1.202858244E+00 1.206091066E+00 1.209433831E+00 1.212920701E+00 1.216575520E+00 1.220401693E+00 1.224386557E+00
295 1.163495013E+00 1.163919779E+00 1.164531199E+00 1.165403527E+00 1.166632337E+00 1.168332222E+00 1.170624746E+00 1.173610634E+00 1.177323797E+00 1.181679102E+00 1.186448791E+00 1.191311546E+00 1.195976016E+00 1.200300993E+00 1.204316208E+00 1.208142256E+00 1.211897695E+00 1.215657588E+00 1.220656474E+00
300 1.121677507E+00 1.122505793E+00 1.123698458E+00 1.125400759E+00 1.127799847E+00 1.131119953E+00 1.135597773E+00 1.141424116E+00 1.148645148E+00 1.157044955E+00 1.166084789E+00 1.175003181E+00 1.183096529E+00 1.190010156E+00 1.195805424E+00 1.200780304E+00 1.205244361E+00 1.209410494E+00 1.213390631E+00
305 1.042538351E+00 1.044002468E+00 1.046115219E+00 1.049140051E+00 1.053421290E+00 1.059380905E+00 1.067480929E+00 1.078122610E+00 1.091458137E+00 1.107138887E+00 1.124136207E+00 1.140875036E+00 1.155796181E+00 1.168032436E+00 1.177638381E+00 1.185238559E+00 1.191514128E+00 1.196942301E+00 1.201782771E+00
310 1.012614239E+00 1.012613464E+00 1.012613006E+00 1.012613756E+00 1.012617784E+00 1.012629600E+00 1.012658499E+00 1.012722576E+00 1.012854780E+00 1.017912044E+00 1.046923225E+00 1.076335449E+00 1.103017745E+00 1.124867569E+00 1.141609155E+00 1.154290725E+00 1.164227831E+00 1.172375908E+00 1.179254448E+00
315 1.013859695E+00 1.013834462E+00 1.013798572E+00 1.013748294E+00 1.013679465E+00 1.013588531E+00 1.013475023E+00 1.013346437E+00 1.013226327E+00 1.013164937E+00 1.013248182E+00 1.013596529E+00 1.014346071E+00 1.048967680E+00 1.076904384E+00 1.097902155E+00 1.114050296E+00 1.127000589E+00 1.137665674E+00
320 1.017115555E+00 1.017057616E+00 1.016974330E+00 1.016855779E+00 1.016689443E+00 1.016460972E+00 1.016156890E+00 1.015770823E+00 1.015314825E+00 1.014835516E+00 1.014429461E+00 1.014244688E+00 1.014454832E+00 1.015208756E+00 1.016587833E+00 1.018603933E+00 1.032398543E+00 1.052056251E+00 1.068310720E+00
325 1.023085594E+00 1.022984599E+00 1.022838835E+00 1.022630098E+00 1.022334586E+00 1.021923173E+00 1.021364216E+00 1.020631351E+00 1.019719135E+00 1.018667409E+00 1.017587986E+00 1.016674761E+00 1.016171653E+00 1.016294308E+00 1.017152561E+00 1.018738299E+00 1.020985320E+00 1.023842474E+00 1.027310622E+00
330 1.032716355E+00 1.032561720E+00 1.032337948E+00 1.032016258E+00 1.031558236E+00 1.030915181E+00 1.030030535E+00 1.028848837E+00 1.027335908E+00 1.025513543E+00 1.023503502E+00 1.021557423E+00 1.020029271E+00 1.019264568E+00 1.019456280E+00 1.020589572E+00 1.022527789E+00 1.025145353E+00 1.028399612E+00
335 1.046985636E+00 1.046769829E+00 1.046456892E+00 1.046005661E+00 1.045360342E+00 1.044448401E+00 1.043181758E+00 1.041465717E+00 1.039222300E+00 1.036434744E+00 1.033212202E+00 1.029851898E+00 1.026841723E+00 1.024737556E+00 1.023928233E+00 1.024459397E+00 1.026105356E+00 1.028608039E+00 1.031835499E+00
340 1.066636339E+00 1.066357382E+00 1.065952221E+00 1.065366624E+00 1.064526218E+00 1.063332477E+00 1.061661840E+00 1.059373056E+00 1.056331026E+00 1.052457264E+00 1.047811972E+00 1.042692043E+00 1.037688939E+00 1.033609774E+00 1.031193204E+00 1.030733668E+00 1.031973399E+00 1.034440851E+00 1.037821030E+00
