N_Fe T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.000000000E+01 1.254018989E+00 1.255903551E+00 1.258243980E+00 1.260797625E+00 1.263159588E+00 1.264467560E+00 1.265072307E+00 1.263586055E+00 1.258486209E+00 1.247890474E+00 1.226770754E+00
1.016672606E+01 1.254131687E+00 1.256005624E+00 1.258339813E+00 1.260892754E+00 1.263261005E+00 1.264584752E+00 1.265219459E+00 1.263785327E+00 1.258773714E+00 1.248325302E+00 1.227443482E+00
1.033324570E+01 1.254295803E+00 1.256154265E+00 1.258479284E+00 1.261031038E+00 1.263408190E+00 1.264754489E+00 1.265432138E+00 1.264072666E+00 1.259187494E+00 1.248950150E+00 1.228409282E+00
1.049996187E+01 1.254534160E+00 1.256370059E+00 1.258681555E+00 1.261231228E+00 1.263620739E+00 1.264998906E+00 1.265737400E+00 1.264483779E+00 1.259777785E+00 1.249839410E+00 1.229781938E+00
1.066670514E+01 1.254878849E+00 1.256681925E+00 1.258973417E+00 1.261519336E+00 1.263925564E+00 1.265347920E+00 1.266171296E+00 1.265065394E+00 1.260609351E+00 1.251088032E+00 1.231705257E+00
1.083333839E+01 1.255374142E+00 1.257129656E+00 1.259391488E+00 1.261930526E+00 1.264358421E+00 1.265840569E+00 1.266779710E+00 1.265875543E+00 1.261760614E+00 1.252808134E+00 1.234346526E+00
1.100000000E+01 1.256079443E+00 1.257766472E+00 1.259984327E+00 1.262510660E+00 1.264964913E+00 1.266525060E+00 1.267617247E+00 1.266980375E+00 1.263316901E+00 1.255116606E+00 1.237874318E+00
1.116672606E+01 1.257071314E+00 1.258660739E+00 1.260813568E+00 1.263316703E+00 1.265799706E+00 1.267456516E+00 1.268742584E+00 1.268445539E+00 1.265355396E+00 1.258108905E+00 1.242413650E+00
1.133324570E+01 1.258442850E+00 1.259895365E+00 1.261952877E+00 1.264414676E+00 1.266923043E+00 1.268691158E+00 1.270209088E+00 1.270321509E+00 1.267921210E+00 1.261819359E+00 1.247980080E+00
1.149996187E+01 1.260297961E+00 1.261562944E+00 1.263483185E+00 1.265874236E+00 1.268393848E+00 1.270277094E+00 1.272052231E+00 1.272625479E+00 1.271001320E+00 1.266182125E+00 1.254417852E+00
1.166670514E+01 1.262738247E+00 1.263754880E+00 1.265483230E+00 1.267759749E+00 1.270260431E+00 1.272244107E+00 1.274278036E+00 1.275329108E+00 1.274512077E+00 1.271019913E+00 1.261390957E+00
1.183333839E+01 1.265842373E+00 1.266544628E+00 1.268016072E+00 1.270119372E+00 1.272551807E+00 1.274597097E+00 1.276859866E+00 1.278361309E+00 1.278314680E+00 1.276083880E+00 1.268466998E+00
1.200000000E+01 1.269642639E+00 1.269968507E+00 1.271114593E+00 1.272975375E+00 1.275272889E+00 1.277316937E+00 1.279746680E+00 1.281628348E+00 1.282255720E+00 1.281131263E+00 1.275262148E+00
1.216672606E+01 1.274109271E+00 1.274012128E+00 1.274771641E+00 1.276319257E+00 1.278405552E+00 1.280368348E+00 1.282879119E+00 1.285040396E+00 1.286208587E+00 1.285990845E+00 1.281548949E+00
1.233324570E+01 1.279154027E+00 1.278611548E+00 1.278941081E+00 1.280114758E+00 1.281915316E+00 1.283711221E+00 1.286205657E+00 1.288531600E+00 1.290094862E+00 1.290580367E+00 1.287261180E+00
1.249996187E+01 1.284655396E+00 1.283672240E+00 1.283552215E+00 1.284309657E+00 1.285762169E+00 1.287311562E+00 1.289693565E+00 1.292068894E+00 1.293885193E+00 1.294887510E+00 1.292432569E+00
1.266670514E+01 1.290492062E+00 1.289096437E+00 1.288531040E+00 1.288851635E+00 1.289911938E+00 1.291149165E+00 1.293333016E+00 1.295651423E+00 1.297590429E+00 1.298944751E+00 1.297139269E+00
1.283333839E+01 1.296564768E+00 1.294802274E+00 1.293815553E+00 1.293699107E+00 1.294342475E+00 1.295219218E+00 1.297134258E+00 1.299303190E+00 1.301249318E+00 1.302810811E+00 1.301472001E+00
1.300000000E+01 1.302798126E+00 1.300726169E+00 1.299357457E+00 1.298821204E+00 1.299041138E+00 1.299526816E+00 1.301118981E+00 1.303061493E+00 1.304914817E+00 1.306556456E+00 1.305524726E+00
