N_Fe Time N_B T d Jsc Eta Voc FF Vm Jm
1.000000E+10 20 5.623E+16 340 3.800E-4 3.498510E-1 2.014600E+1 3.869980E-1 7.439870E+1 3.147950E-1 3.199851E-1
1.468000E+10 20 5.623E+16 340 3.800E-4 3.475255E-1 1.998400E+1 3.865550E-1 7.437960E+1 3.143850E-1 3.178267E-1
2.154000E+10 20 5.623E+16 340 3.800E-4 3.443029E-1 1.976010E+1 3.859410E-1 7.435260E+1 3.138180E-1 3.148323E-1
3.162000E+10 20 5.623E+16 340 3.800E-4 3.399352E-1 1.945750E+1 3.851080E-1 7.431510E+1 3.130570E-1 3.107652E-1
4.642000E+10 20 5.623E+16 340 3.800E-4 3.341808E-1 1.906030E+1 3.840070E-1 7.426400E+1 3.120410E-1 3.054133E-1
6.813000E+10 20 5.623E+16 340 3.800E-4 3.268531E-1 1.855710E+1 3.825990E-1 7.419630E+1 3.107130E-1 2.986202E-1
1.000000E+11 20 5.623E+16 340 3.800E-4 3.178689E-1 1.794360E+1 3.808520E-1 7.410950E+1 3.090920E-1 2.902626E-1
1.468000E+11 20 5.623E+16 340 3.800E-4 3.072656E-1 1.722430E+1 3.786910E-1 7.401380E+1 3.071190E-1 2.804171E-1
2.154000E+11 20 5.623E+16 340 3.800E-4 2.951680E-1 1.640970E+1 3.761360E-1 7.390190E+1 3.047950E-1 2.691918E-1
3.162000E+11 20 5.623E+16 340 3.800E-4 2.817231E-1 1.551160E+1 3.732270E-1 7.376170E+1 3.021000E-1 2.567297E-1
4.642000E+11 20 5.623E+16 340 3.800E-4 2.670564E-1 1.454080E+1 3.699340E-1 7.359180E+1 2.990330E-1 2.431292E-1
6.813000E+11 20 5.623E+16 340 3.800E-4 2.512818E-1 1.350730E+1 3.660730E-1 7.341930E+1 2.955370E-1 2.285212E-1
1.000000E+12 20 5.623E+16 340 3.800E-4 2.345467E-1 1.242390E+1 3.618120E-1 7.320040E+1 2.916110E-1 2.130208E-1
1.468000E+12 20 5.623E+16 340 3.800E-4 2.170644E-1 1.130730E+1 3.569770E-1 7.296230E+1 2.871970E-1 1.968551E-1
2.154000E+12 20 5.623E+16 340 3.800E-4 1.991131E-1 1.017810E+1 3.516590E-1 7.267960E+1 2.822950E-1 1.802734E-1
3.162000E+12 20 5.623E+16 340 3.800E-4 1.810127E-1 9.058800E+0 3.457390E-1 7.237360E+1 2.769240E-1 1.635601E-1
4.642000E+12 20 5.623E+16 340 3.800E-4 1.630960E-1 7.971500E+0 3.393640E-1 7.201140E+1 2.710450E-1 1.470514E-1
