N_Fe Time N_B T d Jsc Eta Voc FF Vm Jm
1.000000E+10 20 1.360E+15 340 3.800E-4 3.768495E-1 2.121600E+1 3.828680E-1 7.352170E+1 3.086620E-1 3.436762E-1
1.468000E+10 20 1.360E+15 340 3.800E-4 3.758411E-1 2.095220E+1 3.806590E-1 7.322500E+1 3.059470E-1 3.424150E-1
2.154000E+10 20 1.360E+15 340 3.800E-4 3.743955E-1 2.060460E+1 3.774490E-1 7.290270E+1 3.024120E-1 3.406694E-1
3.162000E+10 20 1.360E+15 340 3.800E-4 3.723449E-1 2.015980E+1 3.730630E-1 7.256500E+1 2.979390E-1 3.383191E-1
4.642000E+10 20 1.360E+15 340 3.800E-4 3.694780E-1 1.961130E+1 3.672740E-1 7.225960E+1 2.925680E-1 3.351561E-1
6.813000E+10 20 1.360E+15 340 3.800E-4 3.655493E-1 1.895770E+1 3.601670E-1 7.199520E+1 2.863770E-1 3.309908E-1
1.000000E+11 20 1.360E+15 340 3.800E-4 3.603067E-1 1.820630E+1 3.520260E-1 7.177030E+1 2.796190E-1 3.255550E-1
1.468000E+11 20 1.360E+15 340 3.800E-4 3.535436E-1 1.737010E+1 3.434040E-1 7.153580E+1 2.725100E-1 3.187060E-1
2.154000E+11 20 1.360E+15 340 3.800E-4 3.451658E-1 1.646830E+1 3.347630E-1 7.126130E+1 2.652830E-1 3.103909E-1
3.162000E+11 20 1.360E+15 340 3.800E-4 3.352414E-1 1.552470E+1 3.264070E-1 7.093750E+1 2.581930E-1 3.006408E-1
4.642000E+11 20 1.360E+15 340 3.800E-4 3.239875E-1 1.456250E+1 3.184790E-1 7.056620E+1 2.512990E-1 2.897449E-1
6.813000E+11 20 1.360E+15 340 3.800E-4 3.116764E-1 1.359940E+1 3.109420E-1 7.016240E+1 2.446780E-1 2.779028E-1
1.000000E+12 20 1.360E+15 340 3.800E-4 2.985092E-1 1.264260E+1 3.036280E-1 6.974380E+1 2.382130E-1 2.653623E-1
1.468000E+12 20 1.360E+15 340 3.800E-4 2.845440E-1 1.169010E+1 2.964510E-1 6.929260E+1 2.318260E-1 2.521309E-1
2.154000E+12 20 1.360E+15 340 3.800E-4 2.697311E-1 1.073590E+1 2.892680E-1 6.879830E+1 2.253810E-1 2.381724E-1
