N_Fe Time N_B T d Jsc Eta Voc FF Vm Jm
1.000000E+10 20 1.000E+17 340 3.800E-4 3.369171E-1 1.936600E+1 3.864220E-1 7.437450E+1 3.142680E-1 3.081129E-1
1.468000E+10 20 1.000E+17 340 3.800E-4 3.332140E-1 1.911940E+1 3.858670E-1 7.435010E+1 3.137600E-1 3.046809E-1
2.154000E+10 20 1.000E+17 340 3.800E-4 3.282386E-1 1.878870E+1 3.851160E-1 7.431630E+1 3.130570E-1 3.000835E-1
3.162000E+10 20 1.000E+17 340 3.800E-4 3.217511E-1 1.835860E+1 3.841250E-1 7.427050E+1 3.121390E-1 2.940777E-1
4.642000E+10 20 1.000E+17 340 3.800E-4 3.135824E-1 1.781900E+1 3.828580E-1 7.421010E+1 3.109670E-1 2.865088E-1
6.813000E+10 20 1.000E+17 340 3.800E-4 3.036748E-1 1.716710E+1 3.812830E-1 7.413270E+1 3.095020E-1 2.773339E-1
1.000000E+11 20 1.000E+17 340 3.800E-4 2.920875E-1 1.640830E+1 3.793500E-1 7.404250E+1 3.077050E-1 2.666239E-1
1.468000E+11 20 1.000E+17 340 3.800E-4 2.789577E-1 1.555320E+1 3.770080E-1 7.394380E+1 3.055960E-1 2.544737E-1
2.154000E+11 20 1.000E+17 340 3.800E-4 2.644513E-1 1.461440E+1 3.743160E-1 7.381870E+1 3.031150E-1 2.410695E-1
3.162000E+11 20 1.000E+17 340 3.800E-4 2.487426E-1 1.360510E+1 3.712480E-1 7.366420E+1 3.002640E-1 2.265519E-1
4.642000E+11 20 1.000E+17 340 3.800E-4 2.320310E-1 1.254030E+1 3.676640E-1 7.349900E+1 2.970020E-1 2.111152E-1
6.813000E+11 20 1.000E+17 340 3.800E-4 2.145635E-1 1.143820E+1 3.636210E-1 7.330330E+1 2.932910E-1 1.949975E-1
1.000000E+12 20 1.000E+17 340 3.800E-4 1.966371E-1 1.031970E+1 3.591080E-1 7.307140E+1 2.891310E-1 1.784611E-1
1.468000E+12 20 1.000E+17 340 3.800E-4 1.785817E-1 9.207500E+0 3.540060E-1 7.282200E+1 2.845020E-1 1.618173E-1
2.154000E+12 20 1.000E+17 340 3.800E-4 1.607350E-1 8.123800E+0 3.484290E-1 7.252780E+1 2.793850E-1 1.453875E-1
3.162000E+12 20 1.000E+17 340 3.800E-4 1.434173E-1 7.089200E+0 3.423020E-1 7.220260E+1 2.737790E-1 1.294683E-1
4.642000E+12 20 1.000E+17 340 3.800E-4 1.269097E-1 6.120500E+0 3.356340E-1 7.184490E+1 2.677250E-1 1.143058E-1
6.813000E+12 20 1.000E+17 340 3.800E-4 1.114381E-1 5.230600E+0 3.285210E-1 7.143640E+1 2.612400E-1 1.001099E-1
1.000000E+13 20 1.000E+17 340 3.800E-4 9.716504E-2 4.427300E+0 3.209300E-1 7.098860E+1 2.543260E-1 8.703971E-2
1.468000E+13 20 1.000E+17 340 3.800E-4 8.418868E-2 3.714200E+0 3.128530E-1 7.050870E+1 2.470410E-1 7.517411E-2
2.154000E+13 20 1.000E+17 340 3.800E-4 7.254485E-2 3.090700E+0 3.043940E-1 6.998110E+1 2.394040E-1 6.454930E-2
3.162000E+13 20 1.000E+17 340 3.800E-4 6.222031E-2 2.552900E+0 2.955880E-1 6.940480E+1 2.314750E-1 5.514488E-2
4.642000E+13 20 1.000E+17 340 3.800E-4 5.316117E-2 2.094900E+0 2.864720E-1 6.877900E+1 2.232710E-1 4.691371E-2
6.813000E+13 20 1.000E+17 340 3.800E-4 4.528520E-2 1.709100E+0 2.770830E-1 6.810270E+1 2.148540E-1 3.977302E-2
1.000000E+14 20 1.000E+17 340 3.800E-4 3.849250E-2 1.387300E+0 2.674590E-1 6.737420E+1 2.062600E-1 3.362885E-2
1.000000E+10 120 1.000E+17 340 3.800E-4 3.359534E-1 1.930180E+1 3.862780E-1 7.436820E+1 3.141310E-1 3.072246E-1
1.468000E+10 120 1.000E+17 340 3.800E-4 3.319058E-1 1.903230E+1 3.856700E-1 7.434130E+1 3.135640E-1 3.034830E-1
2.154000E+10 120 1.000E+17 340 3.800E-4 3.265115E-1 1.867410E+1 3.848530E-1 7.430430E+1 3.128220E-1 2.984764E-1
3.162000E+10 120 1.000E+17 340 3.800E-4 3.195456E-1 1.821270E+1 3.837850E-1 7.425450E+1 3.118260E-1 2.920328E-1
4.642000E+10 120 1.000E+17 340 3.800E-4 3.108682E-1 1.764010E+1 3.824310E-1 7.418940E+1 3.105760E-1 2.839896E-1
6.813000E+10 120 1.000E+17 340 3.800E-4 3.004576E-1 1.695610E+1 3.807620E-1 7.410660E+1 3.090140E-1 2.743571E-1
1.000000E+11 120 1.000E+17 340 3.800E-4 2.884014E-1 1.616780E+1 3.787000E-1 7.401620E+1 3.071190E-1 2.632161E-1
1.468000E+11 120 1.000E+17 340 3.800E-4 2.748499E-1 1.528680E+1 3.762580E-1 7.391010E+1 3.049120E-1 2.506744E-1
2.154000E+11 120 1.000E+17 340 3.800E-4 2.599721E-1 1.432580E+1 3.734590E-1 7.377670E+1 3.023340E-1 2.369200E-1
3.162000E+11 120 1.000E+17 340 3.800E-4 2.439470E-1 1.329860E+1 3.702740E-1 7.361330E+1 2.993650E-1 2.221127E-1
4.642000E+11 120 1.000E+17 340 3.800E-4 2.269861E-1 1.222090E+1 3.665230E-1 7.344660E+1 2.959670E-1 2.064568E-1
6.813000E+11 120 1.000E+17 340 3.800E-4 2.093516E-1 1.111170E+1 3.623600E-1 7.323750E+1 2.921190E-1 1.901911E-1
1.000000E+12 120 1.000E+17 340 3.800E-4 1.913525E-1 9.992700E+0 3.576540E-1 7.300530E+1 2.878220E-1 1.735912E-1
1.468000E+12 120 1.000E+17 340 3.800E-4 1.733235E-1 8.886600E+0 3.524420E-1 7.273750E+1 2.830570E-1 1.569748E-1
2.154000E+12 120 1.000E+17 340 3.800E-4 1.555999E-1 7.815300E+0 3.466710E-1 7.244150E+1 2.777830E-1 1.406720E-1
3.162000E+12 120 1.000E+17 340 3.800E-4 1.384922E-1 6.798400E+0 3.404450E-1 7.209440E+1 2.720610E-1 1.249419E-1
4.642000E+12 120 1.000E+17 340 3.800E-4 1.222670E-1 5.851700E+0 3.336080E-1 7.173030E+1 2.658890E-1 1.100393E-1
6.813000E+12 120 1.000E+17 340 3.800E-4 1.071321E-1 4.986500E+0 3.263200E-1 7.131790E+1 2.592680E-1 9.616447E-2
1.000000E+13 120 1.000E+17 340 3.800E-4 9.323093E-2 4.209500E+0 3.186080E-1 7.085630E+1 2.522360E-1 8.344264E-2
1.468000E+13 120 1.000E+17 340 3.800E-4 8.064315E-2 3.522800E+0 3.104690E-1 7.035180E+1 2.448540E-1 7.193743E-2
2.154000E+13 120 1.000E+17 340 3.800E-4 6.938861E-2 2.924900E+0 3.018940E-1 6.981410E+1 2.371190E-1 6.167641E-2
3.162000E+13 120 1.000E+17 340 3.800E-4 5.944115E-2 2.411300E+0 2.929840E-1 6.922790E+1 2.291110E-1 5.262181E-2
4.642000E+13 120 1.000E+17 340 3.800E-4 5.073743E-2 1.975200E+0 2.837780E-1 6.859210E+1 2.208690E-1 4.471437E-2
6.813000E+13 120 1.000E+17 340 3.800E-4 4.318898E-2 1.609000E+0 2.743160E-1 6.790530E+1 2.123930E-1 3.787817E-2
1.000000E+14 120 1.000E+17 340 3.800E-4 3.669248E-2 1.304400E+0 2.646350E-1 6.716570E+1 2.037600E-1 3.200767E-2
1.000000E+10 220 1.000E+17 340 3.800E-4 3.359534E-1 1.930180E+1 3.862780E-1 7.436820E+1 3.141310E-1 3.072245E-1
1.468000E+10 220 1.000E+17 340 3.800E-4 3.319058E-1 1.903230E+1 3.856700E-1 7.434130E+1 3.135640E-1 3.034829E-1
2.154000E+10 220 1.000E+17 340 3.800E-4 3.265114E-1 1.867400E+1 3.848530E-1 7.430430E+1 3.128220E-1 2.984764E-1
3.162000E+10 220 1.000E+17 340 3.800E-4 3.195455E-1 1.821270E+1 3.837850E-1 7.425450E+1 3.118260E-1 2.920327E-1
4.642000E+10 220 1.000E+17 340 3.800E-4 3.108681E-1 1.764010E+1 3.824310E-1 7.418940E+1 3.105760E-1 2.839895E-1
6.813000E+10 220 1.000E+17 340 3.800E-4 3.004575E-1 1.695600E+1 3.807620E-1 7.410660E+1 3.090140E-1 2.743570E-1
1.000000E+11 220 1.000E+17 340 3.800E-4 2.884012E-1 1.616780E+1 3.787000E-1 7.401620E+1 3.071190E-1 2.632160E-1
1.468000E+11 220 1.000E+17 340 3.800E-4 2.748498E-1 1.528680E+1 3.762570E-1 7.391010E+1 3.049120E-1 2.506742E-1
