r0 A5A5 A5A10 A3A6 A5A15 A10A10 A5A20 A3A13
3.000E-9 -3.859E-3 -8.726E-3 -3.123E-3 -1.561E-2 -1.561E-2 -2.456E-2 -9.939E-3
3.500E-9 -2.959E-3 -6.722E-3 -2.393E-3 -1.210E-2 -1.210E-2 -1.920E-2 -7.666E-3
4.000E-9 -2.076E-3 -4.750E-3 -1.677E-3 -8.635E-3 -8.635E-3 -1.386E-2 -5.426E-3
4.500E-9 -1.220E-3 -2.832E-3 -9.832E-4 -5.250E-3 -5.250E-3 -8.624E-3 -3.247E-3
5.000E-9 -3.955E-4 -9.829E-4 -3.152E-4 -1.976E-3 -1.976E-3 -3.538E-3 -1.144E-3
5.500E-9 3.942E-4 7.918E-4 3.245E-4 1.173E-3 1.173E-3 1.367E-3 8.742E-4
6.000E-9 1.148E-3 2.488E-3 9.352E-4 4.189E-3 4.189E-3 6.078E-3 2.805E-3
6.500E-9 1.866E-3 4.107E-3 1.517E-3 7.071E-3 7.071E-3 1.059E-2 4.646E-3
7.000E-9 2.550E-3 5.647E-3 2.070E-3 9.818E-3 9.818E-3 1.490E-2 6.400E-3
7.500E-9 3.199E-3 7.113E-3 2.596E-3 1.244E-2 1.244E-2 1.901E-2 8.070E-3
8.000E-9 3.816E-3 8.507E-3 3.096E-3 1.493E-2 1.493E-2 2.292E-2 9.657E-3
8.500E-9 4.403E-3 9.833E-3 3.570E-3 1.730E-2 1.730E-2 2.666E-2 1.117E-2
9.000E-9 4.960E-3 1.109E-2 4.022E-3 1.955E-2 1.955E-2 3.021E-2 1.260E-2
9.500E-9 5.490E-3 1.229E-2 4.450E-3 2.170E-2 2.170E-2 3.360E-2 1.397E-2
1.000E-8 5.994E-3 1.343E-2 4.858E-3 2.375E-2 2.375E-2 3.683E-2 1.527E-2
1.050E-8 6.474E-3 1.452E-2 5.247E-3 2.570E-2 2.570E-2 3.991E-2 1.651E-2
1.100E-8 6.931E-3 1.556E-2 5.617E-3 2.755E-2 2.755E-2 4.284E-2 1.769E-2
1.150E-8 7.367E-3 1.654E-2 5.969E-3 2.932E-2 2.932E-2 4.565E-2 1.881E-2
1.200E-8 7.782E-3 1.748E-2 6.305E-3 3.102E-2 3.102E-2 4.833E-2 1.989E-2
1.250E-8 8.179E-3 1.838E-2 6.626E-3 3.263E-2 3.263E-2 5.088E-2 2.091E-2
1.300E-8 8.558E-3 1.924E-2 6.932E-3 3.418E-2 3.418E-2 5.333E-2 2.189E-2
1.350E-8 8.920E-3 2.006E-2 7.225E-3 3.565E-2 3.565E-2 5.567E-2 2.283E-2
1.400E-8 9.266E-3 2.085E-2 7.506E-3 3.707E-2 3.707E-2 5.792E-2 2.372E-2
1.450E-8 9.598E-3 2.160E-2 7.774E-3 3.842E-2 3.842E-2 6.006E-2 2.458E-2
1.500E-8 9.916E-3 2.232E-2 8.031E-3 3.972E-2 3.972E-2 6.213E-2 2.540E-2
1.550E-8 1.022E-2 2.302E-2 8.277E-3 4.097E-2 4.097E-2 6.410E-2 2.619E-2
1.600E-8 1.051E-2 2.368E-2 8.514E-3 4.216E-2 4.216E-2 6.600E-2 2.695E-2
1.650E-8 1.079E-2 2.432E-2 8.741E-3 4.331E-2 4.331E-2 6.783E-2 2.768E-2
1.700E-8 1.106E-2 2.493E-2 8.959E-3 4.441E-2 4.441E-2 6.958E-2 2.838E-2
1.750E-8 1.132E-2 2.552E-2 9.169E-3 4.547E-2 4.547E-2 7.127E-2 2.905E-2
1.800E-8 1.157E-2 2.609E-2 9.371E-3 4.650E-2 4.650E-2 7.289E-2 2.969E-2
1.850E-8 1.181E-2 2.663E-2 9.565E-3 4.748E-2 4.748E-2 7.446E-2 3.032E-2
1.900E-8 1.204E-2 2.716E-2 9.752E-3 4.843E-2 4.843E-2 7.597E-2 3.092E-2
1.950E-8 1.227E-2 2.767E-2 9.933E-3 4.934E-2 4.934E-2 7.742E-2 3.150E-2
