r0 A5A5 A5A10 A3A6 A5A15 A10A10 A5A20 A3A13
3.000E-9 -8.876E-16 -1.734E-3 -6.251E-4 -6.887E-3 -8.876E-16 -1.532E-2 -6.887E-3
3.500E-9 1.326E-15 -1.677E-3 -6.047E-4 -6.667E-3 1.326E-15 -1.484E-2 -6.667E-3
4.000E-9 -5.572E-16 -1.622E-3 -5.848E-4 -6.451E-3 -5.572E-16 -1.437E-2 -6.451E-3
4.500E-9 1.324E-15 -1.569E-3 -5.655E-4 -6.241E-3 1.324E-15 -1.391E-2 -6.241E-3
5.000E-9 -7.799E-16 -1.518E-3 -5.470E-4 -6.039E-3 -7.799E-16 -1.347E-2 -6.039E-3
5.500E-9 4.983E-16 -1.468E-3 -5.292E-4 -5.845E-3 4.983E-16 -1.304E-2 -5.845E-3
6.000E-9 7.101E-16 -1.422E-3 -5.123E-4 -5.660E-3 7.101E-16 -1.264E-2 -5.660E-3
6.500E-9 7.616E-16 -1.377E-3 -4.962E-4 -5.483E-3 7.616E-16 -1.225E-2 -5.483E-3
7.000E-9 1.639E-15 -1.334E-3 -4.808E-4 -5.315E-3 1.639E-15 -1.188E-2 -5.315E-3
7.500E-9 1.548E-15 -1.294E-3 -4.663E-4 -5.155E-3 1.548E-15 -1.152E-2 -5.155E-3
8.000E-9 3.590E-16 -1.256E-3 -4.524E-4 -5.004E-3 3.590E-16 -1.119E-2 -5.004E-3
8.500E-9 -2.597E-16 -1.219E-3 -4.393E-4 -4.859E-3 -2.597E-16 -1.087E-2 -4.859E-3
9.000E-9 5.651E-16 -1.185E-3 -4.268E-4 -4.722E-3 5.651E-16 -1.056E-2 -4.722E-3
9.500E-9 -1.540E-16 -1.152E-3 -4.150E-4 -4.592E-3 -1.540E-16 -1.027E-2 -4.592E-3
1.000E-8 -6.733E-16 -1.121E-3 -4.037E-4 -4.468E-3 -6.733E-16 -9.998E-3 -4.468E-3
1.050E-8 1.843E-16 -1.091E-3 -3.930E-4 -4.350E-3 1.843E-16 -9.735E-3 -4.350E-3
1.100E-8 8.089E-16 -1.062E-3 -3.827E-4 -4.237E-3 8.089E-16 -9.485E-3 -4.237E-3
1.150E-8 -1.334E-15 -1.035E-3 -3.730E-4 -4.130E-3 -1.334E-15 -9.247E-3 -4.130E-3
1.200E-8 1.101E-15 -1.010E-3 -3.637E-4 -4.027E-3 1.101E-15 -9.019E-3 -4.027E-3
1.250E-8 1.349E-15 -9.852E-4 -3.549E-4 -3.930E-3 1.349E-15 -8.801E-3 -3.930E-3
1.300E-8 -7.451E-16 -9.617E-4 -3.464E-4 -3.836E-3 -7.451E-16 -8.594E-3 -3.836E-3
1.350E-8 -9.889E-16 -9.392E-4 -3.383E-4 -3.747E-3 -9.889E-16 -8.395E-3 -3.747E-3
1.400E-8 5.477E-16 -9.178E-4 -3.306E-4 -3.662E-3 5.477E-16 -8.205E-3 -3.662E-3
1.450E-8 4.049E-16 -8.972E-4 -3.232E-4 -3.580E-3 4.049E-16 -8.023E-3 -3.580E-3
1.500E-8 -1.012E-15 -8.776E-4 -3.161E-4 -3.502E-3 -1.012E-15 -7.848E-3 -3.502E-3
1.550E-8 -1.375E-15 -8.587E-4 -3.093E-4 -3.427E-3 -1.375E-15 -7.680E-3 -3.427E-3
1.600E-8 9.739E-16 -8.406E-4 -3.028E-4 -3.355E-3 9.739E-16 -7.520E-3 -3.355E-3
1.650E-8 -3.100E-16 -8.232E-4 -2.965E-4 -3.285E-3 -3.100E-16 -7.365E-3 -3.285E-3
1.700E-8 -5.188E-16 -8.065E-4 -2.905E-4 -3.219E-3 -5.188E-16 -7.217E-3 -3.219E-3
1.750E-8 -9.654E-16 -7.904E-4 -2.847E-4 -3.155E-3 -9.654E-16 -7.074E-3 -3.155E-3
1.800E-8 -1.726E-15 -7.750E-4 -2.791E-4 -3.094E-3 -1.726E-15 -6.937E-3 -3.094E-3
1.850E-8 1.690E-15 -7.601E-4 -2.738E-4 -3.034E-3 1.690E-15 -6.805E-3 -3.034E-3
1.900E-8 -4.054E-16 -7.458E-4 -2.686E-4 -2.977E-3 -4.054E-16 -6.677E-3 -2.977E-3
1.950E-8 1.363E-15 -7.320E-4 -2.636E-4 -2.922E-3 1.363E-15 -6.554E-3 -2.922E-3
2.000E-8 5.095E-16 -7.186E-4 -2.588E-4 -2.869E-3 5.095E-16 -6.436E-3 -2.869E-3
2.050E-8 -7.624E-16 -7.058E-4 -2.542E-4 -2.818E-3 -7.624E-16 -6.321E-3 -2.818E-3
2.100E-8 -2.141E-15 -6.934E-4 -2.497E-4 -2.768E-3 -2.141E-15 -6.210E-3 -2.768E-3
2.150E-8 1.083E-15 -6.814E-4 -2.454E-4 -2.721E-3 1.083E-15 -6.104E-3 -2.721E-3
2.200E-8 1.218E-15 -6.698E-4 -2.412E-4 -2.674E-3 1.218E-15 -6.000E-3 -2.674E-3
2.250E-8 1.219E-15 -6.586E-4 -2.372E-4 -2.630E-3 1.219E-15 -5.900E-3 -2.630E-3
2.300E-8 6.863E-16 -6.477E-4 -2.333E-4 -2.587E-3 6.863E-16 -5.804E-3 -2.587E-3
2.350E-8 -5.801E-16 -6.372E-4 -2.295E-4 -2.545E-3 -5.801E-16 -5.710E-3 -2.545E-3
2.400E-8 2.398E-15 -6.270E-4 -2.258E-4 -2.504E-3 2.398E-15 -5.619E-3 -2.504E-3
2.450E-8 -9.841E-16 -6.172E-4 -2.223E-4 -2.465E-3 -9.841E-16 -5.531E-3 -2.465E-3
2.500E-8 6.944E-16 -6.076E-4 -2.188E-4 -2.427E-3 6.944E-16 -5.446E-3 -2.427E-3
2.550E-8 -9.412E-16 -5.983E-4 -2.155E-4 -2.390E-3 -9.412E-16 -5.363E-3 -2.390E-3
2.600E-8 1.773E-16 -5.893E-4 -2.122E-4 -2.354E-3 1.773E-16 -5.283E-3 -2.354E-3
2.650E-8 4.010E-16 -5.806E-4 -2.091E-4 -2.319E-3 4.010E-16 -5.205E-3 -2.319E-3
2.700E-8 1.474E-15 -5.721E-4 -2.060E-4 -2.285E-3 1.474E-15 -5.129E-3 -2.285E-3
2.750E-8 -7.702E-16 -5.639E-4 -2.031E-4 -2.252E-3 -7.702E-16 -5.056E-3 -2.252E-3
2.800E-8 -8.721E-16 -5.559E-4 -2.002E-4 -2.220E-3 -8.721E-16 -4.984E-3 -2.220E-3
2.850E-8 0.000E+0 -5.481E-4 -1.974E-4 -2.189E-3 0.000E+0 -4.915E-3 -2.189E-3
2.900E-8 -7.466E-16 -5.405E-4 -1.946E-4 -2.159E-3 -7.466E-16 -4.847E-3 -2.159E-3
2.950E-8 4.233E-16 -5.331E-4 -1.920E-4 -2.130E-3 4.233E-16 -4.781E-3 -2.130E-3
3.000E-8 -1.200E-16 -5.260E-4 -1.894E-4 -2.101E-3 -1.200E-16 -4.717E-3 -2.101E-3
3.050E-8 -1.498E-15 -5.190E-4 -1.869E-4 -2.073E-3 -1.498E-15 -4.655E-3 -2.073E-3
3.100E-8 6.186E-16 -5.122E-4 -1.844E-4 -2.046E-3 6.186E-16 -4.594E-3 -2.046E-3
3.150E-8 -5.269E-16 -5.055E-4 -1.820E-4 -2.020E-3 -5.269E-16 -4.535E-3 -2.020E-3
3.200E-8 3.991E-16 -4.991E-4 -1.797E-4 -1.994E-3 3.991E-16 -4.477E-3 -1.994E-3
3.250E-8 -1.701E-15 -4.928E-4 -1.774E-4 -1.969E-3 -1.701E-15 -4.421E-3 -1.969E-3
3.300E-8 6.446E-16 -4.866E-4 -1.752E-4 -1.944E-3 6.446E-16 -4.366E-3 -1.944E-3
3.350E-8 -1.613E-15 -4.806E-4 -1.731E-4 -1.920E-3 -1.613E-15 -4.312E-3 -1.920E-3
3.400E-8 5.005E-16 -4.748E-4 -1.710E-4 -1.897E-3 5.005E-16 -4.260E-3 -1.897E-3
3.450E-8 -5.696E-16 -4.691E-4 -1.689E-4 -1.874E-3 -5.696E-16 -4.209E-3 -1.874E-3
3.500E-8 -8.646E-16 -4.635E-4 -1.669E-4 -1.852E-3 -8.646E-16 -4.159E-3 -1.852E-3
3.550E-8 -1.600E-15 -4.580E-4 -1.649E-4 -1.830E-3 -1.600E-15 -4.110E-3 -1.830E-3
3.600E-8 -1.542E-15 -4.527E-4 -1.630E-4 -1.809E-3 -1.542E-15 -4.062E-3 -1.809E-3
3.650E-8 0.000E+0 -4.475E-4 -1.611E-4 -1.788E-3 0.000E+0 -4.016E-3 -1.788E-3
3.700E-8 0.000E+0 -4.424E-4 -1.593E-4 -1.768E-3 0.000E+0 -3.970E-3 -1.768E-3
3.750E-8 -1.246E-15 -4.375E-4 -1.575E-4 -1.748E-3 -1.246E-15 -3.926E-3 -1.748E-3
3.800E-8 -1.065E-15 -4.326E-4 -1.558E-4 -1.729E-3 -1.065E-15 -3.882E-3 -1.729E-3
3.850E-8 -1.351E-15 -4.279E-4 -1.541E-4 -1.710E-3 -1.351E-15 -3.840E-3 -1.710E-3
3.900E-8 1.079E-15 -4.232E-4 -1.524E-4 -1.691E-3 1.079E-15 -3.798E-3 -1.691E-3
3.950E-8 -3.518E-16 -4.186E-4 -1.507E-4 -1.673E-3 -3.518E-16 -3.758E-3 -1.673E-3
4.000E-8 -4.016E-16 -4.142E-4 -1.491E-4 -1.655E-3 -4.016E-16 -3.718E-3 -1.655E-3
