r0 A5A5 A5A10 A3A6 A5A15 A10A10 A5A20 A3A13
3.000E-9 -8.876E-16 -9.616E-4 -3.459E-4 -3.859E-3 -8.876E-16 -8.726E-3 -3.859E-3
3.500E-9 1.326E-15 -7.352E-4 -2.643E-4 -2.959E-3 1.326E-15 -6.722E-3 -2.959E-3
4.000E-9 -5.572E-16 -5.136E-4 -1.845E-4 -2.076E-3 -5.572E-16 -4.750E-3 -2.076E-3
4.500E-9 1.324E-15 -2.990E-4 -1.072E-4 -1.220E-3 1.324E-15 -2.832E-3 -1.220E-3
5.000E-9 -7.799E-16 -9.262E-5 -3.286E-5 -3.955E-4 -7.799E-16 -9.829E-4 -3.955E-4
5.500E-9 4.983E-16 1.049E-4 3.826E-5 3.942E-4 4.983E-16 7.918E-4 3.942E-4
6.000E-9 7.101E-16 2.934E-4 1.061E-4 1.148E-3 7.101E-16 2.488E-3 1.148E-3
6.500E-9 7.616E-16 4.728E-4 1.707E-4 1.866E-3 7.616E-16 4.107E-3 1.866E-3
7.000E-9 1.639E-15 6.434E-4 2.321E-4 2.550E-3 1.639E-15 5.647E-3 2.550E-3
7.500E-9 1.548E-15 8.054E-4 2.904E-4 3.199E-3 1.548E-15 7.113E-3 3.199E-3
8.000E-9 3.590E-16 9.594E-4 3.458E-4 3.816E-3 3.590E-16 8.507E-3 3.816E-3
8.500E-9 -2.597E-16 1.106E-3 3.984E-4 4.403E-3 -2.597E-16 9.833E-3 4.403E-3
9.000E-9 5.651E-16 1.245E-3 4.484E-4 4.960E-3 5.651E-16 1.109E-2 4.960E-3
9.500E-9 -1.540E-16 1.377E-3 4.959E-4 5.490E-3 -1.540E-16 1.229E-2 5.490E-3
1.000E-8 -6.733E-16 1.502E-3 5.411E-4 5.994E-3 -6.733E-16 1.343E-2 5.994E-3
1.050E-8 1.843E-16 1.622E-3 5.840E-4 6.474E-3 1.843E-16 1.452E-2 6.474E-3
1.100E-8 8.089E-16 1.735E-3 6.250E-4 6.931E-3 8.089E-16 1.556E-2 6.931E-3
1.150E-8 -1.334E-15 1.844E-3 6.640E-4 7.367E-3 -1.334E-15 1.654E-2 7.367E-3
1.200E-8 1.101E-15 1.947E-3 7.012E-4 7.782E-3 1.101E-15 1.748E-2 7.782E-3
1.250E-8 1.349E-15 2.046E-3 7.366E-4 8.179E-3 1.349E-15 1.838E-2 8.179E-3
1.300E-8 -7.451E-16 2.140E-3 7.705E-4 8.558E-3 -7.451E-16 1.924E-2 8.558E-3
1.350E-8 -9.889E-16 2.230E-3 8.029E-4 8.920E-3 -9.889E-16 2.006E-2 8.920E-3
1.400E-8 5.477E-16 2.316E-3 8.339E-4 9.266E-3 5.477E-16 2.085E-2 9.266E-3
1.450E-8 4.049E-16 2.399E-3 8.636E-4 9.598E-3 4.049E-16 2.160E-2 9.598E-3
1.500E-8 -1.012E-15 2.478E-3 8.920E-4 9.916E-3 -1.012E-15 2.232E-2 9.916E-3
1.550E-8 -1.375E-15 2.554E-3 9.192E-4 1.022E-2 -1.375E-15 2.302E-2 1.022E-2
1.600E-8 9.739E-16 2.626E-3 9.454E-4 1.051E-2 9.739E-16 2.368E-2 1.051E-2
1.650E-8 -3.100E-16 2.696E-3 9.705E-4 1.079E-2 -3.100E-16 2.432E-2 1.079E-2
1.700E-8 -5.188E-16 2.763E-3 9.946E-4 1.106E-2 -5.188E-16 2.493E-2 1.106E-2
1.750E-8 -9.654E-16 2.828E-3 1.018E-3 1.132E-2 -9.654E-16 2.552E-2 1.132E-2
1.800E-8 -1.726E-15 2.890E-3 1.040E-3 1.157E-2 -1.726E-15 2.609E-2 1.157E-2
1.850E-8 1.690E-15 2.949E-3 1.062E-3 1.181E-2 1.690E-15 2.663E-2 1.181E-2
1.900E-8 -4.054E-16 3.007E-3 1.082E-3 1.204E-2 -4.054E-16 2.716E-2 1.204E-2
1.950E-8 1.363E-15 3.062E-3 1.102E-3 1.227E-2 1.363E-15 2.767E-2 1.227E-2
2.000E-8 5.095E-16 3.116E-3 1.121E-3 1.248E-2 5.095E-16 2.815E-2 1.248E-2
2.050E-8 -7.624E-16 3.167E-3 1.140E-3 1.269E-2 -7.624E-16 2.863E-2 1.269E-2
2.100E-8 -2.141E-15 3.217E-3 1.158E-3 1.289E-2 -2.141E-15 2.908E-2 1.289E-2
2.150E-8 1.083E-15 3.265E-3 1.175E-3 1.308E-2 1.083E-15 2.952E-2 1.308E-2
2.200E-8 1.218E-15 3.312E-3 1.192E-3 1.327E-2 1.218E-15 2.995E-2 1.327E-2
2.250E-8 1.219E-15 3.357E-3 1.208E-3 1.345E-2 1.219E-15 3.036E-2 1.345E-2
2.300E-8 6.863E-16 3.401E-3 1.224E-3 1.363E-2 6.863E-16 3.076E-2 1.363E-2
2.350E-8 -5.801E-16 3.443E-3 1.239E-3 1.380E-2 -5.801E-16 3.115E-2 1.380E-2
2.400E-8 2.398E-15 3.484E-3 1.254E-3 1.396E-2 2.398E-15 3.152E-2 1.396E-2
2.450E-8 -9.841E-16 3.523E-3 1.268E-3 1.412E-2 -9.841E-16 3.188E-2 1.412E-2
