r0 A5A5 A5A10 A3A6 A5A15 A10A10 A5A20 A3A13
3.000E-9 -6.887E-3 -1.532E-2 -5.588E-3 -2.682E-2 -2.682E-2 -4.111E-2 -1.739E-2
3.500E-9 -6.667E-3 -1.484E-2 -5.409E-3 -2.601E-2 -2.601E-2 -3.992E-2 -1.685E-2
4.000E-9 -6.451E-3 -1.437E-2 -5.233E-3 -2.521E-2 -2.521E-2 -3.873E-2 -1.631E-2
4.500E-9 -6.241E-3 -1.391E-2 -5.062E-3 -2.442E-2 -2.442E-2 -3.756E-2 -1.579E-2
5.000E-9 -6.039E-3 -1.347E-2 -4.898E-3 -2.366E-2 -2.366E-2 -3.642E-2 -1.529E-2
5.500E-9 -5.845E-3 -1.304E-2 -4.740E-3 -2.293E-2 -2.293E-2 -3.531E-2 -1.481E-2
6.000E-9 -5.660E-3 -1.264E-2 -4.590E-3 -2.222E-2 -2.222E-2 -3.426E-2 -1.435E-2
6.500E-9 -5.483E-3 -1.225E-2 -4.446E-3 -2.155E-2 -2.155E-2 -3.324E-2 -1.391E-2
7.000E-9 -5.315E-3 -1.188E-2 -4.310E-3 -2.091E-2 -2.091E-2 -3.227E-2 -1.349E-2
7.500E-9 -5.155E-3 -1.152E-2 -4.180E-3 -2.029E-2 -2.029E-2 -3.134E-2 -1.309E-2
8.000E-9 -5.004E-3 -1.119E-2 -4.057E-3 -1.971E-2 -1.971E-2 -3.045E-2 -1.271E-2
8.500E-9 -4.859E-3 -1.087E-2 -3.940E-3 -1.915E-2 -1.915E-2 -2.961E-2 -1.235E-2
9.000E-9 -4.722E-3 -1.056E-2 -3.828E-3 -1.862E-2 -1.862E-2 -2.880E-2 -1.200E-2
9.500E-9 -4.592E-3 -1.027E-2 -3.723E-3 -1.812E-2 -1.812E-2 -2.803E-2 -1.167E-2
1.000E-8 -4.468E-3 -9.998E-3 -3.622E-3 -1.764E-2 -1.764E-2 -2.730E-2 -1.136E-2
1.050E-8 -4.350E-3 -9.735E-3 -3.526E-3 -1.718E-2 -1.718E-2 -2.660E-2 -1.106E-2
1.100E-8 -4.237E-3 -9.485E-3 -3.435E-3 -1.674E-2 -1.674E-2 -2.593E-2 -1.078E-2
1.150E-8 -4.130E-3 -9.247E-3 -3.348E-3 -1.633E-2 -1.633E-2 -2.529E-2 -1.051E-2
1.200E-8 -4.027E-3 -9.019E-3 -3.265E-3 -1.593E-2 -1.593E-2 -2.468E-2 -1.025E-2
1.250E-8 -3.930E-3 -8.801E-3 -3.185E-3 -1.555E-2 -1.555E-2 -2.410E-2 -1.000E-2
1.300E-8 -3.836E-3 -8.594E-3 -3.110E-3 -1.518E-2 -1.518E-2 -2.354E-2 -9.767E-3
1.350E-8 -3.747E-3 -8.395E-3 -3.037E-3 -1.483E-2 -1.483E-2 -2.300E-2 -9.541E-3
1.400E-8 -3.662E-3 -8.205E-3 -2.968E-3 -1.450E-2 -1.450E-2 -2.249E-2 -9.326E-3
1.450E-8 -3.580E-3 -8.023E-3 -2.902E-3 -1.418E-2 -1.418E-2 -2.200E-2 -9.119E-3
1.500E-8 -3.502E-3 -7.848E-3 -2.838E-3 -1.388E-2 -1.388E-2 -2.153E-2 -8.920E-3
1.550E-8 -3.427E-3 -7.680E-3 -2.777E-3 -1.358E-2 -1.358E-2 -2.107E-2 -8.730E-3
1.600E-8 -3.355E-3 -7.520E-3 -2.719E-3 -1.330E-2 -1.330E-2 -2.064E-2 -8.548E-3
1.650E-8 -3.285E-3 -7.365E-3 -2.663E-3 -1.303E-2 -1.303E-2 -2.022E-2 -8.373E-3
1.700E-8 -3.219E-3 -7.217E-3 -2.609E-3 -1.277E-2 -1.277E-2 -1.982E-2 -8.204E-3
1.750E-8 -3.155E-3 -7.074E-3 -2.557E-3 -1.252E-2 -1.252E-2 -1.943E-2 -8.042E-3
1.800E-8 -3.094E-3 -6.937E-3 -2.507E-3 -1.227E-2 -1.227E-2 -1.906E-2 -7.886E-3
1.850E-8 -3.034E-3 -6.805E-3 -2.459E-3 -1.204E-2 -1.204E-2 -1.870E-2 -7.736E-3
1.900E-8 -2.977E-3 -6.677E-3 -2.413E-3 -1.182E-2 -1.182E-2 -1.836E-2 -7.591E-3
1.950E-8 -2.922E-3 -6.554E-3 -2.368E-3 -1.160E-2 -1.160E-2 -1.802E-2 -7.451E-3
2.000E-8 -2.869E-3 -6.436E-3 -2.325E-3 -1.139E-2 -1.139E-2 -1.770E-2 -7.317E-3
2.050E-8 -2.818E-3 -6.321E-3 -2.284E-3 -1.119E-2 -1.119E-2 -1.739E-2 -7.187E-3
2.100E-8 -2.768E-3 -6.210E-3 -2.243E-3 -1.099E-2 -1.099E-2 -1.709E-2 -7.061E-3
