T Rsh logRsh n tauR logTR tauG logTG Voc ff
320 1.000E+2 2.000E+0 2.000E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.848E-2 2.505E-1
320 1.000E+2 2.000E+0 2.040E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.849E-2 2.505E-1
320 1.000E+2 2.000E+0 2.080E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.850E-2 2.504E-1
320 1.000E+2 2.000E+0 2.120E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.851E-2 2.504E-1
320 1.000E+2 2.000E+0 2.160E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.852E-2 2.504E-1
320 1.000E+2 2.000E+0 2.200E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.853E-2 2.504E-1
320 1.000E+2 2.000E+0 2.240E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.854E-2 2.504E-1
320 1.000E+2 2.000E+0 2.280E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.855E-2 2.504E-1
320 1.000E+2 2.000E+0 2.320E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.855E-2 2.504E-1
320 1.000E+2 2.000E+0 2.360E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.856E-2 2.504E-1
320 1.000E+2 2.000E+0 2.400E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.857E-2 2.503E-1
320 1.000E+2 2.000E+0 2.440E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.858E-2 2.503E-1
320 1.000E+2 2.000E+0 2.480E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.858E-2 2.503E-1
320 1.000E+2 2.000E+0 2.520E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.859E-2 2.503E-1
320 1.000E+2 2.000E+0 2.560E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.860E-2 2.503E-1
320 1.000E+2 2.000E+0 2.600E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.860E-2 2.503E-1
320 1.000E+2 2.000E+0 2.640E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.861E-2 2.503E-1
320 1.000E+2 2.000E+0 2.680E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.861E-2 2.503E-1
320 1.000E+2 2.000E+0 2.720E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.862E-2 2.502E-1
320 1.000E+2 2.000E+0 2.760E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.863E-2 2.502E-1
320 1.000E+2 2.000E+0 2.800E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.863E-2 2.502E-1
320 1.000E+2 2.000E+0 2.840E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.864E-2 2.502E-1
320 1.000E+2 2.000E+0 2.880E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.864E-2 2.502E-1
320 1.000E+2 2.000E+0 2.920E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.865E-2 2.502E-1
320 1.000E+2 2.000E+0 2.960E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.865E-2 2.502E-1
320 1.000E+2 2.000E+0 3.000E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.866E-2 2.502E-1
320 1.000E+2 2.000E+0 3.040E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.866E-2 2.502E-1
320 1.000E+2 2.000E+0 3.080E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.867E-2 2.502E-1
320 1.000E+2 2.000E+0 3.120E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.867E-2 2.502E-1
320 1.000E+2 2.000E+0 3.160E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.867E-2 2.502E-1
320 1.000E+2 2.000E+0 3.200E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.868E-2 2.502E-1
320 1.000E+2 2.000E+0 3.240E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.868E-2 2.502E-1
320 1.000E+2 2.000E+0 3.280E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.869E-2 2.502E-1
320 1.000E+2 2.000E+0 3.320E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.869E-2 2.501E-1
320 1.000E+2 2.000E+0 3.360E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.869E-2 2.502E-1
320 1.000E+2 2.000E+0 3.400E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.870E-2 2.501E-1
320 1.000E+2 2.000E+0 3.440E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.870E-2 2.501E-1
320 1.000E+2 2.000E+0 3.480E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.870E-2 2.502E-1
320 1.000E+2 2.000E+0 3.520E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.871E-2 2.501E-1
320 1.000E+2 2.000E+0 3.560E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.871E-2 2.501E-1
