r0 AplusA epsL
3.000E-9 3.000E-10 -6.251E-4
3.000E-9 3.500E-10 -8.506E-4
3.000E-9 4.000E-10 -1.111E-3
3.000E-9 4.500E-10 -1.405E-3
3.000E-9 5.000E-10 -1.734E-3
3.000E-9 5.500E-10 -2.097E-3
3.000E-9 6.000E-10 -2.494E-3
3.000E-9 6.500E-10 -2.925E-3
3.000E-9 7.000E-10 -3.391E-3
3.000E-9 7.500E-10 -3.890E-3
3.000E-9 8.000E-10 -4.423E-3
3.000E-9 8.500E-10 -4.989E-3
3.000E-9 9.000E-10 -5.588E-3
3.000E-9 9.500E-10 -6.221E-3
3.000E-9 1.000E-9 -6.887E-3
3.000E-9 1.050E-9 -7.586E-3
3.000E-9 1.100E-9 -8.318E-3
3.000E-9 1.150E-9 -9.082E-3
3.000E-9 1.200E-9 -9.878E-3
3.000E-9 1.250E-9 -1.071E-2
3.000E-9 1.300E-9 -1.157E-2
3.000E-9 1.350E-9 -1.246E-2
3.000E-9 1.400E-9 -1.338E-2
3.000E-9 1.450E-9 -1.434E-2
3.000E-9 1.500E-9 -1.532E-2
3.000E-9 1.550E-9 -1.634E-2
3.000E-9 1.600E-9 -1.739E-2
3.000E-9 1.650E-9 -1.846E-2
3.000E-9 1.700E-9 -1.957E-2
3.000E-9 1.750E-9 -2.071E-2
3.000E-9 1.800E-9 -2.187E-2
3.000E-9 1.850E-9 -2.307E-2
3.000E-9 1.900E-9 -2.429E-2
3.000E-9 1.950E-9 -2.554E-2
3.000E-9 2.000E-9 -2.682E-2
3.000E-9 2.050E-9 -2.813E-2
3.000E-9 2.100E-9 -2.947E-2
3.000E-9 2.150E-9 -3.083E-2
3.000E-9 2.200E-9 -3.222E-2
3.000E-9 2.250E-9 -3.364E-2
3.000E-9 2.300E-9 -3.508E-2
3.000E-9 2.350E-9 -3.655E-2
3.000E-9 2.400E-9 -3.805E-2
3.000E-9 2.450E-9 -3.957E-2
3.000E-9 2.500E-9 -4.111E-2
3.000E-9 2.550E-9 -4.268E-2
3.000E-9 2.600E-9 -4.428E-2
3.000E-9 2.650E-9 -4.590E-2
3.000E-9 2.700E-9 -4.754E-2
3.000E-9 2.750E-9 -4.921E-2
3.000E-9 2.800E-9 -5.090E-2
3.000E-9 2.850E-9 -5.261E-2
3.000E-9 2.900E-9 -5.435E-2
3.000E-9 2.950E-9 -5.610E-2
3.000E-9 3.000E-9 -5.788E-2
3.500E-9 3.000E-10 -6.047E-4
3.500E-9 3.500E-10 -8.229E-4
3.500E-9 4.000E-10 -1.074E-3
3.500E-9 4.500E-10 -1.359E-3
3.500E-9 5.000E-10 -1.677E-3
3.500E-9 5.500E-10 -2.029E-3
3.500E-9 6.000E-10 -2.413E-3
3.500E-9 6.500E-10 -2.831E-3
3.500E-9 7.000E-10 -3.281E-3
3.500E-9 7.500E-10 -3.764E-3
3.500E-9 8.000E-10 -4.280E-3
3.500E-9 8.500E-10 -4.828E-3
3.500E-9 9.000E-10 -5.409E-3
3.500E-9 9.500E-10 -6.022E-3
3.500E-9 1.000E-9 -6.667E-3
3.500E-9 1.050E-9 -7.344E-3
3.500E-9 1.100E-9 -8.053E-3
3.500E-9 1.150E-9 -8.793E-3
3.500E-9 1.200E-9 -9.565E-3
3.500E-9 1.250E-9 -1.037E-2
3.500E-9 1.300E-9 -1.120E-2
3.500E-9 1.350E-9 -1.207E-2
3.500E-9 1.400E-9 -1.296E-2
3.500E-9 1.450E-9 -1.389E-2
3.500E-9 1.500E-9 -1.484E-2
3.500E-9 1.550E-9 -1.583E-2
3.500E-9 1.600E-9 -1.685E-2
3.500E-9 1.650E-9 -1.789E-2
3.500E-9 1.700E-9 -1.897E-2
3.500E-9 1.750E-9 -2.007E-2
3.500E-9 1.800E-9 -2.120E-2
3.500E-9 1.850E-9 -2.236E-2
3.500E-9 1.900E-9 -2.355E-2
3.500E-9 1.950E-9 -2.477E-2
3.500E-9 2.000E-9 -2.601E-2
3.500E-9 2.050E-9 -2.728E-2
3.500E-9 2.100E-9 -2.858E-2
3.500E-9 2.150E-9 -2.991E-2
3.500E-9 2.200E-9 -3.126E-2
3.500E-9 2.250E-9 -3.264E-2
3.500E-9 2.300E-9 -3.405E-2
3.500E-9 2.350E-9 -3.548E-2
3.500E-9 2.400E-9 -3.693E-2
3.500E-9 2.450E-9 -3.841E-2
3.500E-9 2.500E-9 -3.992E-2
3.500E-9 2.550E-9 -4.145E-2
3.500E-9 2.600E-9 -4.300E-2
3.500E-9 2.650E-9 -4.458E-2
3.500E-9 2.700E-9 -4.618E-2
3.500E-9 2.750E-9 -4.781E-2
3.500E-9 2.800E-9 -4.946E-2
3.500E-9 2.850E-9 -5.113E-2
3.500E-9 2.900E-9 -5.282E-2
3.500E-9 2.950E-9 -5.453E-2
3.500E-9 3.000E-9 -5.627E-2
4.000E-9 3.000E-10 -5.848E-4
4.000E-9 3.500E-10 -7.958E-4
4.000E-9 4.000E-10 -1.039E-3
4.000E-9 4.500E-10 -1.315E-3
4.000E-9 5.000E-10 -1.622E-3
4.000E-9 5.500E-10 -1.962E-3
4.000E-9 6.000E-10 -2.334E-3
4.000E-9 6.500E-10 -2.738E-3
4.000E-9 7.000E-10 -3.174E-3
4.000E-9 7.500E-10 -3.641E-3
4.000E-9 8.000E-10 -4.140E-3
4.000E-9 8.500E-10 -4.671E-3
4.000E-9 9.000E-10 -5.233E-3
4.000E-9 9.500E-10 -5.826E-3
4.000E-9 1.000E-9 -6.451E-3
4.000E-9 1.050E-9 -7.106E-3
4.000E-9 1.100E-9 -7.793E-3
4.000E-9 1.150E-9 -8.510E-3
4.000E-9 1.200E-9 -9.257E-3
4.000E-9 1.250E-9 -1.003E-2
4.000E-9 1.300E-9 -1.084E-2
4.000E-9 1.350E-9 -1.168E-2
4.000E-9 1.400E-9 -1.255E-2
4.000E-9 1.450E-9 -1.345E-2
4.000E-9 1.500E-9 -1.437E-2
4.000E-9 1.550E-9 -1.533E-2
4.000E-9 1.600E-9 -1.631E-2
4.000E-9 1.650E-9 -1.733E-2
4.000E-9 1.700E-9 -1.837E-2
4.000E-9 1.750E-9 -1.944E-2
4.000E-9 1.800E-9 -2.054E-2
4.000E-9 1.850E-9 -2.166E-2
4.000E-9 1.900E-9 -2.282E-2
4.000E-9 1.950E-9 -2.400E-2
4.000E-9 2.000E-9 -2.521E-2
4.000E-9 2.050E-9 -2.644E-2
4.000E-9 2.100E-9 -2.771E-2
4.000E-9 2.150E-9 -2.899E-2
4.000E-9 2.200E-9 -3.031E-2
4.000E-9 2.250E-9 -3.165E-2
4.000E-9 2.300E-9 -3.301E-2
4.000E-9 2.350E-9 -3.441E-2
4.000E-9 2.400E-9 -3.582E-2
4.000E-9 2.450E-9 -3.726E-2
4.000E-9 2.500E-9 -3.873E-2
4.000E-9 2.550E-9 -4.022E-2
4.000E-9 2.600E-9 -4.173E-2
4.000E-9 2.650E-9 -4.327E-2
4.000E-9 2.700E-9 -4.482E-2
4.000E-9 2.750E-9 -4.641E-2
4.000E-9 2.800E-9 -4.801E-2
4.000E-9 2.850E-9 -4.964E-2
4.000E-9 2.900E-9 -5.129E-2
4.000E-9 2.950E-9 -5.296E-2
4.000E-9 3.000E-9 -5.466E-2
4.500E-9 3.000E-10 -5.655E-4
4.500E-9 3.500E-10 -7.695E-4
4.500E-9 4.000E-10 -1.005E-3
4.500E-9 4.500E-10 -1.271E-3
4.500E-9 5.000E-10 -1.569E-3
4.500E-9 5.500E-10 -1.898E-3
4.500E-9 6.000E-10 -2.257E-3
4.500E-9 6.500E-10 -2.648E-3
4.500E-9 7.000E-10 -3.070E-3
4.500E-9 7.500E-10 -3.522E-3
4.500E-9 8.000E-10 -4.005E-3
4.500E-9 8.500E-10 -4.518E-3
4.500E-9 9.000E-10 -5.062E-3
4.500E-9 9.500E-10 -5.637E-3
4.500E-9 1.000E-9 -6.241E-3
4.500E-9 1.050E-9 -6.875E-3
4.500E-9 1.100E-9 -7.540E-3
4.500E-9 1.150E-9 -8.234E-3
4.500E-9 1.200E-9 -8.958E-3
4.500E-9 1.250E-9 -9.711E-3
4.500E-9 1.300E-9 -1.049E-2
4.500E-9 1.350E-9 -1.131E-2
4.500E-9 1.400E-9 -1.215E-2
4.500E-9 1.450E-9 -1.302E-2
4.500E-9 1.500E-9 -1.391E-2
4.500E-9 1.550E-9 -1.484E-2
4.500E-9 1.600E-9 -1.579E-2
4.500E-9 1.650E-9 -1.678E-2
4.500E-9 1.700E-9 -1.779E-2
4.500E-9 1.750E-9 -1.883E-2
4.500E-9 1.800E-9 -1.989E-2
4.500E-9 1.850E-9 -2.098E-2
4.500E-9 1.900E-9 -2.210E-2
4.500E-9 1.950E-9 -2.325E-2
4.500E-9 2.000E-9 -2.442E-2
4.500E-9 2.050E-9 -2.562E-2
4.500E-9 2.100E-9 -2.685E-2
4.500E-9 2.150E-9 -2.810E-2
4.500E-9 2.200E-9 -2.937E-2
4.500E-9 2.250E-9 -3.068E-2
4.500E-9 2.300E-9 -3.200E-2
4.500E-9 2.350E-9 -3.335E-2
4.500E-9 2.400E-9 -3.473E-2
4.500E-9 2.450E-9 -3.613E-2
4.500E-9 2.500E-9 -3.756E-2
4.500E-9 2.550E-9 -3.900E-2
4.500E-9 2.600E-9 -4.048E-2
4.500E-9 2.650E-9 -4.197E-2
4.500E-9 2.700E-9 -4.349E-2
4.500E-9 2.750E-9 -4.503E-2
4.500E-9 2.800E-9 -4.659E-2
4.500E-9 2.850E-9 -4.818E-2
4.500E-9 2.900E-9 -4.978E-2
4.500E-9 2.950E-9 -5.141E-2
4.500E-9 3.000E-9 -5.306E-2
5.000E-9 3.000E-10 -5.470E-4
5.000E-9 3.500E-10 -7.443E-4
5.000E-9 4.000E-10 -9.719E-4
5.000E-9 4.500E-10 -1.230E-3
5.000E-9 5.000E-10 -1.518E-3
5.000E-9 5.500E-10 -1.836E-3
5.000E-9 6.000E-10 -2.184E-3
5.000E-9 6.500E-10 -2.562E-3
5.000E-9 7.000E-10 -2.970E-3
5.000E-9 7.500E-10 -3.407E-3
5.000E-9 8.000E-10 -3.874E-3
5.000E-9 8.500E-10 -4.371E-3
5.000E-9 9.000E-10 -4.898E-3
5.000E-9 9.500E-10 -5.454E-3
5.000E-9 1.000E-9 -6.039E-3
5.000E-9 1.050E-9 -6.653E-3
5.000E-9 1.100E-9 -7.296E-3
5.000E-9 1.150E-9 -7.968E-3
5.000E-9 1.200E-9 -8.669E-3
5.000E-9 1.250E-9 -9.399E-3
5.000E-9 1.300E-9 -1.016E-2
5.000E-9 1.350E-9 -1.094E-2
5.000E-9 1.400E-9 -1.176E-2
