delta fi L
0 0 9.594E-4
0 2 9.567E-4
0 4 9.486E-4
0 6 9.351E-4
0 8 9.164E-4
0 10 8.925E-4
0 12 8.634E-4
0 14 8.295E-4
0 16 7.908E-4
0 18 7.475E-4
0 20 6.998E-4
0 22 6.480E-4
0 24 5.923E-4
0 26 5.330E-4
0 28 4.704E-4
0 30 4.047E-4
0 32 3.364E-4
0 34 2.657E-4
0 36 1.930E-4
0 38 1.187E-4
0 40 4.301E-5
0 42 -3.356E-5
0 44 -1.107E-4
0 46 -1.880E-4
0 48 -2.651E-4
0 50 -3.416E-4
0 52 -4.172E-4
0 54 -4.915E-4
0 56 -5.641E-4
0 58 -6.347E-4
0 60 -7.028E-4
0 62 -7.683E-4
0 64 -8.308E-4
0 66 -8.899E-4
0 68 -9.455E-4
0 70 -9.971E-4
0 72 -1.045E-3
0 74 -1.088E-3
0 76 -1.126E-3
0 78 -1.160E-3
0 80 -1.189E-3
0 82 -1.213E-3
0 84 -1.232E-3
0 86 -1.245E-3
0 88 -1.253E-3
0 90 -1.256E-3
0 92 -1.253E-3
0 94 -1.245E-3
0 96 -1.232E-3
0 98 -1.213E-3
0 100 -1.189E-3
0 102 -1.160E-3
0 104 -1.126E-3
0 106 -1.088E-3
0 108 -1.045E-3
0 110 -9.971E-4
0 112 -9.455E-4
0 114 -8.899E-4
0 116 -8.308E-4
0 118 -7.683E-4
0 120 -7.028E-4
0 122 -6.347E-4
0 124 -5.641E-4
0 126 -4.915E-4
0 128 -4.172E-4
0 130 -3.416E-4
0 132 -2.651E-4
0 134 -1.880E-4
0 136 -1.107E-4
0 138 -3.356E-5
0 140 4.301E-5
0 142 1.187E-4
0 144 1.930E-4
0 146 2.657E-4
0 148 3.364E-4
0 150 4.047E-4
0 152 4.704E-4
0 154 5.330E-4
0 156 5.923E-4
0 158 6.480E-4
0 160 6.998E-4
0 162 7.475E-4
0 164 7.908E-4
0 166 8.295E-4
0 168 8.634E-4
0 170 8.925E-4
0 172 9.164E-4
0 174 9.351E-4
0 176 9.486E-4
0 178 9.567E-4
0 180 9.594E-4
2 0 9.617E-4
2 2 9.590E-4
2 4 9.509E-4
2 6 9.374E-4
2 8 9.186E-4
2 10 8.946E-4
2 12 8.655E-4
2 14 8.315E-4
2 16 7.927E-4
2 18 7.493E-4
2 20 7.015E-4
2 22 6.495E-4
2 24 5.937E-4
2 26 5.343E-4
2 28 4.715E-4
2 30 4.057E-4
2 32 3.372E-4
2 34 2.664E-4
2 36 1.935E-4
2 38 1.189E-4
2 40 4.311E-5
2 42 -3.365E-5
2 44 -1.110E-4
2 46 -1.885E-4
2 48 -2.658E-4
2 50 -3.425E-4
2 52 -4.182E-4
2 54 -4.927E-4
2 56 -5.655E-4
2 58 -6.362E-4
2 60 -7.046E-4
2 62 -7.702E-4
2 64 -8.328E-4
2 66 -8.921E-4
2 68 -9.478E-4
2 70 -9.995E-4
2 72 -1.047E-3
2 74 -1.090E-3
2 76 -1.129E-3
2 78 -1.163E-3
2 80 -1.192E-3
2 82 -1.216E-3
2 84 -1.235E-3
2 86 -1.248E-3
2 88 -1.256E-3
2 90 -1.259E-3
2 92 -1.256E-3
2 94 -1.248E-3
2 96 -1.235E-3
2 98 -1.216E-3
2 100 -1.192E-3
2 102 -1.163E-3
2 104 -1.129E-3
2 106 -1.090E-3
2 108 -1.047E-3
2 110 -9.995E-4
2 112 -9.478E-4
2 114 -8.921E-4
2 116 -8.328E-4
2 118 -7.702E-4
2 120 -7.046E-4
2 122 -6.362E-4
2 124 -5.655E-4
2 126 -4.927E-4
2 128 -4.182E-4
2 130 -3.425E-4
2 132 -2.658E-4
2 134 -1.885E-4
2 136 -1.110E-4
2 138 -3.365E-5
2 140 4.311E-5
2 142 1.189E-4
2 144 1.935E-4
2 146 2.664E-4
2 148 3.372E-4
2 150 4.057E-4
2 152 4.715E-4
2 154 5.343E-4
2 156 5.937E-4
2 158 6.495E-4
2 160 7.015E-4
2 162 7.493E-4
2 164 7.927E-4
2 166 8.315E-4
2 168 8.655E-4
2 170 8.946E-4
2 172 9.186E-4
2 174 9.374E-4
2 176 9.509E-4
2 178 9.590E-4
2 180 9.617E-4
4 0 9.687E-4
4 2 9.660E-4
4 4 9.578E-4
4 6 9.442E-4
4 8 9.253E-4
4 10 9.011E-4
4 12 8.718E-4
4 14 8.375E-4
4 16 7.984E-4
4 18 7.547E-4
4 20 7.066E-4
4 22 6.543E-4
4 24 5.980E-4
4 26 5.382E-4
4 28 4.749E-4
4 30 4.087E-4
4 32 3.397E-4
4 34 2.683E-4
4 36 1.949E-4
4 38 1.198E-4
4 40 4.342E-5
4 42 -3.390E-5
4 44 -1.118E-4
4 46 -1.898E-4
4 48 -2.677E-4
4 50 -3.450E-4
4 52 -4.213E-4
4 54 -4.963E-4
4 56 -5.696E-4
4 58 -6.408E-4
4 60 -7.097E-4
4 62 -7.758E-4
4 64 -8.389E-4
4 66 -8.986E-4
4 68 -9.547E-4
4 70 -1.007E-3
4 72 -1.055E-3
4 74 -1.098E-3
4 76 -1.137E-3
4 78 -1.171E-3
4 80 -1.201E-3
4 82 -1.225E-3
4 84 -1.244E-3
4 86 -1.257E-3
4 88 -1.265E-3
4 90 -1.268E-3
4 92 -1.265E-3
4 94 -1.257E-3
4 96 -1.244E-3
4 98 -1.225E-3
4 100 -1.201E-3
4 102 -1.171E-3
4 104 -1.137E-3
4 106 -1.098E-3
4 108 -1.055E-3
4 110 -1.007E-3
4 112 -9.547E-4
4 114 -8.986E-4
4 116 -8.389E-4
4 118 -7.758E-4
4 120 -7.097E-4
4 122 -6.408E-4
4 124 -5.696E-4
4 126 -4.963E-4
4 128 -4.213E-4
4 130 -3.450E-4
4 132 -2.677E-4
4 134 -1.898E-4
4 136 -1.118E-4
4 138 -3.390E-5
4 140 4.342E-5
4 142 1.198E-4
4 144 1.949E-4
4 146 2.683E-4
4 148 3.397E-4
4 150 4.087E-4
4 152 4.749E-4
4 154 5.382E-4
4 156 5.980E-4
4 158 6.543E-4
4 160 7.066E-4
4 162 7.547E-4
4 164 7.984E-4
4 166 8.375E-4
4 168 8.718E-4
4 170 9.011E-4
4 172 9.253E-4
4 174 9.442E-4
4 176 9.578E-4
4 178 9.660E-4
4 180 9.687E-4
6 0 9.804E-4
6 2 9.776E-4
6 4 9.693E-4
6 6 9.556E-4
6 8 9.364E-4
6 10 9.120E-4
6 12 8.823E-4
6 14 8.476E-4
6 16 8.080E-4
6 18 7.638E-4
6 20 7.151E-4
6 22 6.621E-4
6 24 6.052E-4
6 26 5.446E-4
6 28 4.806E-4
6 30 4.136E-4
6 32 3.437E-4
6 34 2.715E-4
6 36 1.972E-4
6 38 1.212E-4
6 40 4.392E-5
6 42 -3.433E-5
6 44 -1.131E-4
6 46 -1.921E-4
6 48 -2.709E-4
6 50 -3.491E-4
6 52 -4.264E-4
6 54 -5.023E-4
6 56 -5.765E-4
6 58 -6.486E-4
6 60 -7.182E-4
6 62 -7.852E-4
6 64 -8.490E-4
6 66 -9.094E-4
6 68 -9.662E-4
6 70 -1.019E-3
6 72 -1.068E-3
6 74 -1.112E-3
6 76 -1.151E-3
6 78 -1.186E-3
6 80 -1.215E-3
6 82 -1.239E-3
6 84 -1.259E-3
6 86 -1.272E-3
6 88 -1.280E-3
6 90 -1.283E-3
6 92 -1.280E-3
6 94 -1.272E-3
6 96 -1.259E-3
6 98 -1.239E-3
6 100 -1.215E-3
6 102 -1.186E-3
6 104 -1.151E-3
6 106 -1.112E-3
6 108 -1.068E-3
6 110 -1.019E-3
6 112 -9.662E-4
6 114 -9.094E-4
6 116 -8.490E-4
6 118 -7.852E-4
6 120 -7.182E-4
6 122 -6.486E-4
6 124 -5.765E-4
6 126 -5.023E-4
6 128 -4.264E-4
6 130 -3.491E-4
6 132 -2.709E-4
6 134 -1.921E-4
6 136 -1.131E-4
6 138 -3.433E-5
6 140 4.392E-5
6 142 1.212E-4
6 144 1.972E-4
6 146 2.715E-4
6 148 3.437E-4
6 150 4.136E-4
6 152 4.806E-4
6 154 5.446E-4
6 156 6.052E-4
6 158 6.621E-4
6 160 7.151E-4
6 162 7.638E-4
6 164 8.080E-4
6 166 8.476E-4
6 168 8.823E-4
6 170 9.120E-4
6 172 9.364E-4
6 174 9.556E-4
6 176 9.693E-4
6 178 9.776E-4
6 180 9.804E-4
8 0 9.967E-4
