delta fi R2
0 0 1.953E-3
0 2 1.953E-3
0 4 1.953E-3
0 6 1.953E-3
0 8 1.953E-3
0 10 1.953E-3
0 12 1.953E-3
0 14 1.953E-3
0 16 1.953E-3
0 18 1.953E-3
0 20 1.953E-3
0 22 1.953E-3
0 24 1.953E-3
0 26 1.953E-3
0 28 1.953E-3
0 30 1.953E-3
0 32 1.953E-3
0 34 1.953E-3
0 36 1.953E-3
0 38 1.953E-3
0 40 1.953E-3
0 42 1.953E-3
0 44 1.953E-3
0 46 1.953E-3
0 48 1.953E-3
0 50 1.953E-3
0 52 1.953E-3
0 54 1.953E-3
0 56 1.953E-3
0 58 1.953E-3
0 60 1.953E-3
0 62 1.953E-3
0 64 1.953E-3
0 66 1.953E-3
0 68 1.953E-3
0 70 1.953E-3
0 72 1.953E-3
0 74 1.953E-3
0 76 1.953E-3
0 78 1.953E-3
0 80 1.953E-3
0 82 1.953E-3
0 84 1.953E-3
0 86 1.953E-3
0 88 1.953E-3
0 90 1.953E-3
0 92 1.953E-3
0 94 1.953E-3
0 96 1.953E-3
0 98 1.953E-3
0 100 1.953E-3
0 102 1.953E-3
0 104 1.953E-3
0 106 1.953E-3
0 108 1.953E-3
0 110 1.953E-3
0 112 1.953E-3
0 114 1.953E-3
0 116 1.953E-3
0 118 1.953E-3
0 120 1.953E-3
0 122 1.953E-3
0 124 1.953E-3
0 126 1.953E-3
0 128 1.953E-3
0 130 1.953E-3
0 132 1.953E-3
0 134 1.953E-3
0 136 1.953E-3
0 138 1.953E-3
0 140 1.953E-3
0 142 1.953E-3
0 144 1.953E-3
0 146 1.953E-3
0 148 1.953E-3
0 150 1.953E-3
0 152 1.953E-3
0 154 1.953E-3
0 156 1.953E-3
0 158 1.953E-3
0 160 1.953E-3
0 162 1.953E-3
0 164 1.953E-3
0 166 1.953E-3
0 168 1.953E-3
0 170 1.953E-3
0 172 1.953E-3
0 174 1.953E-3
0 176 1.953E-3
0 178 1.953E-3
0 180 1.953E-3
2 0 1.958E-3
2 2 1.958E-3
2 4 1.958E-3
2 6 1.958E-3
2 8 1.958E-3
2 10 1.958E-3
2 12 1.958E-3
2 14 1.958E-3
2 16 1.958E-3
2 18 1.958E-3
2 20 1.958E-3
2 22 1.958E-3
2 24 1.958E-3
2 26 1.958E-3
2 28 1.958E-3
2 30 1.958E-3
2 32 1.958E-3
2 34 1.958E-3
2 36 1.958E-3
2 38 1.958E-3
2 40 1.958E-3
2 42 1.958E-3
2 44 1.958E-3
2 46 1.958E-3
2 48 1.958E-3
2 50 1.958E-3
2 52 1.958E-3
2 54 1.958E-3
2 56 1.958E-3
2 58 1.958E-3
2 60 1.958E-3
2 62 1.958E-3
2 64 1.958E-3
2 66 1.958E-3
2 68 1.958E-3
2 70 1.958E-3
2 72 1.958E-3
2 74 1.958E-3
2 76 1.958E-3
2 78 1.958E-3
2 80 1.958E-3
2 82 1.958E-3
2 84 1.958E-3
2 86 1.958E-3
2 88 1.958E-3
2 90 1.958E-3
2 92 1.958E-3
2 94 1.958E-3
2 96 1.958E-3
2 98 1.958E-3
2 100 1.958E-3
2 102 1.958E-3
2 104 1.958E-3
2 106 1.958E-3
2 108 1.958E-3
2 110 1.958E-3
2 112 1.958E-3
2 114 1.958E-3
2 116 1.958E-3
2 118 1.958E-3
2 120 1.958E-3
2 122 1.958E-3
2 124 1.958E-3
2 126 1.958E-3
2 128 1.958E-3
2 130 1.958E-3
2 132 1.958E-3
2 134 1.958E-3
2 136 1.958E-3
2 138 1.958E-3
2 140 1.958E-3
2 142 1.958E-3
2 144 1.958E-3
2 146 1.958E-3
2 148 1.958E-3
2 150 1.958E-3
2 152 1.958E-3
2 154 1.958E-3
2 156 1.958E-3
2 158 1.958E-3
2 160 1.958E-3
2 162 1.958E-3
2 164 1.958E-3
2 166 1.958E-3
2 168 1.958E-3
2 170 1.958E-3
2 172 1.958E-3
2 174 1.958E-3
2 176 1.958E-3
2 178 1.958E-3
2 180 1.958E-3
4 0 1.972E-3
4 2 1.972E-3
4 4 1.972E-3
4 6 1.972E-3
4 8 1.972E-3
4 10 1.972E-3
4 12 1.972E-3
4 14 1.972E-3
4 16 1.972E-3
4 18 1.972E-3
4 20 1.972E-3
4 22 1.972E-3
4 24 1.972E-3
4 26 1.972E-3
4 28 1.972E-3
4 30 1.972E-3
4 32 1.972E-3
4 34 1.972E-3
4 36 1.972E-3
4 38 1.972E-3
4 40 1.972E-3
4 42 1.972E-3
4 44 1.972E-3
4 46 1.972E-3
4 48 1.972E-3
4 50 1.972E-3
4 52 1.972E-3
4 54 1.972E-3
4 56 1.972E-3
4 58 1.972E-3
4 60 1.972E-3
4 62 1.972E-3
4 64 1.972E-3
4 66 1.972E-3
4 68 1.972E-3
4 70 1.972E-3
4 72 1.972E-3
4 74 1.972E-3
4 76 1.972E-3
4 78 1.972E-3
4 80 1.972E-3
4 82 1.972E-3
4 84 1.972E-3
4 86 1.972E-3
4 88 1.972E-3
4 90 1.972E-3
4 92 1.972E-3
4 94 1.972E-3
4 96 1.972E-3
4 98 1.972E-3
4 100 1.972E-3
4 102 1.972E-3
4 104 1.972E-3
4 106 1.972E-3
4 108 1.972E-3
4 110 1.972E-3
4 112 1.972E-3
4 114 1.972E-3
4 116 1.972E-3
4 118 1.972E-3
4 120 1.972E-3
4 122 1.972E-3
4 124 1.972E-3
4 126 1.972E-3
4 128 1.972E-3
4 130 1.972E-3
4 132 1.972E-3
4 134 1.972E-3
4 136 1.972E-3
4 138 1.972E-3
4 140 1.972E-3
4 142 1.972E-3
4 144 1.972E-3
4 146 1.972E-3
4 148 1.972E-3
4 150 1.972E-3
4 152 1.972E-3
4 154 1.972E-3
4 156 1.972E-3
4 158 1.972E-3
4 160 1.972E-3
4 162 1.972E-3
4 164 1.972E-3
4 166 1.972E-3
4 168 1.972E-3
4 170 1.972E-3
4 172 1.972E-3
4 174 1.972E-3
4 176 1.972E-3
4 178 1.972E-3
4 180 1.972E-3
6 0 1.996E-3
6 2 1.996E-3
6 4 1.996E-3
6 6 1.996E-3
6 8 1.996E-3
6 10 1.996E-3
6 12 1.996E-3
6 14 1.996E-3
6 16 1.996E-3
6 18 1.996E-3
6 20 1.996E-3
6 22 1.996E-3
6 24 1.996E-3
6 26 1.996E-3
6 28 1.996E-3
6 30 1.996E-3
6 32 1.996E-3
6 34 1.996E-3
