V d43s d43b V1 d51a d51b d51c d51d d73a d73b d73c d82a d82b d53a d53b d53c
-1.200000e+00 6.366605e-09 6.636951e-09 -1.200000e+00 7.626539e-09 8.072455e-09 8.233701e-09 8.422559e-09 7.109517e-09 7.103828e-09 7.176549e-09 7.134796e-09 8.979569e-09 6.671709e-09 6.792954e-09 7.444134e-09
-1.100000e+00 7.362146e-09 6.790656e-09 -1.000000e+00 8.258097e-09 8.559234e-09 8.813701e-09 8.821985e-09 7.465804e-09 7.326774e-09 7.528849e-09 7.475192e-09 9.612923e-09 6.973262e-09 7.449317e-09 7.802007e-09
-1.000000e+00 7.244184e-09 6.974622e-09 -8.000000e-01 8.945100e-09 9.092387e-09 9.427339e-09 9.440349e-09 7.873676e-09 7.625534e-09 8.244739e-09 7.993315e-09 1.034904e-08 7.353389e-09 7.753573e-09 8.367364e-09
-9.000000e-01 6.486526e-09 7.160662e-09 -6.000000e-01 9.613391e-09 9.856027e-09 1.028307e-08 1.021147e-08 8.385956e-09 8.178846e-09 8.920738e-09 8.548896e-09 1.129683e-08 7.776522e-09 7.609943e-09 8.788589e-09
-8.000000e-01 7.410604e-09 7.369066e-09 -4.000000e-01 1.097108e-08 1.080695e-08 1.138161e-08 1.138773e-08 9.045077e-09 8.911792e-09 9.592039e-09 9.244347e-09 1.247041e-08 8.320225e-09 8.450132e-09 9.581657e-09
-7.000000e-01 8.833432e-09 7.586663e-09 -2.000000e-01 1.234687e-08 1.198656e-08 1.284996e-08 1.280897e-08 9.891274e-09 9.603487e-09 1.007356e-08 1.021259e-08 1.400703e-08 9.038900e-09 9.939961e-09 1.073840e-08
-6.000000e-01 9.291508e-09 7.836902e-09 0.000000e+00 1.454579e-08 1.391146e-08 1.489883e-08 1.491101e-08 1.098395e-08 1.061794e-08 1.205856e-08 1.151460e-08 1.645597e-08 1.000637e-08 1.119559e-08 1.563021e-08
-5.000000e-01 9.632776e-09 8.112101e-09 2.000000e-01 2.264388e-08 1.744963e-08 2.202421e-08 1.850539e-08 1.359607e-08 1.226491e-08 1.428433e-08 1.323040e-08 2.088973e-08 1.337753e-08 1.744093e-08 1.942898e-08
-4.000000e-01 1.008344e-08 8.435849e-09 4.000000e-01 5.758488e-08 3.978231e-08 6.018718e-08 3.387011e-08 1.083545e-07 5.581919e-08 4.136912e-08 7.001702e-08 6.646773e-08 4.404254e-08 2.931238e-08 2.263575e-08
-3.000000e-01 1.070569e-08 8.793373e-09 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
-2.000000e-01 1.130956e-08 9.213669e-09 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
-1.000000e-01 1.210751e-08 9.697105e-09 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.000000e+00 1.315317e-08 1.027947e-08 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.000000e-01 1.457134e-08 1.101089e-08 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2.000000e-01 1.716017e-08 1.187462e-08 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
3.000000e-01 2.170206e-08 1.300104e-08 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
