V d44s d44b V1 d52a d52b d54a d54b d54c d74a d74b
-1.200000e+00 5.908034e-09 5.120534e-09 -1.200000e+00 7.952023e-09 1.217757e-08 8.141015e-09 7.366434e-09 7.951323e-09 5.785818e-09 6.826624e-09
-1.100000e+00 6.063341e-09 5.168182e-09 -1.000000e+00 8.391480e-09 9.186890e-09 9.572941e-09 7.766421e-09 8.362656e-09 6.092146e-09 7.191045e-09
-1.000000e+00 6.190889e-09 5.321691e-09 -8.000000e-01 8.924107e-09 1.033957e-08 1.035402e-08 8.279086e-09 8.863828e-09 6.461719e-09 7.623101e-09
-9.000000e-01 6.332924e-09 5.528793e-09 -6.000000e-01 9.626123e-09 1.133415e-08 1.074377e-08 8.922241e-09 9.454317e-09 6.917592e-09 8.160412e-09
-8.000000e-01 6.491503e-09 6.863913e-09 -4.000000e-01 1.048519e-08 1.209660e-08 9.943743e-09 1.108837e-08 1.021708e-08 7.469654e-09 8.793607e-09
-7.000000e-01 6.658922e-09 6.798358e-09 -2.000000e-01 1.169701e-08 1.414041e-08 1.040837e-08 1.795939e-08 1.125015e-08 8.231014e-09 9.695127e-09
-6.000000e-01 6.845549e-09 7.596155e-09 0.000000e+00 1.405669e-08 1.580540e-08 1.186722e-08 2.623037e-08 1.269221e-08 9.248313e-09 1.086932e-08
-5.000000e-01 7.088612e-09 7.357091e-09 2.000000e-01 2.993085e-08 3.262563e-08 1.991606e-08 1.891282e-08 2.148681e-08 1.083891e-08 1.277346e-08
-4.000000e-01 7.326290e-09 8.381079e-09 4.000000e-01 5.603514e-08 5.382916e-08 1.709791e-08 2.270549e-08 2.522474e-08 1.402672e-08 2.658547e-08
-3.000000e-01 7.589475e-09 9.208711e-09 NaN NaN NaN NaN NaN NaN NaN NaN
-2.000000e-01 7.896355e-09 9.906322e-09 NaN NaN NaN NaN NaN NaN NaN NaN
-1.000000e-01 9.958072e-09 1.024645e-08 NaN NaN NaN NaN NaN NaN NaN NaN
0.000000e+00 1.762226e-08 1.169956e-08 NaN NaN NaN NaN NaN NaN NaN NaN
1.000000e-01 1.621099e-08 1.485642e-08 NaN NaN NaN NaN NaN NaN NaN NaN
2.000000e-01 1.687261e-08 2.115876e-08 NaN NaN NaN NaN NaN NaN NaN NaN
3.000000e-01 1.763648e-08 2.342196e-08 NaN NaN NaN NaN NaN NaN NaN NaN
