fname X01 X02 X03 X04 X05 A1 A2 A3 A4 A5 Sig1 Sig2 Sig3 Sig4 Sig5 Area1 Area2 Area3 Area4 Area5 Eps_ar1 Eps_ar2 Eps_ar3 Eps_ar4 Eps_ar5 ArTotal rmsre
d62a0V4n1Nt 2.8031239E-1 2.8904765E-1 3.0402865E-1 3.2592049E-1 5.0106479E-1 1.5645079E+13 3.8679108E+13 1.0816726E+14 7.7221594E+13 2.0859659E+15 5.0114640E-3 8.7737077E-3 1.5570134E-2 2.4432816E-2 8.5080608E-2 1.5098732E+13 3.7862204E+13 1.0626659E+14 7.6223363E+13 2.8434123E+14 2.9047636E-2 7.2841051E-2 2.0444056E-1 1.4664201E-1 5.4702874E-1 5.1979212E+14 8.8872571E-3
d62a0V4n1Nt 2.8133268E-1 2.9081428E-1 3.0521658E-1 3.2954273E-1 4.6888461E-1 2.0734317E+13 4.0305186E+13 1.1763044E+14 8.0205976E+13 1.3676853E+15 5.8122351E-3 9.7107590E-3 1.6604690E-2 2.6018638E-2 6.9988102E-2 1.9883300E+13 3.9424763E+13 1.1523907E+14 7.9113251E+13 2.6528508E+14 3.8314817E-2 7.5970918E-2 2.2206393E-1 1.5245003E-1 5.1120031E-1 5.1894546E+14 1.0830486E-2
d62b0V4n1Nt 2.8160409E-1 2.9134835E-1 3.0619456E-1 3.3147613E-1 4.8705640E-1 2.6360118E+13 5.7789805E+13 1.6948331E+14 2.8800694E+14 3.7092432E+15 5.7248686E-3 9.6972587E-3 1.6191820E-2 2.7235556E-2 7.8135084E-2 2.5452188E+13 5.6702341E+13 1.6688795E+14 2.8350236E+14 5.7880994E+14 2.2901946E-2 5.1020918E-2 1.5016622E-1 2.5509618E-1 5.2081473E-1 1.1113548E+15 2.1716613E-2
d62b0V4n1Nt 2.8079289E-1 2.9049392E-1 3.0636655E-1 3.3362358E-1 4.6611795E-1 2.4790806E+13 6.3414796E+13 1.8565613E+14 3.0786638E+14 2.7747292E+15 5.2618207E-3 9.3123768E-3 1.6038296E-2 2.7070981E-2 6.6694408E-2 2.3948062E+13 6.2204368E+13 1.8303047E+14 3.0379425E+14 5.3875807E+14 2.1541156E-2 5.5952503E-2 1.6463495E-1 2.7326134E-1 4.8461006E-1 1.1117352E+15 9.5853843E-3
d63a0V4n1Nt 2.8000692E-1 2.8800916E-1 3.0039648E-1 3.1918577E-1 5.4672415E-1 2.8784955E+13 8.1204725E+13 1.8924566E+14 1.2105493E+14 4.7142123E+15 4.9604996E-3 8.8738932E-3 1.5224963E-2 2.6212449E-2 7.9007895E-2 2.7720592E+13 7.8876279E+13 1.8407177E+14 1.1697259E+14 1.9014933E+14 4.6371747E-2 1.3194635E-1 3.0792017E-1 1.9567487E-1 3.1808687E-1 5.9779055E+14 1.2495555E-2
d63a0V4n1Nt 2.8088203E-1 2.9028908E-1 3.0303517E-1 3.2202611E-1 5.3645400E-1 4.6883114E+13 9.9774651E+13 1.6864005E+14 1.0167092E+14 3.8985504E+15 6.1207509E-3 1.0002172E-2 1.5431649E-2 2.5695437E-2 7.7200706E-2 4.4267623E+13 9.7001154E+13 1.6537140E+14 9.9210714E+13 1.9100076E+14 7.4168552E-2 1.6252138E-1 2.7707287E-1 1.6622340E-1 3.2001379E-1 5.9685166E+14 1.2463390E-2
d63b0V4n1Nt 2.8144746E-1 2.9178317E-1 3.0819645E-1 3.3402298E-1 4.3323857E-1 2.8197577E+13 6.6803748E+13 2.0572314E+14 2.0546262E+14 1.0114890E+15 5.8326216E-3 1.0361619E-2 1.7362120E-2 2.6568573E-2 5.9082615E-2 2.7163547E+13 6.5303665E+13 2.0241348E+14 2.0313850E+14 3.3993446E+14 3.2416527E-2 7.7932312E-2 2.4155690E-1 2.4242212E-1 4.0567215E-1 8.3795366E+14 1.1400219E-2
d63b0V4n1Nt 2.8063588E-1 2.9047452E-1 3.0735713E-1 3.3308437E-1 4.2909774E-1 2.4739501E+13 6.3733659E+13 2.0579338E+14 2.1304482E+14 9.5145939E+14 5.4219490E-3 9.6967499E-3 1.6965528E-2 2.6175102E-2 5.6758063E-2 2.3804023E+13 6.2311178E+13 2.0248759E+14 2.1074828E+14 3.3979484E+14 2.8366966E-2 7.4255474E-2 2.4130200E-1 2.5114617E-1 4.0492938E-1 8.3914591E+14 1.0002470E-2
d83a0V4n1Nt 2.8449390E-1 2.9583376E-1 3.2762265E-1 4.6047761E-1 4.8849832E-1 2.0328220E+13 4.9941749E+13 3.5417059E+14 1.0744046E+15 8.6960469E+14 6.7712070E-3 1.2321807E-2 2.5662890E-2 1.8055208E-2 6.3586928E-2 1.9268231E+13 4.8197886E+13 3.4774238E+14 2.6671701E+12 9.3422842E+13 3.7684896E-2 9.4265648E-2 6.8011616E-1 5.2164637E-3 1.8271683E-1 5.1129851E+14 4.3931419E-2
d83a0V4n1Nt 2.8123341E-1 2.8777754E-1 2.9810913E-1 3.2695152E-1 5.4601557E-1 6.6157351E+12 1.7355608E+13 2.9798990E+13 3.8299274E+14 3.6158907E+15 3.5163694E-3 5.9679189E-3 1.0240101E-2 2.7040813E-2 6.8405726E-2 6.5239304E+12 1.7210701E+13 2.9557193E+13 3.7336990E+14 8.3724634E+13 1.2782337E-2 3.3720927E-2 5.7911409E-2 7.3154365E-1 1.6404168E-1 5.1038636E+14 1.0188705E-2
