fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g Iph Voc Isc Pm FF Vm Im dev 
00L1 7:35 289.8 40.01 1.000E+000 1.495E+000 4.227E-006 6.472E+002 2.704E+000 2.210E-008 1.823E-004 1.110E-001 1.819E-004 5.157E-006 2.555E-001 5.620E-002 9.159E-005 2.670E-003 
00L2 8:53 291.8 39.73 1.000E+000 1.531E+000 4.302E-006 6.567E+002 2.681E+000 2.464E-008 1.824E-004 1.120E-001 1.820E-004 5.220E-006 2.561E-001 5.680E-002 9.173E-005 6.369E-002 
00L3 9:14 294.9 39.32 1.000E+000 1.516E+000 4.344E-006 6.716E+002 2.651E+000 2.841E-008 1.828E-004 1.135E-001 1.824E-004 5.324E-006 2.571E-001 5.770E-002 9.211E-005 4.201E-003 
00L4 9:39 297.6 38.96 1.000E+000 1.597E+000 4.213E-006 6.846E+002 2.605E+000 3.354E-008 1.854E-004 1.162E-001 1.849E-004 5.549E-006 2.583E-001 5.930E-002 9.342E-005 2.636E-003 
00L5 9:57 300.4 38.6 1.000E+000 1.750E+000 4.160E-006 6.982E+002 2.582E+000 3.755E-008 1.849E-004 1.167E-001 1.844E-004 5.581E-006 2.594E-001 5.970E-002 9.333E-005 2.428E-003 
00L6 10:26 302.5 38.33 1.000E+000 1.694E+000 4.409E-006 7.083E+002 2.558E+000 4.105E-008 1.864E-004 1.180E-001 1.860E-004 5.717E-006 2.606E-001 6.050E-002 9.434E-005 1.538E-003 
00L7 10:43 305.2 37.99 1.000E+000 1.778E+000 4.030E-006 7.211E+002 2.544E+000 4.481E-008 1.865E-004 1.182E-001 1.860E-004 5.759E-006 2.620E-001 6.080E-002 9.457E-005 8.880E-004 
00L8 11:10 308.3 37.61 1.000E+000 1.884E+000 4.263E-006 7.355E+002 2.511E+000 5.118E-008 1.858E-004 1.180E-001 1.853E-004 5.766E-006 2.636E-001 6.100E-002 9.437E-005 1.343E-003 
00L9 11:27 311.4 37.23 1.000E+000 1.884E+000 3.905E-006 7.495E+002 2.521E+000 5.356E-008 1.886E-004 1.187E-001 1.881E-004 5.938E-006 2.659E-001 6.160E-002 9.623E-005 9.116E-004 
0L10 11:53 314.3 36.89 1.000E+000 1.870E+000 4.097E-006 7.621E+002 2.494E+000 5.974E-008 1.870E-004 1.173E-001 1.865E-004 5.850E-006 2.674E-001 6.100E-002 9.574E-005 4.756E-004 
0L11 12:13 318.3 36.43 1.000E+000 1.975E+000 4.043E-006 7.784E+002 2.463E+000 6.780E-008 1.890E-004 1.168E-001 1.885E-004 5.953E-006 2.703E-001 6.120E-002 9.711E-005 7.282E-004 
0L12 12:39 320.9 36.13 1.000E+000 1.932E+000 4.166E-006 7.882E+002 2.442E+000 7.394E-008 1.885E-004 1.154E-001 1.880E-004 5.898E-006 2.718E-001 6.060E-002 9.716E-005 8.502E-004 
0L13 12:55 323.6 35.83 1.000E+000 1.954E+000 4.119E-006 7.978E+002 2.433E+000 7.859E-008 1.890E-004 1.138E-001 1.885E-004 5.868E-006 2.736E-001 5.990E-002 9.781E-005 6.274E-004 
0L14 13:18 326 35.57 1.000E+000 2.064E+000 3.829E-006 8.055E+002 2.434E+000 8.233E-008 1.909E-004 1.128E-001 1.903E-004 5.911E-006 2.753E-001 5.960E-002 9.901E-005 1.020E-003 
0L15 13:38 330.3 35.1 1.000E+000 2.096E+000 4.149E-006 8.176E+002 2.400E+000 9.345E-008 1.892E-004 1.087E-001 1.887E-004 5.688E-006 2.774E-001 5.770E-002 9.841E-005 7.718E-004 
