fname time Tem kT_1 I01 n1 Rsh1 I02 n2 Rsh2 Rs Iph Voc Isc FF Pm Vm Im rmsre 
00L1 29450 294.03 39.432 3.048968296E-11 2.278775381E+00 3.813867798E+04 4.622065451E-05 2.886212749E+00 3.200173935E+03 0.000000000E+00 5.497506700E-05 4.429354641E-01 5.293067267E-05 5.038936173E-01 1.181372139E-05 3.045705383E-01 3.878848510E-05 3.016528574E+00 
00L2 30086 295.03 39.298 5.442024002E-11 2.350383267E+00 3.739655971E+04 4.405207601E-05 2.141369961E+00 2.910785427E+03 0.000000000E+00 5.492396700E-05 4.431765781E-01 5.307460809E-05 5.055646183E-01 1.189159934E-05 3.045995571E-01 3.904111396E-05 3.916550333E+00 
00L3 30618 296.03 39.166 9.051660609E-11 2.401790231E+00 3.920752110E+04 4.973093768E-05 2.349675428E+00 2.806765010E+03 0.000000000E+00 5.487286700E-05 4.409341965E-01 5.312589691E-05 5.056438837E-01 1.184472045E-05 3.049028996E-01 3.884795132E-05 3.354958525E+00 
00L4 31248 297.01 39.036 8.014559307E-11 2.363849878E+00 3.962114561E+04 5.292337687E-05 2.393265267E+00 2.687668732E+03 0.000000000E+00 5.482278900E-05 4.396526878E-01 5.314233325E-05 5.076397114E-01 1.186058034E-05 3.054539001E-01 3.883064850E-05 3.394320572E+00 
00L5 31878 298.03 38.903 5.715472472E-11 2.295407444E+00 3.883731823E+04 5.417884660E-05 2.419663630E+00 2.555037226E+03 0.000000000E+00 5.477066700E-05 4.383964050E-01 5.306370989E-05 5.090156366E-01 1.184120004E-05 3.045585327E-01 3.887989925E-05 5.445253623E+00 
00L6 32514 299.03 38.773 3.423757054E-11 2.216396980E+00 3.872082909E+04 5.880701829E-05 2.779839009E+00 2.473749399E+03 0.000000000E+00 5.471956700E-05 4.366548332E-01 5.290226081E-05 5.115826340E-01 1.181757310E-05 3.049903887E-01 3.874646653E-05 3.685942895E+00 
00L7 33132 300.02 38.645 1.057722155E-10 2.360317885E+00 3.997439012E+04 6.349399996E-05 2.156599447E+00 2.309274346E+03 0.000000000E+00 5.466897800E-05 4.341646027E-01 5.311429248E-05 5.123274853E-01 1.181444892E-05 3.026905281E-01 3.903130444E-05 3.574594843E+00 
00L8 33760 301.02 38.516 5.041508000E-11 2.237336879E+00 4.000167927E+04 6.911545656E-05 2.928210165E+00 2.287401107E+03 0.000000000E+00 5.461787800E-05 4.339136086E-01 5.294956585E-05 5.151391407E-01 1.183559848E-05 3.030078247E-01 3.906010275E-05 4.078589214E+00 
00L9 34390 302.03 38.388 7.914093140E-11 2.274864257E+00 4.030023892E+04 6.958489171E-05 2.613511900E+00 2.127455728E+03 0.000000000E+00 5.456626700E-05 4.329099190E-01 5.288452575E-05 5.169396528E-01 1.183493828E-05 3.024075430E-01 3.913589681E-05 3.985846410E+00 
0L10 35028 303.02 38.262 7.277647378E-11 2.248498571E+00 4.087516299E+04 7.635407849E-05 2.839937413E+00 2.066804303E+03 0.000000000E+00 5.451567800E-05 4.305599350E-01 5.293865190E-05 5.173546077E-01 1.179219939E-05 3.007815577E-01 3.920556630E-05 4.501442893E+00 
0L11 35656 304.02 38.136 5.006506959E-11 2.211677001E+00 4.089962313E+04 9.036137405E-05 3.174925695E+00 2.083239073E+03 0.000000000E+00 5.446457800E-05 4.293187187E-01 5.271888924E-05 5.168051469E-01 1.169695734E-05 3.010743288E-01 3.885089873E-05 5.397905541E+00 
0L12 36288 305.01 38.013 4.335640115E-11 2.158355222E+00 4.044290995E+04 8.985335449E-05 3.362985170E+00 1.960109254E+03 0.000000000E+00 5.441398900E-05 4.275142143E-01 5.273325903E-05 5.187399056E-01 1.169458542E-05 2.982665663E-01 3.920916396E-05 6.001432539E+00 
0L13 36924 306.02 37.887 8.082628998E-11 2.222000862E+00 4.087308445E+04 9.157723529E-05 3.010659546E+00 1.827771129E+03 0.000000000E+00 5.436237800E-05 4.267367943E-01 5.276852222E-05 5.193343634E-01 1.169451142E-05 2.995375578E-01 3.904150282E-05 5.061783685E+00 
0L14 37556 307.02 37.764 8.079993228E-11 2.201814834E+00 4.176570871E+04 9.928715922E-05 3.145256910E+00 1.767299591E+03 0.000000000E+00 5.431127800E-05 4.228047871E-01 5.275400992E-05 5.222384572E-01 1.164834492E-05 2.984682066E-01 3.902831259E-05 5.551879285E+00 
0L15 38182 308.02 37.641 4.871312369E-11 2.128196514E+00 4.077823935E+04 1.082824020E-04 3.763496613E+00 1.750447155E+03 0.000000000E+00 5.426017800E-05 4.234182339E-01 5.254816791E-05 5.221784906E-01 1.161839437E-05 2.969896118E-01 3.912073120E-05 5.057750937E+00 
0L16 38808 309.02 37.519 4.609165591E-11 2.108951390E+00 4.044797989E+04 1.143677060E-04 3.826839159E+00 1.680503074E+03 0.000000000E+00 5.420907800E-05 4.203937218E-01 5.250767976E-05 5.238055110E-01 1.156242990E-05 2.959221889E-01 3.907255501E-05 5.138300018E+00 
0L17 39430 310.02 37.398 7.748191085E-11 2.176347282E+00 4.296716680E+04 1.288987208E-04 3.730510569E+00 1.650109294E+03 0.000000000E+00 5.415797800E-05 4.189354660E-01 5.256411616E-05 5.227544812E-01 1.151156205E-05 2.962350262E-01 3.885977639E-05 6.053929845E+00 
0L18 40054 311.02 37.278 6.021942409E-11 2.120823491E+00 4.248624027E+04 1.362860962E-04 4.190193103E+00 1.599038997E+03 0.000000000E+00 5.410687800E-05 4.171961151E-01 5.246353496E-05 5.240166140E-01 1.146945712E-05 2.946137285E-01 3.892884098E-05 6.921930778E+00 
0L19 40676 312.02 37.159 3.876769285E-11 2.079255003E+00 4.245945152E+04 1.596662377E-04 4.934475670E+00 1.628259648E+03 0.000000000E+00 5.405577800E-05 4.152147270E-01 5.219060925E-05 5.265711741E-01 1.141096035E-05 2.925546780E-01 3.900445656E-05 4.664956492E+00 
0L20 41292 313.02 37.04 6.468706626E-11 2.105746050E+00 4.222387000E+04 1.522830134E-04 4.405257951E+00 1.487262410E+03 0.000000000E+00 5.400467800E-05 4.152847122E-01 5.231715761E-05 5.240698085E-01 1.138621094E-05 2.926322962E-01 3.890959760E-05 5.345462373E+00 
0L21 41908 314.03 36.921 5.901006394E-11 2.083841068E+00 4.283356087E+04 1.634576816E-04 4.598184557E+00 1.461936766E+03 0.000000000E+00 5.395306700E-05 4.119938507E-01 5.225131549E-05 5.283615121E-01 1.137415487E-05 2.921918762E-01 3.892699549E-05 7.077593997E+00 
0L22 42524 315.02 36.805 7.059521024E-11 2.103413809E+00 4.313468992E+04 1.766432102E-04 4.716716440E+00 1.413955660E+03 0.000000000E+00 5.390247800E-05 4.112632072E-01 5.218317706E-05 5.260301344E-01 1.128914364E-05 2.902798405E-01 3.889160898E-05 6.041419774E+00 
0L23 43146 316.01 36.689 8.364578560E-11 2.112135656E+00 4.368879576E+04 1.903065850E-04 4.983483510E+00 1.379683486E+03 0.000000000E+00 5.385188900E-05 4.098486107E-01 5.211756927E-05 5.270944891E-01 1.125890346E-05 2.880274181E-01 3.908817860E-05 6.962963206E+00 
0L24 43762 317.02 36.572 6.416402218E-11 2.123088138E+00 4.829711045E+04 2.481218214E-04 6.190650362E+00 1.475029798E+03 0.000000000E+00 5.380027800E-05 4.077156677E-01 5.188468062E-05 5.282307973E-01 1.117429846E-05 2.881301809E-01 3.878329355E-05 5.920731745E+00 
0L25 44378 318.01 36.459 5.769425027E-11 2.093274617E+00 4.543108280E+04 2.487500663E-04 6.093497230E+00 1.399149302E+03 0.000000000E+00 5.374968900E-05 4.054022919E-01 5.174680865E-05 5.300261408E-01 1.111903405E-05 2.861831966E-01 3.885253955E-05 6.982003076E+00 
0L26 44986 319.01 36.344 5.571407051E-11 2.069750347E+00 4.611803974E+04 2.642642530E-04 6.565948307E+00 1.364064358E+03 0.000000000E+00 5.369858900E-05 4.040016571E-01 5.172011831E-05 5.278434297E-01 1.102929559E-05 2.839599232E-01 3.884067776E-05 7.440573224E+00 
0L27 45616 320 36.232 6.342628154E-11 2.060659984E+00 4.460367418E+04 2.668458887E-04 6.615780541E+00 1.294407921E+03 0.000000000E+00 5.364800000E-05 4.025350258E-01 5.161624018E-05 5.318347213E-01 1.105011326E-05 2.831962826E-01 3.902001201E-05 6.588647881E+00 
0L28 46226 321.02 36.117 5.834270162E-11 2.080200285E+00 4.777071169E+04 3.135674508E-04 7.312369418E+00 1.324969515E+03 0.000000000E+00 5.359587800E-05 4.005674324E-01 5.152183788E-05 5.302338699E-01 1.094295086E-05 2.817463682E-01 3.883985989E-05 7.514498545E+00 
0L29 46836 322.02 36.005 4.828149332E-11 2.070261618E+00 4.935248584E+04 3.511231390E-04 7.917833603E+00 1.338564493E+03 0.000000000E+00 5.354477800E-05 3.978538559E-01 5.134116071E-05 5.312910905E-01 1.085229991E-05 2.797604906E-01 3.879145294E-05 7.369140884E+00 
0L30 47450 323.02 35.893 6.142365557E-11 2.091629694E+00 4.955481285E+04 3.654938512E-04 7.940922029E+00 1.285414878E+03 0.000000000E+00 5.349367800E-05 3.972650864E-01 5.133695276E-05 5.332346313E-01 1.087498915E-05 2.797121868E-01 3.887838060E-05 9.181197304E+00 
0L31 48060 324.02 35.782 5.343188331E-11 2.071045184E+00 5.007023115E+04 3.914765144E-04 8.416617229E+00 1.261523111E+03 0.000000000E+00 5.344257800E-05 3.956248215E-01 5.122853583E-05 5.326733232E-01 1.079583957E-05 2.779657331E-01 3.883886067E-05 8.277514615E+00 
