T Fe100 Fe140 Fe210 Fe310 Fe460 Fe680 Fe101 Fe141 Fe211 Fe311 Fe461 Fe681 Fe102 Fe142 Fe212 Fe312 Fe462 Fe682 Fe103
Fe 1.000000000E+01 1.016672606E+01 1.033324570E+01 1.049996187E+01 1.066670514E+01 1.083333839E+01 1.100000000E+01 1.116672606E+01 1.133324570E+01 1.149996187E+01 1.166670514E+01 1.183333839E+01 1.200000000E+01 1.216672606E+01 1.233324570E+01 1.249996187E+01 1.266670514E+01 1.283333839E+01 1.300000000E+01
290 1.732737000E-03 1.202726000E-03 8.318150000E-04 5.742730000E-04 3.964790000E-04 2.742580000E-04 1.905060000E-04 1.332730000E-04 9.424300000E-05 6.767400000E-05 4.962800000E-05 3.735500000E-05 2.898100000E-05 2.320100000E-05 1.911900000E-05 1.612500000E-05 1.381200000E-05 1.192900000E-05 1.032300000E-05
295 1.685157000E-03 1.163866000E-03 8.016410000E-04 5.514000000E-04 3.792710000E-04 2.612700000E-04 1.805930000E-04 1.255700000E-04 8.813200000E-05 6.273600000E-05 4.552300000E-05 3.387400000E-05 2.595100000E-05 2.052600000E-05 1.673300000E-05 1.400200000E-05 1.195200000E-05 1.032800000E-05 8.973000000E-06
300 1.626771000E-03 1.118099000E-03 7.671070000E-04 5.258370000E-04 3.605100000E-04 2.475050000E-04 1.704350000E-04 1.180070000E-04 8.244900000E-05 5.840800000E-05 4.217200000E-05 3.119000000E-05 2.370700000E-05 1.855200000E-05 1.494400000E-05 1.235700000E-05 1.045000000E-05 8.982000000E-06 7.794000000E-06
305 1.409309000E-03 9.635520000E-04 6.585500000E-04 4.502200000E-04 3.081410000E-04 2.113920000E-04 1.456630000E-04 1.011300000E-04 7.108500000E-05 5.086400000E-05 3.724200000E-05 2.797500000E-05 2.152900000E-05 1.694400000E-05 1.361200000E-05 1.115700000E-05 9.339000000E-06 7.953000000E-06 6.863000000E-06
310 7.493670000E-04 5.052690000E-04 3.425160000E-04 2.335120000E-04 1.603310000E-04 1.111890000E-04 7.825300000E-05 5.632000000E-05 4.182400000E-05 3.229300000E-05 2.590900000E-05 2.138900000E-05 1.785200000E-05 1.488800000E-05 1.236400000E-05 1.026900000E-05 8.594000000E-06 7.271000000E-06 6.234000000E-06
315 -6.930510000E-04 -4.918900000E-04 -3.435020000E-04 -2.365770000E-04 -1.606260000E-04 -1.070700000E-04 -6.928800000E-05 -4.247800000E-05 -2.323600000E-05 -9.411000000E-06 2.820000000E-07 6.548000000E-06 9.860000000E-06 1.088700000E-05 1.046800000E-05 9.369000000E-06 8.124000000E-06 6.970000000E-06 5.997000000E-06
320 9.177050000E-04 6.459090000E-04 4.508680000E-04 3.131110000E-04 2.169150000E-04 1.502940000E-04 1.044470000E-04 7.307000000E-05 5.171800000E-05 3.729100000E-05 -4.817800000E-05 -2.295100000E-05 -6.695000000E-06 2.444000000E-06 6.611000000E-06 7.860000000E-06 7.707000000E-06 7.030000000E-06 6.241000000E-06
325 1.045448000E-03 7.349640000E-04 5.118830000E-04 3.541860000E-04 2.440110000E-04 1.676960000E-04 1.151940000E-04 7.929700000E-05 5.492000000E-05 3.851400000E-05 2.761200000E-05 2.048200000E-05 1.590500000E-05 -1.287400000E-05 -8.760000001E-07 4.782000000E-06 6.919000000E-06 7.345000000E-06 7.051000000E-06
330 1.356606000E-03 9.535160000E-04 6.631590000E-04 4.575330000E-04 3.136980000E-04 2.139990000E-04 1.453960000E-04 9.851000000E-05 6.671700000E-05 4.539000000E-05 3.129800000E-05 2.217500000E-05 1.640900000E-05 1.284000000E-05 1.064500000E-05 9.268000000E-06 5.085000000E-06 7.488000000E-06 8.218000000E-06
335 1.946472000E-03 1.369701000E-03 9.525810000E-04 6.563370000E-04 4.486950000E-04 3.045700000E-04 2.053080000E-04 1.374400000E-04 9.142800000E-05 6.059700000E-05 4.029000000E-05 2.723000000E-05 1.907200000E-05 1.411700000E-05 1.114900000E-05 9.342000000E-06 8.181000000E-06 7.367000000E-06 6.746000000E-06
340 2.974722000E-03 2.099025000E-03 1.462112000E-03 1.007889000E-03 6.885580000E-04 4.664210000E-04 3.131700000E-04 2.082370000E-04 1.370000000E-04 8.920500000E-05 5.770100000E-05 3.746900000E-05 2.491000000E-05 1.738500000E-05 1.298100000E-05 1.038100000E-05 8.765000000E-06 7.670000000E-06 6.860000000E-06
