N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.190580627E+00 1.189502703E+00 1.188267059E+00 1.186658937E+00
1.600000000E+01 1.245565572E+00 1.245277026E+00 1.245445555E+00 1.245367515E+00
1.700000000E+01 1.290094403E+00 1.290156249E+00 1.289980028E+00 1.289928337E+00
1.549996187E+01 1.223545959E+00 1.222924350E+00 1.222685204E+00 1.222288860E+00
1.649996187E+01 1.260121574E+00 1.259681529E+00 1.259785196E+00 1.259903479E+00
1.674996808E+01 1.271599556E+00 1.271506578E+00 1.271203750E+00 1.271464800E+00
1.624993176E+01 1.253408364E+00 1.253068591E+00 1.253156150E+00 1.253304788E+00
1.574996808E+01 1.234512301E+00 1.234131064E+00 1.234082180E+00 1.234038083E+00
1.524993176E+01 1.212849904E+00 1.212136557E+00 1.211310587E+00 1.210615257E+00
