N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.169677509E+00 1.164046642E+00 1.159445862E+00 1.155520382E+00
1.600000000E+01 1.231954078E+00 1.229664012E+00 1.228337921E+00 1.227134421E+00
1.700000000E+01 1.266107910E+00 1.265987565E+00 1.265741204E+00 1.265597741E+00
1.549996187E+01 1.214898540E+00 1.212285300E+00 1.210306013E+00 1.208444458E+00
1.649996187E+01 1.240231568E+00 1.238777074E+00 1.238265023E+00 1.238041410E+00
1.674996808E+01 1.249294570E+00 1.248753680E+00 1.248218316E+00 1.248335259E+00
1.624993176E+01 1.236579833E+00 1.234638718E+00 1.233614169E+00 1.233023841E+00
1.574996808E+01 1.223724584E+00 1.221284578E+00 1.219539720E+00 1.218127568E+00
1.524993176E+01 1.203903594E+00 1.201048881E+00 1.198396053E+00 1.196198015E+00
