T d154 d184 d214 d244
d 150 180 210 240
290 2.261463300E-02 2.201866300E-02 2.322718900E-02 2.359961700E-02
295 2.193455800E-02 2.141825300E-02 2.262814100E-02 2.285807200E-02
300 2.077998000E-02 2.022140300E-02 2.139968100E-02 2.188226400E-02
305 1.759515400E-02 1.699881400E-02 1.822438300E-02 1.855907000E-02
310 1.107076800E-02 1.054727500E-02 1.193200700E-02 1.286918000E-02
315 -1.476291000E-03 -1.787477000E-03 -1.091610000E-04 1.475629000E-03
320 -2.545101000E-02 -2.524205500E-02 -2.264003700E-02 -2.011972000E-02
325 -6.764338500E-02 -6.637178000E-02 -6.204814300E-02 -5.764378200E-02
330 -1.348888160E-01 -1.316282200E-01 -1.245391250E-01 -1.172057560E-01
335 -1.744779600E-01 -1.699727340E-01 -1.668994730E-01 -1.643893270E-01
340 -1.301777530E-01 -1.234619370E-01 -1.193915690E-01 -1.165470590E-01
