fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 Iph Voc Isc FF Pm Vm Im rmsre 
00L1 34632 307.46 37.71 1.000000000E+00 6.532707140E-01 1.000000004E-17 4.692766141E+03 1.202394901E+00 9.382950163E-10 1.367837829E-03 4.521101830E-01 1.359947977E-03 7.062183060E-01 4.342157326E-04 3.683749210E-01 1.178708951E-03 5.383015632E-02 
00L2 34866 322.95 35.901 1.000000000E+00 5.660805731E-01 1.000000139E-17 6.448538739E+03 1.215387879E+00 7.299783665E-09 1.353433194E-03 4.108131432E-01 1.352433194E-03 6.940981249E-01 3.856390660E-04 3.298960789E-01 1.168963160E-03 4.493404332E-02 
00L3 35072 321.89 36.019 1.000000000E+00 7.078400698E-01 1.000001386E-17 2.893140247E+03 1.104807809E+00 1.472782115E-09 1.371496295E-03 4.151531261E-01 1.353681144E-03 6.921277147E-01 3.889653651E-04 3.345259970E-01 1.163689899E-03 1.496525844E+00 
00L4 35268 319.62 36.275 1.000000000E+00 4.887790197E-01 1.000000014E-17 8.080235835E+03 1.244547235E+00 6.257493234E-09 1.354393557E-03 4.210770364E-01 1.353393557E-03 -9.738842018E+05 -5.550000000E+02 5.550000000E+02 -5.550000000E+02 8.474682159E-02 
00L5 35472 319.38 36.302 1.000000000E+00 7.320440564E-01 1.643322575E-10 2.981567707E+17 3.035640350E+00 5.434643918E-06 1.365300033E-03 4.215875358E-01 1.355091723E-03 6.725851925E-01 3.842410468E-04 2.994487389E-01 1.280880837E-03 1.671841020E+00 
00L6 35496 319.52 36.286 1.000000000E+00 8.301860493E-01 1.875313184E-10 2.004989890E+03 2.238817656E+00 4.808808304E-07 1.417103108E-03 4.213095713E-01 1.416103108E-03 -9.302437945E+05 -5.550000000E+02 5.550000000E+02 -5.550000000E+02 5.293686922E-01 
00L7 35670 319.84 36.25 1.000000000E+00 5.213940942E-01 1.000000029E-17 7.095110111E+03 1.235806323E+00 5.802873258E-09 1.356282135E-03 4.206305439E-01 1.355282135E-03 -9.735594211E+05 -5.550000000E+02 5.550000000E+02 -5.550000000E+02 7.907291469E-02 
00L8 35868 319.94 36.239 1.000000000E+00 5.347505020E-01 1.000000014E-17 6.486214170E+03 1.227810475E+00 5.322570332E-09 1.357681663E-03 4.209099850E-01 1.356681663E-03 -9.719094386E+05 -5.550000000E+02 5.550000000E+02 -5.550000000E+02 8.351485358E-02 
00L9 36070 319.94 36.239 1.000000000E+00 7.179953075E-01 1.625972288E-10 3.297912994E+17 2.385897335E+00 1.390027252E-06 1.357031679E-03 4.211028461E-01 1.356031679E-03 -9.719299635E+05 -5.550000000E+02 5.550000000E+02 -5.550000000E+02 9.510728460E-01 
0L10 36086 319.94 36.239 1.000000000E+00 5.501894844E-01 1.000000002E-17 6.232433839E+03 1.222362191E+00 4.980273194E-09 1.357286156E-03 4.209478849E-01 1.355134518E-03 -9.729314530E+05 -5.550000000E+02 5.550000000E+02 -5.550000000E+02 6.951282871E-02 
