Method Nemenyi Holm Shaffer
GOTLBO 9.100000000E-14 9.100000000E-14 9.100000000E-14
PSO 9.100000000E-14 9.100000000E-14 9.100000000E-14
ISCA 9.100000000E-14 9.100000000E-14 9.100000000E-14
NNA 9.100000000E-14 9.100000000E-14 9.100000000E-14
CWOA 9.100000000E-14 9.100000000E-14 9.100000000E-14
DE 4.025046962E-11 3.007727400E-11 2.963496115E-11
MABC 2.161632882E-07 1.163956167E-07 1.140201960E-07
WW 6.326355035E-07 3.197937710E-07 3.197937710E-07
NDE 2.831124166E-02 9.955601464E-03 9.955601464E-03
EBLSHADE 1.000000000E+00 8.676796801E-01 8.676796801E-01
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
