Method Nemenyi Holm Shaffer
MABC 9.100000000E-14 9.100000000E-14 9.100000000E-14
PSO 9.100000000E-14 9.100000000E-14 9.100000000E-14
ISCA 9.100000000E-14 9.100000000E-14 9.100000000E-14
NNA 9.100000000E-14 9.100000000E-14 9.100000000E-14
CWOA 9.100000000E-14 9.100000000E-14 9.100000000E-14
WW 9.100000000E-14 9.100000000E-14 9.100000000E-14
DE 2.223292883E-09 1.563634555E-09 1.417043816E-09
GOTLBO 4.986633106E-08 3.013899130E-08 3.013899130E-08
NDE 1.706882534E-03 6.564932824E-04 6.564932824E-04
EBLSHADE 6.437624944E-01 1.627092019E-01 1.627092019E-01
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
