Method Nemenyi Holm Shaffer
NNA 1.289453807E-03 5.101135940E-04 5.101135940E-04
CWOA 6.564864903E-03 2.452806667E-03 2.452806667E-03
PSO 1.460750995E-02 5.297228882E-03 5.136706794E-03
ISCA 6.085283464E-02 2.073008653E-02 2.073008653E-02
WW 2.359630314E-01 6.741800897E-02 6.741800897E-02
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
GOTLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
