Method Nemenyi Holm Shaffer
NNA 9.100000000E-14 9.100000000E-14 9.100000000E-14
GOTLBO 4.202860282E-12 3.325340003E-12 3.094413614E-12
MABC 9.687592950E-09 6.493880989E-09 6.174509792E-09
WW 1.752519996E-08 1.136967853E-08 1.116990767E-08
ISCA 9.601379758E-08 5.486502719E-08 5.380993051E-08
PSO 4.075751643E-07 2.149847020E-07 2.149847020E-07
CWOA 8.177507069E-07 4.043822177E-07 4.043822177E-07
DE 1.562284126E-04 6.867182970E-05 6.867182970E-05
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
