Method Nemenyi Holm Shaffer
NNA 1.616484724E-12 1.314504061E-12 1.190159082E-12
CWOA 2.311573155E-11 1.752731293E-11 1.701927488E-11
PSO 9.529177447E-11 7.015987791E-11 7.015987791E-11
ISCA 1.291146967E-09 9.364362619E-10 9.364362619E-10
WW 1.724401244E-08 1.136967853E-08 1.099068925E-08
GOTLBO 7.277864198E-04 2.959131597E-04 2.959131597E-04
MABC 6.923756475E-02 2.210316567E-02 2.210316567E-02
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
