Method Nemenyi Holm Shaffer
NNA 1.077759274E-01 3.316182382E-02 3.316182382E-02
CWOA 3.729177076E-01 1.024499197E-01 1.024499197E-01
PSO 6.788071063E-01 1.641072125E-01 1.641072125E-01
ISCA 1.000000000E+00 4.462626576E-01 4.462626576E-01
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
WW 1.000000000E+00 1.000000000E+00 1.000000000E+00
