Method Nemenyi Holm Shaffer
NNA 1.608669020E-07 9.015617586E-08 9.015617586E-08
CWOA 1.478362893E-06 6.985670815E-07 6.985670815E-07
PSO 4.485493867E-06 2.070227938E-06 2.070227938E-06
ISCA 3.338232043E-05 1.504038613E-05 1.467354744E-05
WW 2.419082599E-04 1.036749685E-04 1.036749685E-04
GOTLBO 4.917461797E-01 1.296913001E-01 1.296913001E-01
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
