Method Nemenyi Holm Shaffer
WW 9.100000000E-14 9.100000000E-14 9.100000000E-14
MABC 3.758326983E-12 3.014921646E-12 2.767119867E-12
GOTLBO 3.532382831E-09 2.445495806E-09 2.251408837E-09
DE 1.826019536E-08 1.163836627E-08 1.163836627E-08
ISCA 1.883273404E-08 1.179632791E-08 1.163836627E-08
PSO 4.780656582E-08 2.941942512E-08 2.941942512E-08
CWOA 7.526183143E-08 4.466086700E-08 4.217970773E-08
NNA 1.687875357E-07 9.274040425E-08 9.015617586E-08
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
