Method Nemenyi Holm Shaffer
GOTLBO 9.100000000E-14 9.100000000E-14 9.100000000E-14
PSO 9.100000000E-14 9.100000000E-14 9.100000000E-14
NNA 9.100000000E-14 9.100000000E-14 9.100000000E-14
CWOA 9.100000000E-14 9.100000000E-14 9.100000000E-14
DE 8.122835737E-12 6.337597114E-12 5.980549389E-12
MABC 8.604810864E-08 5.011593140E-08 4.822476418E-08
WW 4.169953907E-07 2.153712457E-07 2.153712457E-07
ISCA 8.336473996E-07 4.043822177E-07 4.043822177E-07
NDE 6.704626920E-02 2.210316567E-02 2.210316567E-02
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
