fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 rmsre 
00D1 32310 289.98 39.983 1.000000000E+00 8.500000000E-01 6.874791852E-12 6.397920975E+05 2.038967833E+00 8.416063965E-09 2.724203031E-02 
00D1 32310 289.98 39.983 1.000000000E+00 8.500000000E-01 6.874791852E-12 6.397920975E+05 2.038967833E+00 8.416063965E-09 2.724203031E-02 
00D1 32310 289.98 39.983 1.000000000E+00 8.500000000E-01 6.929436344E-12 6.496200120E+05 2.078803954E+00 9.223473556E-09 2.884260979E-02 
00D2 32446 289.96 39.986 1.000000000E+00 8.500000000E-01 7.021584815E-12 6.496715992E+05 2.131078376E+00 1.056666933E-08 2.025838620E-02 
00D2 32446 289.96 39.986 1.000000000E+00 8.500000000E-01 7.021584815E-12 6.496715992E+05 2.131078376E+00 1.056666933E-08 2.025838620E-02 
00D2 32446 289.96 39.986 1.000000000E+00 8.500000000E-01 7.021584815E-12 6.496715992E+05 2.131078376E+00 1.056666933E-08 2.025838620E-02 
00D3 32588 289.96 39.986 1.000000000E+00 8.500000000E-01 6.916385003E-12 5.913738787E+05 2.037967639E+00 8.405388427E-09 2.212132620E-02 
00D3 32588 289.96 39.986 1.000000000E+00 8.500000000E-01 6.916385003E-12 5.913738787E+05 2.037967639E+00 8.405388427E-09 2.212132620E-02 
00D3 32588 289.96 39.986 1.000000000E+00 8.500000000E-01 6.916385003E-12 5.913738787E+05 2.037967639E+00 8.405388427E-09 2.212132620E-02 
00D4 33208 292.62 39.622 1.000000000E+00 8.500000000E-01 1.092352890E-11 5.815315209E+05 2.047451898E+00 1.054889220E-08 2.834193221E-02 
00D4 33208 292.62 39.622 1.000000000E+00 8.500000000E-01 1.092352890E-11 5.815315209E+05 2.047451898E+00 1.054889220E-08 2.834193221E-02 
00D4 33208 292.62 39.622 1.000000000E+00 8.500000000E-01 1.092352890E-11 5.815315209E+05 2.047451898E+00 1.054889220E-08 2.834193221E-02 
00D5 33312 292.61 39.623 1.000000000E+00 8.500000000E-01 1.098535440E-11 5.400815509E+05 2.052549509E+00 1.071765469E-08 1.865845341E-02 
00D5 33312 292.61 39.623 1.000000000E+00 8.500000000E-01 1.098535440E-11 5.400815509E+05 2.052549509E+00 1.071765469E-08 1.865845341E-02 
00D5 33312 292.61 39.623 1.000000000E+00 8.500000000E-01 1.098535440E-11 5.400815509E+05 2.052549509E+00 1.071765469E-08 1.865845341E-02 
00D6 33430 292.6 39.625 1.000000000E+00 8.500000000E-01 1.086392112E-11 5.465240623E+05 2.044040825E+00 1.064761293E-08 3.959214198E-02 
00D6 33430 292.6 39.625 1.000000000E+00 8.500000000E-01 1.086392112E-11 5.465240623E+05 2.044040825E+00 1.064761293E-08 3.959214198E-02 
