N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 2.229530000E-04 1.816740000E-04 1.533490000E-04 1.324250000E-04
1.600000000E+01 1.247308000E-03 1.195246000E-03 1.157857000E-03 1.131060000E-03
1.700000000E+01 4.245757000E-03 4.190446000E-03 4.274810000E-03 4.103313000E-03
1.549996187E+01 1.982230000E-04 1.531440000E-04 1.195140000E-04 9.428300000E-05
1.649996187E+01 2.435690000E-03 2.380495000E-03 2.331944000E-03 2.295572000E-03
1.674996808E+01 3.243065000E-03 3.184645000E-03 3.136001000E-03 3.089959000E-03
1.624993176E+01 1.779470000E-03 1.725185000E-03 1.682560000E-03 1.650956000E-03
1.574996808E+01 7.881730000E-04 7.171970000E-04 6.832830000E-04 6.564550000E-04
1.524993176E+01 1.540820000E-04 1.199300000E-04 9.790000000E-05 8.236500000E-05
