N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 3.433000000E-06 4.093000000E-06 4.858000000E-06 5.573000000E-06
1.600000000E+01 1.569720000E-04 1.435730000E-04 1.352610000E-04 1.303040000E-04
1.700000000E+01 2.625414000E-03 2.523580000E-03 2.488184000E-03 2.454247000E-03
1.549996187E+01 4.080500000E-05 3.739100000E-05 3.535700000E-05 3.409600000E-05
1.649996187E+01 6.352650000E-04 5.946180000E-04 5.696610000E-04 5.539630000E-04
1.674996808E+01 1.297717000E-03 1.231726000E-03 1.194143000E-03 1.169071000E-03
1.624993176E+01 3.129560000E-04 2.891500000E-04 2.745510000E-04 2.652010000E-04
1.574996808E+01 7.997000000E-05 7.296900000E-05 6.864800000E-05 6.597800000E-05
1.524993176E+01 1.893200000E-05 1.778300000E-05 1.719500000E-05 1.694400000E-05
