Fe nFsrh nFBsrh dnsrh nF nFB dn
1.000000E+10 1.193107045E+00 1.350508533E+0 -1.574014880E-01 1.193107045E+00 1.350508533E+0 -1.574014880E-01
1.468000E+10 1.193110633E+00 1.194855540E+0 -1.744907000E-03 1.193110633E+00 1.194855540E+0 -1.744907000E-03
2.154000E+10 1.193115496E+00 1.107685927E+0 8.542956900E-02 1.193115496E+00 1.107685927E+0 8.542956900E-02
3.162000E+10 1.193122342E+00 1.059186947E+0 1.339353950E-01 1.193122342E+00 1.059186947E+0 1.339353950E-01
4.642000E+10 1.193132107E+00 1.032406471E+0 1.607256360E-01 1.193132107E+00 1.032406471E+0 1.607256360E-01
6.813000E+10 1.193146117E+00 1.017695271E+0 1.754508460E-01 1.193146117E+00 1.017695271E+0 1.754508460E-01
1.000000E+11 1.193166144E+00 1.009634851E+0 1.835312930E-01 1.193166144E+00 1.009634851E+0 1.835312930E-01
1.468000E+11 1.193194565E+00 1.005231669E+0 1.879628960E-01 1.193194565E+00 1.005231669E+0 1.879628960E-01
2.154000E+11 1.193234364E+00 1.002836269E+0 1.903980950E-01 1.193234364E+00 1.002836269E+0 1.903980950E-01
3.162000E+11 1.193289054E+00 1.001533128E+0 1.917559260E-01 1.193289054E+00 1.001533128E+0 1.917559260E-01
4.642000E+11 1.193362233E+00 1.000826890E+0 1.925353430E-01 1.193362233E+00 1.000826890E+0 1.925353430E-01
6.813000E+11 1.193456769E+00 1.000445262E+0 1.930115070E-01 1.193456769E+00 1.000445262E+0 1.930115070E-01
1.000000E+12 1.193573576E+00 1.000239274E+0 1.933343020E-01 1.193573576E+00 1.000239274E+0 1.933343020E-01
1.468000E+12 1.193710167E+00 1.000128309E+0 1.935818580E-01 1.193710167E+00 1.000128309E+0 1.935818580E-01
2.154000E+12 1.204763470E+00 1.000068735E+0 2.046947350E-01 1.204763470E+00 1.000068735E+0 2.046947350E-01
3.162000E+12 1.214273847E+00 1.000036730E+0 2.142371170E-01 1.214273847E+00 1.000036730E+0 2.142371170E-01
4.642000E+12 1.217708210E+00 1.000019593E+0 2.176886170E-01 1.217708210E+00 1.000019593E+0 2.176886170E-01
6.813000E+12 1.217896418E+00 1.000010439E+0 2.178859790E-01 1.217896418E+00 1.000010439E+0 2.178859790E-01
1.000000E+13 1.229892128E+00 1.000005552E+0 2.298865760E-01 1.229892128E+00 1.000005552E+0 2.298865760E-01
