T file kT1 TDD TDD
325 001_325 35.674 1.000000E+10 0.000000E+0
325 002_325 35.674 1.468000E+10 0.000000E+0
325 003_325 35.674 2.154000E+10 0.000000E+0
325 004_325 35.674 3.162000E+10 0.000000E+0
325 005_325 35.674 4.642000E+10 0.000000E+0
325 006_325 35.674 6.813000E+10 0.000000E+0
325 007_325 35.674 1.000000E+11 0.000000E+0
325 008_325 35.674 1.468000E+11 0.000000E+0
325 009_325 35.674 2.154000E+11 0.000000E+0
325 010_325 35.674 3.162000E+11 0.000000E+0
325 011_325 35.674 4.642000E+11 0.000000E+0
325 012_325 35.674 6.813000E+11 0.000000E+0
325 013_325 35.674 1.000000E+12 0.000000E+0
325 014_325 35.674 1.468000E+12 0.000000E+0
325 015_325 35.674 2.154000E+12 0.000000E+0
325 016_325 35.674 3.162000E+12 0.000000E+0
325 017_325 35.674 4.642000E+12 0.000000E+0
325 018_325 35.674 6.813000E+12 0.000000E+0
325 019_325 35.674 1.000000E+13 0.000000E+0
325 020_325 35.674 1.468000E+13 0.000000E+0
325 021_325 35.674 2.154000E+13 0.000000E+0
325 022_325 35.674 3.162000E+13 0.000000E+0
325 023_325 35.674 4.642000E+13 0.000000E+0
