Bo Fe nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
1.500000000E+01 1.000000000E+01 1.014736038E+00 1.146796879E+00 -1.320608410E-01 1.013816384E+00 1.145212042E+00 -1.313956580E-01 9.196540000E-04 1.584837000E-03
1.500000000E+01 1.016672606E+01 1.014718982E+00 1.146962011E+00 -1.322430290E-01 1.014078559E+00 1.145875387E+00 -1.317968280E-01 6.404230000E-04 1.086624000E-03
1.500000000E+01 1.033324570E+01 1.014694620E+00 1.147202790E+00 -1.325081700E-01 1.014251508E+00 1.146458409E+00 -1.322069010E-01 4.431120000E-04 7.443810000E-04
1.500000000E+01 1.049996187E+01 1.014660277E+00 1.147552828E+00 -1.328925510E-01 1.014355019E+00 1.147042920E+00 -1.326879010E-01 3.052580000E-04 5.099080000E-04
1.500000000E+01 1.066670514E+01 1.014612825E+00 1.148059461E+00 -1.334466360E-01 1.014403111E+00 1.147709916E+00 -1.333068050E-01 2.097140000E-04 3.495450000E-04
1.500000000E+01 1.083333839E+01 1.014549264E+00 1.148787990E+00 -1.342387260E-01 1.014405385E+00 1.148547957E+00 -1.341425720E-01 1.438790000E-04 2.400330000E-04
1.500000000E+01 1.100000000E+01 1.014468242E+00 1.149825868E+00 -1.353576260E-01 1.014369524E+00 1.149660544E+00 -1.352910200E-01 9.871800000E-05 1.653240000E-04
1.500000000E+01 1.116672606E+01 1.014373324E+00 1.151284671E+00 -1.369113470E-01 1.014305465E+00 1.151170257E+00 -1.368647920E-01 6.785900000E-05 1.144140000E-04
1.500000000E+01 1.133324570E+01 1.014279009E+00 1.153296120E+00 -1.390171110E-01 1.014232145E+00 1.153216335E+00 -1.389841900E-01 4.686400000E-05 7.978500000E-05
1.500000000E+01 1.149996187E+01 1.014219993E+00 1.155995639E+00 -1.417756460E-01 1.014187330E+00 1.155939375E+00 -1.417520450E-01 3.266300000E-05 5.626400000E-05
1.500000000E+01 1.166670514E+01 1.014262137E+00 1.159486198E+00 -1.452240610E-01 1.014238999E+00 1.159445862E+00 -1.452068630E-01 2.313800000E-05 4.033600000E-05
1.500000000E+01 1.183333839E+01 1.014509444E+00 1.163780318E+00 -1.492708740E-01 1.014492616E+00 1.163750742E+00 -1.492581260E-01 1.682800000E-05 2.957600000E-05
1.500000000E+01 1.200000000E+01 1.015097755E+00 1.168737101E+00 -1.536393460E-01 1.015085042E+00 1.168714800E+00 -1.536297580E-01 1.271300000E-05 2.230100000E-05
1.500000000E+01 1.216672606E+01 1.044588591E+00 1.174039983E+00 -1.294513920E-01 1.044601093E+00 1.174022646E+00 -1.294215530E-01 -1.250200000E-05 1.733700000E-05
1.500000000E+01 1.233324570E+01 1.075726196E+00 1.179269414E+00 -1.035432180E-01 1.075730526E+00 1.179255540E+00 -1.035250140E-01 -4.330000000E-06 1.387400000E-05
1.500000000E+01 1.249996187E+01 1.099320843E+00 1.184067160E+00 -8.474631700E-02 1.099320853E+00 1.184055807E+00 -8.473495400E-02 -9.999999939E-09 1.135300000E-05
1.500000000E+01 1.266670514E+01 1.116990082E+00 1.188276498E+00 -7.128641600E-02 1.116988132E+00 1.188267059E+00 -7.127892700E-02 1.950000000E-06 9.439000000E-06
1.500000000E+01 1.283333839E+01 1.130670405E+00 1.191956029E+00 -6.128562400E-02 1.130667727E+00 1.191948078E+00 -6.128035100E-02 2.678000000E-06 7.951000000E-06
1.500000000E+01 1.300000000E+01 1.141680719E+00 1.195265921E+00 -5.358520200E-02 1.141677900E+00 1.195259143E+00 -5.358124300E-02 2.819000000E-06 6.778000000E-06
1.524993176E+01 1.000000000E+01 1.046433301E+00 1.194208490E+00 -1.477751890E-01 1.046959683E+00 1.190503426E+00 -1.435437430E-01 -5.263820000E-04 3.705064000E-03
1.524993176E+01 1.016672606E+01 1.047664005E+00 1.194263802E+00 -1.465997970E-01 1.048046649E+00 1.191696039E+00 -1.436493900E-01 -3.826440000E-04 2.567763000E-03
1.524993176E+01 1.033324570E+01 1.049446691E+00 1.194344440E+00 -1.448977490E-01 1.049718352E+00 1.192572350E+00 -1.428539980E-01 -2.716610000E-04 1.772090000E-03
1.524993176E+01 1.049996187E+01 1.052013034E+00 1.194461657E+00 -1.424486230E-01 1.052202430E+00 1.193242331E+00 -1.410399010E-01 -1.893960000E-04 1.219326000E-03
1.524993176E+01 1.066670514E+01 1.055674585E+00 1.194631267E+00 -1.389566820E-01 1.055804468E+00 1.193793868E+00 -1.379894000E-01 -1.298830000E-04 8.373990000E-04
1.524993176E+01 1.083333839E+01 1.060830978E+00 1.194875145E+00 -1.340441670E-01 1.060918425E+00 1.194300538E+00 -1.333821130E-01 -8.744700000E-05 5.746070000E-04
1.524993176E+01 1.100000000E+01 1.067956667E+00 1.195222599E+00 -1.272659320E-01 1.068014027E+00 1.194828258E+00 -1.268142310E-01 -5.736000000E-05 3.943410000E-04
1.524993176E+01 1.116672606E+01 1.077540810E+00 1.195711276E+00 -1.181704660E-01 1.077576744E+00 1.195440300E+00 -1.178635560E-01 -3.593400000E-05 2.709760000E-04
1.524993176E+01 1.133324570E+01 1.089947805E+00 1.196386308E+00 -1.064385030E-01 1.089968335E+00 1.196199639E+00 -1.062313040E-01 -2.053000000E-05 1.866690000E-04
1.524993176E+01 1.149996187E+01 1.105183661E+00 1.197296550E+00 -9.211288900E-02 1.105192978E+00 1.197167385E+00 -9.197440700E-02 -9.317000000E-06 1.291650000E-04
1.524993176E+01 1.166670514E+01 1.122628905E+00 1.198486026E+00 -7.585712100E-02 1.122630110E+00 1.198396053E+00 -7.576594300E-02 -1.205000000E-06 8.997300000E-05
1.524993176E+01 1.183333839E+01 1.140935182E+00 1.199981818E+00 -5.904663600E-02 1.140930762E+00 1.199918513E+00 -5.898775100E-02 4.420000000E-06 6.330500000E-05
1.524993176E+01 1.200000000E+01 1.158337289E+00 1.201783050E+00 -4.344576100E-02 1.158329461E+00 1.201737887E+00 -4.340842600E-02 7.828000000E-06 4.516300000E-05
1.524993176E+01 1.216672606E+01 1.173362829E+00 1.203859800E+00 -3.049697100E-02 1.173353489E+00 1.203826959E+00 -3.047347000E-02 9.340000000E-06 3.284100000E-05
1.524993176E+01 1.233324570E+01 1.185441229E+00 1.206166832E+00 -2.072560300E-02 1.185431789E+00 1.206142392E+00 -2.071060300E-02 9.440000000E-06 2.444000000E-05
1.524993176E+01 1.249996187E+01 1.195034746E+00 1.208663780E+00 -1.362903400E-02 1.195026025E+00 1.208645087E+00 -1.361906200E-02 8.721000000E-06 1.869300000E-05
1.524993176E+01 1.266670514E+01 1.202602729E+00 1.211325327E+00 -8.722598000E-03 1.202595046E+00 1.211310587E+00 -8.715541000E-03 7.683000000E-06 1.474000000E-05
1.524993176E+01 1.283333839E+01 1.208931524E+00 1.214136859E+00 -5.205335000E-03 1.208924878E+00 1.214124884E+00 -5.200006000E-03 6.646000000E-06 1.197500000E-05
1.524993176E+01 1.300000000E+01 1.214440154E+00 1.217088570E+00 -2.648416000E-03 1.214434416E+00 1.217078585E+00 -2.644169000E-03 5.738000000E-06 9.985000000E-06
1.549996187E+01 1.000000000E+01 1.175436782E+00 1.207203094E+00 -3.176631200E-02 1.172319942E+00 1.201583062E+00 -2.926312000E-02 3.116840000E-03 5.620032000E-03
1.549996187E+01 1.016672606E+01 1.175935048E+00 1.207242881E+00 -3.130783300E-02 1.173800911E+00 1.203323986E+00 -2.952307500E-02 2.134137000E-03 3.918895000E-03
1.549996187E+01 1.033324570E+01 1.176654872E+00 1.207300963E+00 -3.064609100E-02 1.175195636E+00 1.204583585E+00 -2.938794900E-02 1.459236000E-03 2.717378000E-03
1.549996187E+01 1.049996187E+01 1.177687235E+00 1.207385572E+00 -2.969833700E-02 1.176690142E+00 1.205509353E+00 -2.881921100E-02 9.970930000E-04 1.876219000E-03
1.549996187E+01 1.066670514E+01 1.179152328E+00 1.207508401E+00 -2.835607300E-02 1.178471032E+00 1.206216833E+00 -2.774580100E-02 6.812960000E-04 1.291568000E-03
1.549996187E+01 1.083333839E+01 1.181200439E+00 1.207685824E+00 -2.648538500E-02 1.180734541E+00 1.206798337E+00 -2.606379600E-02 4.658980000E-04 8.874870000E-04
1.549996187E+01 1.100000000E+01 1.184003015E+00 1.207940342E+00 -2.393732700E-02 1.183683742E+00 1.207330929E+00 -2.364718700E-02 3.192730000E-04 6.094130000E-04
1.549996187E+01 1.116672606E+01 1.187725317E+00 1.208301882E+00 -2.057656500E-02 1.187505609E+00 1.207883216E+00 -2.037760700E-02 2.197080000E-04 4.186660000E-04
1.549996187E+01 1.133324570E+01 1.192472558E+00 1.208808558E+00 -1.633600000E-02 1.192320223E+00 1.208520439E+00 -1.620021600E-02 1.523350000E-04 2.881190000E-04
1.549996187E+01 1.149996187E+01 1.198212775E+00 1.209506045E+00 -1.129327000E-02 1.198105883E+00 1.209307054E+00 -1.120117100E-02 1.068920000E-04 1.989910000E-04
1.549996187E+01 1.166670514E+01 1.204708459E+00 1.210444246E+00 -5.735787000E-03 1.204632129E+00 1.210306013E+00 -5.673884000E-03 7.633000000E-05 1.382330000E-04
1.549996187E+01 1.183333839E+01 1.211520668E+00 1.211671068E+00 -1.504000000E-04 1.211464987E+00 1.211574148E+00 -1.091610000E-04 5.568100000E-05 9.692000000E-05
1.549996187E+01 1.200000000E+01 1.218136233E+00 1.213223536E+00 4.912697000E-03 1.218094672E+00 1.213154635E+00 4.940037000E-03 4.156100000E-05 6.890100000E-05
1.549996187E+01 1.216672606E+01 1.224170175E+00 1.215119355E+00 9.050820000E-03 1.224138495E+00 1.215069403E+00 9.069092000E-03 3.168000000E-05 4.995200000E-05
1.549996187E+01 1.233324570E+01 1.229496382E+00 1.217352465E+00 1.214391700E-02 1.229471770E+00 1.217315289E+00 1.215648100E-02 2.461200000E-05 3.717600000E-05
1.549996187E+01 1.249996187E+01 1.234210963E+00 1.219895302E+00 1.431566100E-02 1.234191452E+00 1.219866755E+00 1.432469700E-02 1.951100000E-05 2.854700000E-05
1.549996187E+01 1.266670514E+01 1.238496567E+00 1.222707873E+00 1.578869400E-02 1.238480780E+00 1.222685204E+00 1.579557600E-02 1.578700000E-05 2.266900000E-05
1.549996187E+01 1.283333839E+01 1.242631484E+00 1.225750685E+00 1.688079900E-02 1.242618413E+00 1.225732103E+00 1.688631000E-02 1.307100000E-05 1.858200000E-05
1.549996187E+01 1.300000000E+01 1.246501616E+00 1.228996593E+00 1.750502300E-02 1.246490598E+00 1.228980965E+00 1.750963300E-02 1.101800000E-05 1.562800000E-05
1.574996808E+01 1.000000000E+01 1.225556094E+00 1.215508684E+00 1.004741000E-02 1.218701412E+00 1.207569790E+00 1.113162200E-02 6.854682000E-03 7.938894000E-03
1.574996808E+01 1.016672606E+01 1.225756478E+00 1.215562211E+00 1.019426700E-02 1.220995421E+00 1.210001306E+00 1.099411500E-02 4.761057000E-03 5.560905000E-03
1.574996808E+01 1.033324570E+01 1.226046174E+00 1.215640292E+00 1.040588200E-02 1.222755555E+00 1.211770078E+00 1.098547700E-02 3.290619000E-03 3.870214000E-03
1.574996808E+01 1.049996187E+01 1.226462161E+00 1.215753888E+00 1.070827300E-02 1.224196448E+00 1.213074125E+00 1.112232300E-02 2.265713000E-03 2.679763000E-03
1.574996808E+01 1.066670514E+01 1.227053649E+00 1.215918529E+00 1.113512000E-02 1.225497857E+00 1.214070029E+00 1.142782800E-02 1.555792000E-03 1.848500000E-03
1.574996808E+01 1.083333839E+01 1.227882989E+00 1.216192803E+00 1.169018600E-02 1.226816489E+00 1.214792547E+00 1.202394200E-02 1.066500000E-03 1.400256000E-03
1.574996808E+01 1.100000000E+01 1.229023412E+00 1.216516207E+00 1.250720500E-02 1.228292751E+00 1.215571941E+00 1.272081000E-02 7.306610000E-04 9.442660000E-04
1.574996808E+01 1.116672606E+01 1.230550359E+00 1.216987701E+00 1.356265800E-02 1.230049396E+00 1.216346017E+00 1.370337900E-02 5.009630000E-04 6.416840000E-04
1.574996808E+01 1.133324570E+01 1.232524193E+00 1.217640647E+00 1.488354600E-02 1.232179765E+00 1.217205626E+00 1.497413900E-02 3.444280000E-04 4.350210000E-04
1.574996808E+01 1.149996187E+01 1.234965267E+00 1.218538982E+00 1.642628500E-02 1.234727148E+00 1.218242694E+00 1.648445400E-02 2.381190000E-04 2.962880000E-04
1.574996808E+01 1.166670514E+01 1.237831771E+00 1.219745671E+00 1.808610000E-02 1.237665585E+00 1.219539720E+00 1.812586500E-02 1.661860000E-04 2.059510000E-04
1.574996808E+01 1.183333839E+01 1.241018857E+00 1.221281537E+00 1.973732000E-02 1.240901188E+00 1.221139304E+00 1.976188400E-02 1.176690000E-04 1.422330000E-04
1.574996808E+01 1.200000000E+01 1.244391707E+00 1.223199625E+00 2.119208200E-02 1.244306732E+00 1.223097968E+00 2.120876400E-02 8.497500000E-05 1.016570000E-04
1.574996808E+01 1.216672606E+01 1.247837594E+00 1.225480866E+00 2.235672800E-02 1.247774686E+00 1.225406478E+00 2.236820800E-02 6.290800000E-05 7.438800000E-05
1.574996808E+01 1.233324570E+01 1.251299481E+00 1.228092611E+00 2.320687000E-02 1.251251539E+00 1.228036516E+00 2.321502300E-02 4.794200000E-05 5.609500000E-05
1.574996808E+01 1.249996187E+01 1.254771263E+00 1.230986833E+00 2.378443000E-02 1.254733571E+00 1.230943081E+00 2.379049000E-02 3.769200000E-05 4.375200000E-05
1.574996808E+01 1.266670514E+01 1.258272884E+00 1.234117470E+00 2.415541400E-02 1.258242340E+00 1.234082180E+00 2.416016000E-02 3.054400000E-05 3.529000000E-05
1.574996808E+01 1.283333839E+01 1.261832389E+00 1.237454621E+00 2.437776800E-02 1.261806987E+00 1.237425325E+00 2.438166200E-02 2.540200000E-05 2.929600000E-05
1.574996808E+01 1.300000000E+01 1.265480278E+00 1.240990075E+00 2.449020300E-02 1.265458737E+00 1.240965220E+00 2.449351700E-02 2.154100000E-05 2.485500000E-05
1.600000000E+01 1.000000000E+01 1.250107390E+00 1.222210292E+00 2.789709800E-02 1.238429666E+00 1.211194312E+00 2.723535400E-02 1.167772400E-02 1.101598000E-02
1.600000000E+01 1.016672606E+01 1.250216563E+00 1.222298816E+00 2.791774700E-02 1.241969833E+00 1.214561563E+00 2.740827000E-02 8.246730000E-03 7.737253000E-03
1.600000000E+01 1.033324570E+01 1.250374857E+00 1.222427541E+00 2.794731600E-02 1.244593582E+00 1.217031276E+00 2.756230600E-02 5.781275000E-03 5.396265000E-03
1.600000000E+01 1.049996187E+01 1.250603097E+00 1.222613954E+00 2.798914300E-02 1.246575832E+00 1.218871900E+00 2.770393200E-02 4.027265000E-03 3.742054000E-03
1.600000000E+01 1.066670514E+01 1.250929602E+00 1.222882282E+00 2.804732000E-02 1.248138414E+00 1.220298798E+00 2.783961600E-02 2.791188000E-03 2.583484000E-03
1.600000000E+01 1.083333839E+01 1.251391519E+00 1.223265269E+00 2.812625000E-02 1.249464079E+00 1.221487167E+00 2.797691200E-02 1.927440000E-03 1.778102000E-03
1.600000000E+01 1.100000000E+01 1.252035102E+00 1.223805324E+00 2.822977800E-02 1.250706870E+00 1.222583729E+00 2.812314100E-02 1.328232000E-03 1.221595000E-03
1.600000000E+01 1.116672606E+01 1.252913441E+00 1.224554377E+00 2.835906400E-02 1.251998381E+00 1.223715381E+00 2.828300000E-02 9.150600000E-04 8.389960000E-04
1.600000000E+01 1.133324570E+01 1.254080591E+00 1.225570511E+00 2.851008000E-02 1.253448916E+00 1.224993395E+00 2.845552100E-02 6.316750000E-04 5.771160000E-04
1.600000000E+01 1.149996187E+01 1.255581509E+00 1.226910177E+00 2.867133200E-02 1.255143220E+00 1.226511468E+00 2.863175200E-02 4.382890000E-04 3.987090000E-04
1.600000000E+01 1.166670514E+01 1.257440645E+00 1.228615698E+00 2.882494700E-02 1.257133666E+00 1.228337921E+00 2.879574500E-02 3.069790000E-04 2.777770000E-04
1.600000000E+01 1.183333839E+01 1.259655239E+00 1.230701890E+00 2.895334900E-02 1.259436971E+00 1.230505587E+00 2.893138400E-02 2.182680000E-04 1.963030000E-04
1.600000000E+01 1.200000000E+01 1.262198585E+00 1.233148797E+00 2.904978800E-02 1.262040000E+00 1.233007064E+00 2.903293600E-02 1.585850000E-04 1.417330000E-04
1.600000000E+01 1.216672606E+01 1.265031849E+00 1.235897697E+00 2.913415200E-02 1.264913353E+00 1.235792324E+00 2.912102900E-02 1.184960000E-04 1.053730000E-04
1.600000000E+01 1.233324570E+01 1.268116191E+00 1.238907186E+00 2.920900500E-02 1.268024746E+00 1.238826189E+00 2.919855700E-02 9.144500000E-05 8.099700000E-05
1.600000000E+01 1.249996187E+01 1.271419838E+00 1.242116592E+00 2.930324600E-02 1.271346926E+00 1.242052140E+00 2.929478600E-02 7.291200000E-05 6.445200000E-05
1.600000000E+01 1.266670514E+01 1.274921594E+00 1.245498451E+00 2.942314300E-02 1.274861748E+00 1.245445555E+00 2.941619300E-02 5.984600000E-05 5.289600000E-05
1.600000000E+01 1.283333839E+01 1.278613354E+00 1.249051797E+00 2.956155700E-02 1.278563097E+00 1.249007318E+00 2.955577900E-02 5.025700000E-05 4.447900000E-05
1.600000000E+01 1.300000000E+01 1.282499711E+00 1.252795167E+00 2.970454400E-02 1.282456861E+00 1.252757118E+00 2.969974300E-02 4.285000000E-05 3.804900000E-05
