fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 Iph Voc Isc Pm FF Vm Im dev 
00L1 7:3 295.4 39.25 1.000E+000 2.108E+000 3.866E-011 5.477E+004 2.445E+000 1.285E-006 1.465E-004 2.917E-001 1.465E-004 2.242E-005 5.245E-001 2.017E-001 1.111E-004 1.574E-002 
00L2 7:26 297.2 39.01 1.000E+000 2.146E+000 5.485E-011 7.856E+004 2.485E+000 1.614E-006 1.471E-004 2.849E-001 1.471E-004 2.174E-005 5.189E-001 1.958E-001 1.110E-004 2.471E-003 
00L3 7:56 299 38.78 1.000E+000 2.105E+000 7.427E-011 5.703E+004 2.464E+000 1.771E-006 1.477E-004 2.782E-001 1.477E-004 2.103E-005 5.119E-001 1.904E-001 1.104E-004 2.007E-003 
00L4 8:22 301 38.52 1.000E+000 2.182E+000 1.118E-010 7.857E+004 2.505E+000 2.217E-006 1.486E-004 2.712E-001 1.486E-004 2.035E-005 5.053E-001 1.843E-001 1.104E-004 4.354E-003 
00L5 8:39 303.8 38.16 1.000E+000 2.062E+000 1.727E-010 5.681E+004 2.478E+000 2.540E-006 1.472E-004 2.611E-001 1.472E-004 1.904E-005 4.955E-001 1.762E-001 1.080E-004 3.926E-003 
00L6 9:4 306.4 37.84 1.000E+000 1.951E+000 2.885E-010 6.301E+004 2.509E+000 3.231E-006 1.475E-004 2.513E-001 1.475E-004 1.799E-005 4.854E-001 1.681E-001 1.070E-004 9.106E-003 
00L7 9:20 308.8 37.55 1.000E+000 1.963E+000 4.170E-010 4.808E+004 2.487E+000 3.607E-006 1.479E-004 2.435E-001 1.479E-004 1.720E-005 4.777E-001 1.618E-001 1.062E-004 4.894E-003 
00L8 9:43 310.9 37.29 1.000E+000 2.032E+000 5.830E-010 5.679E+004 2.508E+000 4.346E-006 1.479E-004 2.355E-001 1.478E-004 1.637E-005 4.700E-001 1.554E-001 1.052E-004 2.229E-003 
00L9 9:59 313.3 37.01 1.000E+000 2.226E+000 8.159E-010 3.648E+004 2.471E+000 4.727E-006 1.484E-004 2.277E-001 1.483E-004 1.559E-005 4.615E-001 1.493E-001 1.043E-004 1.770E-003 
0L10 10:24 315.6 36.74 1.000E+000 2.192E+000 1.179E-009 3.308E+004 2.466E+000 5.476E-006 1.494E-004 2.197E-001 1.493E-004 1.488E-005 4.535E-001 1.431E-001 1.039E-004 2.496E-003 
0L11 10:39 318 36.46 1.000E+000 2.200E+000 1.726E-009 2.973E+004 2.473E+000 6.439E-006 1.496E-004 2.113E-001 1.495E-004 1.403E-005 4.443E-001 1.364E-001 1.028E-004 1.658E-002 
0L12 11:3 320.1 36.22 1.000E+000 2.292E+000 2.349E-009 3.372E+004 2.487E+000 7.676E-006 1.479E-004 2.022E-001 1.479E-004 1.304E-005 4.361E-001 1.295E-001 1.006E-004 7.983E-004 
0L13 11:19 322.4 35.96 1.000E+000 2.247E+000 3.223E-009 2.633E+004 2.471E+000 8.629E-006 1.483E-004 1.943E-001 1.483E-004 1.232E-005 4.274E-001 1.236E-001 9.957E-005 1.655E-003 
0L14 11:48 325.5 35.62 1.000E+000 2.300E+000 4.807E-009 2.201E+004 2.453E+000 1.012E-005 1.491E-004 1.845E-001 1.491E-004 1.148E-005 4.174E-001 1.162E-001 9.870E-005 1.405E-003 
0L15 12:7 327.9 35.36 1.000E+000 2.357E+000 6.678E-009 1.621E+004 2.419E+000 1.122E-005 1.501E-004 1.760E-001 1.500E-004 1.077E-005 4.081E-001 1.099E-001 9.794E-005 2.299E-003 
0L16 12:32 330.1 35.12 1.000E+000 2.399E+000 9.152E-009 1.697E+004 2.431E+000 1.298E-005 1.498E-004 1.691E-001 1.497E-004 1.017E-005 4.017E-001 1.048E-001 9.690E-005 2.164E-003 
