T nFsrh nFBsrh dnsrh nF nFB dn
290 1.177223098E+00 1.14555867E+00 3.166442800E-02 1.177220356E+00 1.14524986E+00 3.197049600E-02
295 1.184674391E+00 1.15065974E+00 3.401465100E-02 1.184670753E+00 1.15023582E+00 3.443493300E-02
300 1.182056555E+00 1.157018926E+00 2.503762900E-02 1.182052241E+00 1.157014896E+00 2.503734500E-02
305 1.189085726E+00 1.163506245E+00 2.557948100E-02 1.189080182E+00 1.163501018E+00 2.557916400E-02
310 1.195733808E+00 1.170069987E+00 2.566382100E-02 1.195726863E+00 1.170063367E+00 2.566349600E-02
315 1.196412330E+00 1.176584644E+00 1.982768600E-02 1.196312191E+00 1.176575884E+00 1.973630700E-02
320 1.198332524E+00 1.177537805E+00 2.079471900E-02 1.198321914E+00 1.177467805E+00 2.085410900E-02
325 1.202669779E+00 1.178923376E+00 2.374640300E-02 1.202656171E+00 1.178909762E+00 2.374640900E-02
330 1.189810593E+00 1.183411033E+00 6.399560000E-03 1.189738146E+00 1.183393043E+00 6.345103000E-03
335 1.180668566E+00 1.182449824E+00 -1.781258000E-03 1.180654150E+00 1.182393307E+00 -1.739157000E-03
340 1.161896980E+00 1.164042475E+00 -2.145495000E-03 1.161865012E+00 1.163985473E+00 -2.120461000E-03
