d T nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
150 290 1.227038823E+00 1.205176362E+00 2.186246100E-02 1.223508453E+00 1.200343607E+00 2.316484600E-02 3.530370000E-03 4.832755000E-03
150 295 1.227261679E+00 1.206590534E+00 2.067114500E-02 1.224059727E+00 1.202058654E+00 2.200107300E-02 3.201952000E-03 4.531880000E-03
150 300 1.226535402E+00 1.208024049E+00 1.851135300E-02 1.223526265E+00 1.203746580E+00 1.977968500E-02 3.009137000E-03 4.277469000E-03
150 305 1.223350416E+00 1.210151749E+00 1.319866700E-02 1.220434233E+00 1.205898859E+00 1.453537400E-02 2.916183000E-03 4.252890000E-03
150 310 1.214622218E+00 1.212224032E+00 2.398186000E-03 1.211784951E+00 1.207849562E+00 3.935389000E-03 2.837267000E-03 4.374470000E-03
150 315 1.195189415E+00 1.213533032E+00 -1.834361700E-02 1.192590319E+00 1.208934999E+00 -1.634468000E-02 2.599096000E-03 4.598033000E-03
150 320 1.156715938E+00 1.213762348E+00 -5.704641000E-02 1.154844267E+00 1.208786910E+00 -5.394264300E-02 1.871671000E-03 4.975438000E-03
150 325 1.088477303E+00 1.210660399E+00 -1.221830960E-01 1.088274702E+00 1.205295591E+00 -1.170208890E-01 2.026010000E-04 5.364808000E-03
150 330 1.011759993E+00 1.199856081E+00 -1.880960880E-01 1.010098676E+00 1.194342274E+00 -1.842435980E-01 1.661317000E-03 5.513807000E-03
150 335 1.012129158E+00 1.173417152E+00 -1.612879940E-01 1.010390933E+00 1.168486913E+00 -1.580959800E-01 1.738225000E-03 4.930239000E-03
150 340 1.013733371E+00 1.117406723E+00 -1.036733520E-01 1.011693547E+00 1.114752025E+00 -1.030584780E-01 2.039824000E-03 2.654698000E-03
180 290 1.222832759E+00 1.201803352E+00 2.102940700E-02 1.219920613E+00 1.197853362E+00 2.206725100E-02 2.912146000E-03 3.949990000E-03
180 295 1.223134133E+00 1.203448944E+00 1.968518900E-02 1.220433798E+00 1.199696712E+00 2.073708600E-02 2.700335000E-03 3.752232000E-03
180 300 1.222151845E+00 1.205173548E+00 1.697829700E-02 1.219544039E+00 1.201553172E+00 1.799086700E-02 2.607806000E-03 3.620376000E-03
180 305 1.217943056E+00 1.207248083E+00 1.069497300E-02 1.215352323E+00 1.203559060E+00 1.179326300E-02 2.590733000E-03 3.689023000E-03
180 310 1.207325241E+00 1.209185006E+00 -1.859765000E-03 1.204766245E+00 1.205293960E+00 -5.277150000E-04 2.558996000E-03 3.891046000E-03
180 315 1.184385253E+00 1.210147387E+00 -2.576213400E-02 1.182056148E+00 1.205957702E+00 -2.390155400E-02 2.329105000E-03 4.189685000E-03
180 320 1.140034258E+00 1.209722361E+00 -6.968810300E-02 1.138474685E+00 1.205106570E+00 -6.663188500E-02 1.559573000E-03 4.615791000E-03
180 325 1.063510301E+00 1.205397042E+00 -1.418867410E-01 1.063686420E+00 1.200384547E+00 -1.366981270E-01 -1.761190000E-04 5.012495000E-03
180 330 1.010493218E+00 1.192172871E+00 -1.816796530E-01 1.009206759E+00 1.187065192E+00 -1.778584330E-01 1.286459000E-03 5.107679000E-03
180 335 1.011091746E+00 1.161302751E+00 -1.502110050E-01 1.009707295E+00 1.156940010E+00 -1.472327150E-01 1.384451000E-03 4.362741000E-03
180 340 1.012861277E+00 1.097745949E+00 -8.488467200E-02 1.011190626E+00 1.095923255E+00 -8.473262900E-02 1.670651000E-03 1.822694000E-03
210 290 1.220637152E+00 1.198711747E+00 2.192540500E-02 1.218137861E+00 1.195363622E+00 2.277423900E-02 2.499291000E-03 3.348125000E-03
210 295 1.220981127E+00 1.200647065E+00 2.033406200E-02 1.218611729E+00 1.197414631E+00 2.119709800E-02 2.369398000E-03 3.232434000E-03
210 300 1.219780998E+00 1.202652878E+00 1.712812000E-02 1.217435333E+00 1.199468666E+00 1.796666700E-02 2.345665000E-03 3.184212000E-03
210 305 1.214724534E+00 1.204834076E+00 9.890458000E-03 1.212344744E+00 1.201385950E+00 1.095879400E-02 2.379790000E-03 3.448126000E-03
210 310 1.202295648E+00 1.206617164E+00 -4.321516000E-03 1.199921188E+00 1.203043301E+00 -3.122113000E-03 2.374460000E-03 3.573863000E-03
210 315 1.175935048E+00 1.207242881E+00 -3.130783300E-02 1.173800911E+00 1.203323986E+00 -2.952307500E-02 2.134137000E-03 3.918895000E-03
210 320 1.126298563E+00 1.206233623E+00 -7.993506000E-02 1.124988228E+00 1.201871181E+00 -7.688295300E-02 1.310335000E-03 4.362442000E-03
