N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.015841980E+00 1.014047805E+00 1.012739602E+00 1.011739627E+00
1.600000000E+01 1.233387023E+00 1.228891014E+00 1.225062150E+00 1.221680503E+00
1.700000000E+01 1.249993147E+00 1.246392408E+00 1.243816222E+00 1.241654752E+00
1.549996187E+01 1.211026694E+00 1.205997909E+00 1.201663542E+00 1.197361614E+00
1.649996187E+01 1.237317333E+00 1.232508001E+00 1.228260428E+00 1.225040015E+00
1.674996808E+01 1.240732850E+00 1.236274405E+00 1.232404547E+00 1.229645771E+00
1.624993176E+01 1.236509542E+00 1.231758789E+00 1.227631587E+00 1.224266449E+00
1.574996808E+01 1.225327880E+00 1.221132753E+00 1.217451318E+00 1.214115416E+00
1.524993176E+01 1.167977157E+00 1.158302933E+00 1.149189074E+00 1.140726610E+00
