N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.041828454E+00 1.029342253E+00 1.021098634E+00 1.016040892E+00
1.600000000E+01 1.237856948E+00 1.235388299E+00 1.233795754E+00 1.232747293E+00
1.700000000E+01 1.275973444E+00 1.275946017E+00 1.275929350E+00 1.275525135E+00
1.549996187E+01 1.214456107E+00 1.211171195E+00 1.208813781E+00 1.206624545E+00
1.649996187E+01 1.249290745E+00 1.248194022E+00 1.247352434E+00 1.247200036E+00
1.674996808E+01 1.259200605E+00 1.258860698E+00 1.258282696E+00 1.258180915E+00
1.624993176E+01 1.243897101E+00 1.242033412E+00 1.240847699E+00 1.240364108E+00
1.574996808E+01 1.228331922E+00 1.225620634E+00 1.223644306E+00 1.222135401E+00
1.524993176E+01 1.177459509E+00 1.172660260E+00 1.168897976E+00 1.166017430E+00
