fname time Tem kT_1 n Rs Io Rsh Iph Voc Isc FF Pm Vm Im rmsre 
L139 50010 300.09 38.636 1.098848910E+00 8.109530975E-01 2.690364085E-10 9.627410828E+16 1.095191318E-04 3.677304962E-01 1.095191317E-04 7.100836465E-01 2.859757125E-05 2.962792562E-01 9.652472823E-05 3.800954550E-02 
L139 50010 300.09 38.636 1.097701819E+00 8.123277587E-01 2.641996277E-10 1.182216193E+05 1.095191318E-04 3.677304962E-01 1.095191317E-04 7.100836465E-01 2.859757125E-05 2.962792562E-01 9.652472823E-05 5.017695264E-02 
L140 50136 299.88 38.663 1.092221629E+00 8.254824803E-01 2.356462026E-10 1.034798303E+05 1.100698279E-04 3.683198273E-01 1.098913438E-04 7.115893518E-01 2.880169341E-05 2.972144432E-01 9.690528847E-05 2.878360436E-02 
L140 50136 299.88 38.663 1.092221629E+00 8.254824803E-01 2.356462026E-10 1.034798303E+05 1.100698279E-04 3.683198273E-01 1.098913438E-04 7.115893518E-01 2.880169341E-05 2.972144432E-01 9.690528847E-05 2.878360436E-02 
L141 50232 299.85 38.667 1.107348811E+00 7.938430685E-01 2.931849414E-10 1.171135368E+05 1.099261395E-04 3.683654449E-01 1.098324423E-04 7.122814166E-01 2.881782094E-05 2.985622805E-01 9.652021617E-05 6.436683440E-02 
L141 50232 299.85 38.667 1.107383101E+00 7.937864423E-01 2.933363828E-10 1.171171294E+05 1.099261168E-04 3.683654449E-01 1.098324423E-04 7.122814166E-01 2.881782094E-05 2.985622805E-01 9.652021617E-05 6.447036127E-02 
L142 50322 299.83 38.669 1.103103092E+00 8.029209537E-01 2.728383888E-10 1.385167133E+05 1.102223896E-04 3.686052460E-01 1.102223896E-04 7.120774814E-01 2.893067630E-05 2.983311287E-01 9.697414659E-05 4.627599037E-02 
L142 50322 299.83 38.669 1.103103092E+00 8.029209537E-01 2.728383888E-10 1.385167133E+05 1.102223896E-04 3.686052460E-01 1.102223896E-04 7.120774814E-01 2.893067630E-05 2.983311287E-01 9.697414659E-05 4.627599037E-02 
L143 50404 299.82 38.671 1.108526634E+00 7.868137293E-01 2.947777420E-10 1.126764711E+05 1.102698442E-04 3.685177094E-01 1.102373921E-04 7.091470239E-01 2.880869450E-05 2.975466108E-01 9.682032695E-05 6.046833040E-02 
L143 50404 299.82 38.671 1.108501037E+00 7.868562135E-01 2.946643235E-10 1.126744656E+05 1.102698499E-04 3.685177094E-01 1.102373921E-04 7.091470239E-01 2.880869450E-05 2.975466108E-01 9.682032695E-05 6.039230264E-02 
L144 50492 299.81 38.672 1.104737000E+00 7.940738682E-01 2.778959945E-10 1.371677601E+05 1.103508465E-04 3.686350151E-01 1.103508465E-04 7.111779254E-01 2.893013908E-05 2.973180079E-01 9.730454538E-05 4.984777377E-02 
L144 50492 299.81 38.672 1.104737000E+00 7.940738682E-01 2.778959945E-10 1.371677601E+05 1.103508465E-04 3.686350151E-01 1.103508465E-04 7.111779254E-01 2.893013908E-05 2.973180079E-01 9.730454538E-05 4.984777377E-02 
L145 50588 299.81 38.672 1.107106362E+00 7.833977027E-01 2.875495228E-10 1.321801544E+05 1.102898022E-04 3.685688751E-01 1.102898022E-04 7.110775625E-01 2.890486798E-05 2.972460182E-01 9.724220765E-05 5.203992582E-02 
L145 50588 299.81 38.672 1.107106362E+00 7.833977027E-01 2.875495228E-10 1.321801544E+05 1.102898022E-04 3.685688751E-01 1.102898022E-04 7.110775625E-01 2.890486798E-05 2.972460182E-01 9.724220765E-05 5.203992582E-02 
L146 50680 299.81 38.672 1.110177026E+00 7.908063314E-01 3.020529924E-10 1.124878376E+05 1.107756963E-04 3.686262054E-01 1.107419110E-04 7.100872398E-01 2.898744435E-05 2.973155573E-01 9.749682984E-05 6.486101296E-02 
L146 50680 299.81 38.672 1.110184935E+00 7.907931880E-01 3.020888009E-10 1.124888073E+05 1.107756889E-04 3.686262054E-01 1.107419110E-04 7.100872398E-01 2.898744435E-05 2.973155573E-01 9.749682984E-05 6.488459931E-02 
L147 50764 299.83 38.669 1.102516653E+00 8.017291853E-01 2.699330409E-10 1.211410764E+05 1.105844060E-04 3.685096954E-01 1.105844060E-04 7.055658597E-01 2.875281476E-05 2.953288645E-01 9.736529952E-05 4.135520134E-02 
L147 50764 299.83 38.669 1.102516653E+00 8.017291853E-01 2.699330409E-10 1.211410764E+05 1.105844060E-04 3.685096954E-01 1.105844060E-04 7.055658597E-01 2.875281476E-05 2.953288645E-01 9.736529952E-05 4.135520134E-02 
L148 50858 299.83 38.669 1.104684735E+00 8.010782341E-01 2.792620479E-10 1.100738151E+05 1.109799930E-04 3.686103119E-01 1.109574480E-04 7.059889814E-01 2.887499136E-05 2.956533134E-01 9.767089101E-05 5.306243619E-02 
L148 50858 299.83 38.669 1.104684735E+00 8.010782341E-01 2.792620479E-10 1.100738151E+05 1.109799930E-04 3.686103119E-01 1.109574480E-04 7.059889814E-01 2.887499136E-05 2.956533134E-01 9.767089101E-05 5.306243619E-02 
L149 50944 299.85 38.667 1.106821211E+00 7.950916598E-01 2.885704466E-10 1.180606851E+05 1.108243680E-04 3.684542145E-01 1.107782054E-04 7.111787712E-01 2.902796816E-05 2.975352488E-01 9.756227868E-05 5.684059567E-02 
L149 50944 299.85 38.667 1.106821211E+00 7.950916598E-01 2.885704466E-10 1.180606851E+05 1.108243680E-04 3.684542145E-01 1.107782054E-04 7.111787712E-01 2.902796816E-05 2.975352488E-01 9.756227868E-05 5.684059567E-02 
L150 51036 299.86 38.665 1.106260054E+00 7.991032593E-01 2.868759634E-10 1.169131341E+05 1.112275395E-04 3.684579132E-01 1.112207253E-04 7.088119516E-01 2.904722461E-05 2.977606789E-01 9.755404367E-05 5.474602406E-02 
