N_Fe N_B T n_FeB n_FeB_SRH
1.000000E+10 1.000e+16 310 1.146148117E+00 1.153311108E+00
1.468000E+10 1.000e+16 310 1.148403420E+00 1.153362571E+00
2.154000E+10 1.000e+16 310 1.150019304E+00 1.153437141E+00
3.162000E+10 1.000e+16 310 1.151196571E+00 1.153545177E+00
4.642000E+10 1.000e+16 310 1.152089670E+00 1.153700690E+00
6.813000E+10 1.000e+16 310 1.152819299E+00 1.153923405E+00
1.000000E+11 1.000e+16 310 1.153465558E+00 1.154221902E+00
1.468000E+11 1.000e+16 310 1.154107104E+00 1.154625798E+00
2.154000E+11 1.000e+16 310 1.154896699E+00 1.155252788E+00
3.162000E+11 1.000e+16 310 1.155800014E+00 1.156044696E+00
4.642000E+11 1.000e+16 310 1.156910024E+00 1.157078630E+00
6.813000E+11 1.000e+16 310 1.158176110E+00 1.158292714E+00
1.000000E+12 1.000e+16 310 1.159967159E+00 1.160048094E+00
1.468000E+12 1.000e+16 310 1.161692251E+00 1.161748064E+00
2.154000E+12 1.000e+16 310 1.162789226E+00 1.162827826E+00
3.162000E+12 1.000e+16 310 1.164274658E+00 1.164436347E+00
4.642000E+12 1.000e+16 310 1.172935466E+00 1.173089147E+00
6.813000E+12 1.000e+16 310 1.176094802E+00 1.176108732E+00
1.000000E+13 1.000e+16 310 1.177114125E+00 1.177123715E+00
