N_Fe N_B T n_FeB n_FeB_SRH
1.000000E+10 1.000e+15 290 1.129532593E+00 1.137787414E+00
1.468000E+10 1.000e+15 290 1.017097420E+00 1.137937955E+00
2.154000E+10 1.000e+15 290 1.133636283E+00 1.138158162E+00
3.162000E+10 1.000e+15 290 1.135200408E+00 1.138479733E+00
4.642000E+10 1.000e+15 290 1.136580610E+00 1.138948251E+00
6.813000E+10 1.000e+15 290 1.137915061E+00 1.139628562E+00
1.000000E+11 1.000e+15 290 1.139359864E+00 1.140611664E+00
1.468000E+11 1.000e+15 290 1.141094270E+00 1.141885694E+00
2.154000E+11 1.000e+15 290 1.141837805E+00 1.142232288E+00
3.162000E+11 1.000e+15 290 1.142400555E+00 1.142667049E+00
4.642000E+11 1.000e+15 290 1.143068145E+00 1.143249932E+00
6.813000E+11 1.000e+15 290 1.143849150E+00 1.143973755E+00
1.000000E+12 1.000e+15 290 1.145011266E+00 1.145043273E+00
1.468000E+12 1.000e+15 290 1.145892036E+00 1.145914029E+00
2.154000E+12 1.000e+15 290 1.146633846E+00 1.146648957E+00
3.162000E+12 1.000e+15 290 1.147351714E+00 1.147361445E+00
4.642000E+12 1.000e+15 290 1.148012490E+00 1.148019169E+00
6.813000E+12 1.000e+15 290 1.158997390E+00 1.159002477E+00
1.000000E+13 1.000e+15 290 1.159375841E+00 1.159379314E+00
