fname time Tem kT_1 A Rs Io Rsh dev 
00L1 29676 295 39.3 2.182876068E+01 2.698582954E+03 2.362615435E-11 1.865009454E+08 3.607324667E-03 
00L2 30504 298 38.9 2.151875715E+01 2.302154041E+03 3.311696054E-11 1.288131991E+08 3.737765079E-03 
00L3 31278 301 38.52 2.090238126E+01 1.970684895E+03 5.116411234E-11 1.241802873E+08 3.298864539E-03 
00L4 31904 304 38.14 2.066853121E+01 1.719434320E+03 6.557823244E-11 2.436997520E+08 4.526918593E-03 
00L5 32760 307 37.76 2.028599214E+01 1.490327729E+03 9.379498608E-11 2.015171356E+08 4.303632870E-03 
00L6 33362 310 37.4 2.014398510E+01 1.323299898E+03 1.296691569E-10 2.008824889E+08 5.262265809E-03 
00L7 34018 313 37.04 2.005409619E+01 1.214417059E+03 1.566779599E-10 1.483861682E+08 5.414202372E-03 
00L8 34788 316 36.69 2.004773244E+01 1.122843969E+03 1.985724235E-10 5.700216922E+07 5.454423910E-03 
00L9 35586 319 36.34 2.008071863E+01 1.032925251E+03 2.541289509E-10 5.594588989E+07 5.678483938E-03 
0L10 36344 322.1 36 2.033312501E+01 9.991252131E+02 2.920887991E-10 2.431314928E+07 5.721570898E-03 
0L11 37102 325 35.67 2.047191931E+01 9.427878317E+02 3.606390390E-10 1.712755777E+07 6.091519811E-03 
0L12 38020 328 35.34 2.065068082E+01 9.115702751E+02 4.165847416E-10 1.587129027E+07 6.216468770E-03 
0L13 39368 331.1 35.02 2.056183873E+01 8.611261385E+02 5.191195057E-10 1.473504049E+07 5.674287352E-03 
0L14 40200 334 34.71 2.077307693E+01 8.406555104E+02 6.036762296E-10 1.189325770E+07 5.796374693E-03 
0L15 40914 337 34.4 2.103062394E+01 8.239590479E+02 7.024120174E-10 8.756071946E+06 5.986171104E-03 
0L16 41986 340 34.1 2.088714804E+01 7.588995061E+02 9.506302442E-10 8.681038004E+06 5.376386555E-03 
DARK1 28750 295 39.3 2.105617657E+01 2.674829357E+03 3.746811339E-11 7.392714247E+07 2.638568378E-03 
DARK10 32742 307 37.76 2.022116272E+01 1.488313946E+03 9.604528250E-11 2.238243954E+08 4.136600892E-03 
DARK11 32776 310 37.4 1.970434182E+01 1.331686486E+03 1.664345359E-10 7.644648951E+07 5.469224279E-03 
DARK12 33344 310 37.4 2.003638632E+01 1.301262682E+03 1.341201073E-10 6.836086649E+17 3.717522095E-03 
DARK13 33382 313 37.04 1.931938042E+01 1.200941361E+03 2.357484058E-10 1.313165155E+16 4.692794229E-03 
DARK14 34000 313 37.04 2.002390111E+01 1.215196861E+03 1.570458550E-10 1.323211937E+08 5.332167121E-03 
DARK15 34032 316 36.69 1.950028648E+01 1.118556055E+03 2.683864692E-10 6.430402849E+07 5.899841395E-03 
DARK16 34772 316.1 36.68 1.999508598E+01 1.122596806E+03 2.006515438E-10 9.228460928E+07 5.436762392E-03 
DARK17 34806 319.1 36.34 1.956870861E+01 1.036970290E+03 3.361141942E-10 5.505010503E+07 5.240793898E-03 
DARK18 35570 319.1 36.34 2.004659004E+01 1.036803603E+03 2.556589636E-10 6.847668161E+07 5.092376714E-03 
DARK19 35600 322 36 1.988711695E+01 1.004482578E+03 3.645452076E-10 2.476179378E+07 5.798975460E-03 
DARK2 29656 295 39.3 2.192649289E+01 2.717102620E+03 2.233920533E-11 1.099717238E+08 3.789967902E-03 
DARK20 36328 322.1 36 2.039456073E+01 1.002256147E+03 2.778843890E-10 2.552387813E+07 5.990106274E-03 
DARK21 36358 325.1 35.67 1.994783811E+01 9.591304900E+02 4.506297354E-10 1.858909093E+07 5.980046573E-03 
DARK22 37080 325.1 35.67 2.049295947E+01 9.444970643E+02 3.392346970E-10 1.709274642E+07 6.131859028E-03 
DARK23 37118 328 35.34 2.003399036E+01 9.100853408E+02 5.413501831E-10 1.561330458E+07 6.232754881E-03 
DARK24 38006 328 35.35 2.054597244E+01 9.101967408E+02 4.251158486E-10 1.580851033E+07 6.025702834E-03 
