T file kT1 TDD TDD
330 001_330 35.134 1.000000E+10 0.000000E+0
330 002_330 35.134 1.468000E+10 0.000000E+0
330 003_330 35.134 2.154000E+10 0.000000E+0
330 004_330 35.134 3.162000E+10 0.000000E+0
330 005_330 35.134 4.642000E+10 0.000000E+0
330 006_330 35.134 6.813000E+10 0.000000E+0
330 007_330 35.134 1.000000E+11 0.000000E+0
330 008_330 35.134 1.468000E+11 0.000000E+0
330 009_330 35.134 2.154000E+11 0.000000E+0
330 010_330 35.134 3.162000E+11 0.000000E+0
330 011_330 35.134 4.642000E+11 0.000000E+0
330 012_330 35.134 6.813000E+11 0.000000E+0
330 013_330 35.134 1.000000E+12 0.000000E+0
330 014_330 35.134 1.468000E+12 0.000000E+0
330 015_330 35.134 2.154000E+12 0.000000E+0
330 016_330 35.134 3.162000E+12 0.000000E+0
330 017_330 35.134 4.642000E+12 0.000000E+0
330 018_330 35.134 6.813000E+12 0.000000E+0
330 019_330 35.134 1.000000E+13 0.000000E+0
