N_B Fe100 Fe140 Fe210 Fe310 Fe460 Fe680 Fe101 Fe141 Fe211 Fe311 Fe461 Fe681 Fe102 Fe142 Fe212 Fe312 Fe462 Fe682 Fe103
Fe 1.000000000E+01 1.016672606E+01 1.033324570E+01 1.049996187E+01 1.066670514E+01 1.083333839E+01 1.100000000E+01 1.116672606E+01 1.133324570E+01 1.149996187E+01 1.166670514E+01 1.183333839E+01 1.200000000E+01 1.216672606E+01 1.233324570E+01 1.249996187E+01 1.266670514E+01 1.283333839E+01 1.300000000E+01
1.500000000E+01 2.976419300E-02 2.961524300E-02 2.939867300E-02 2.908516800E-02 2.863423700E-02 2.799166200E-02 2.708829500E-02 2.584282300E-02 2.417303900E-02 2.202162100E-02 1.940061300E-02 1.644725500E-02 1.346018600E-02 1.085663400E-02 9.009675000E-03 8.034383000E-03 7.722644000E-03 7.726933000E-03 7.795610000E-03
1.600000000E+01 -3.038889200E-02 -2.984472300E-02 -2.906074200E-02 -2.794085600E-02 -2.636093600E-02 -2.417128500E-02 -2.121256100E-02 -1.735463000E-02 -1.256424700E-02 -6.991876000E-03 -1.027625000E-03 4.750050000E-03 9.769578000E-03 1.370571100E-02 1.657581700E-02 1.862618600E-02 2.013983100E-02 2.132032200E-02 2.227884500E-02
1.700000000E+01 1.156205300E-01 1.139498490E-01 1.116558650E-01 1.085896720E-01 1.046179900E-01 9.972599600E-02 9.404243400E-02 8.787052100E-02 8.164949300E-02 7.584539000E-02 7.082491000E-02 6.678011400E-02 6.373098400E-02 6.158208800E-02 6.018909900E-02 5.942004700E-02 5.898484400E-02 5.901318600E-02 5.942839000E-02
1.549996187E+01 -1.396762720E-01 -1.399867130E-01 -1.404377690E-01 -1.410900360E-01 -1.420268520E-01 -1.433590860E-01 -1.452267410E-01 -1.477921050E-01 -1.512158180E-01 -1.556063630E-01 -1.609410140E-01 -1.669814480E-01 -1.714141290E-01 -1.375724850E-01 -1.104863630E-01 -9.010609500E-02 -7.473801200E-02 -6.265480700E-02 -5.277899100E-02
1.649996187E+01 6.643712400E-02 6.616482600E-02 6.577593900E-02 6.522720600E-02 6.446619800E-02 6.343607600E-02 6.208704600E-02 6.039673500E-02 5.839579300E-02 5.618733600E-02 5.394190500E-02 5.185774600E-02 5.010053300E-02 4.875647800E-02 4.782506000E-02 4.724780700E-02 4.694885100E-02 4.686306100E-02 4.694409300E-02
1.674996808E+01 9.330780600E-02 9.252990600E-02 9.143513000E-02 8.992235200E-02 8.788436500E-02 8.523172000E-02 8.193246900E-02 7.805870400E-02 7.381678700E-02 6.952879500E-02 6.555271800E-02 6.217515400E-02 5.953728900E-02 5.763290000E-02 5.636236600E-02 5.559782600E-02 5.522596800E-02 5.512482000E-02 5.522212300E-02
1.624993176E+01 3.135747800E-02 3.143167600E-02 3.153777700E-02 3.168771200E-02 3.189602900E-02 3.217813500E-02 3.254668300E-02 3.300407900E-02 3.353226500E-02 3.408435300E-02 3.458831300E-02 3.497241000E-02 3.520418200E-02 3.531225100E-02 3.536660100E-02 3.543410200E-02 3.554948300E-02 3.571771700E-02 3.593047700E-02
1.574996808E+01 -1.612216570E-01 -1.598627030E-01 -1.578958040E-01 -1.550673990E-01 -1.510387570E-01 -1.453796780E-01 -1.375887710E-01 -1.271693350E-01 -1.137958060E-01 -9.758116000E-02 -7.935885400E-02 -6.073947400E-02 -4.367682700E-02 -2.964655800E-02 -1.905478100E-02 -1.137075300E-02 -5.725684000E-03 -1.404839000E-03 2.030629000E-03
1.524993176E+01 9.924886000E-03 9.855797000E-03 9.755702000E-03 9.611555000E-03 9.405793000E-03 9.115805000E-03 8.714598000E-03 8.174058000E-03 7.472796000E-03 6.610055000E-03 5.623718000E-03 -1.094801900E-02 -3.303621600E-02 -5.567653700E-02 -7.626857300E-02 -9.270229500E-02 -1.042544620E-01 -1.115055270E-01 -1.155269520E-01
