name time T kT_1 I
00 14:25:38 285.7 40.58 5.550E+002
00 14:40:36 288 40.26 5.550E+002
00 14:48:02 290 39.98 5.550E+002
00 14:55:58 294.2 39.41 5.550E+002
00 15:04:08 299.2 38.75 5.550E+002
001 15:12:40 304.4 38.09 5.550E+002
001 15:19:50 309.4 37.47 5.550E+002
001 15:27:04 314.4 36.88 5.550E+002
001 15:34:54 319.5 36.29 5.550E+002
001 15:42:48 323.8 35.81 5.550E+002
002 15:51:06 330.5 35.08 5.550E+002
002 15:58:34 335.2 34.59 5.550E+002
002 16:07:06 341.2 33.98 5.550E+002
002 16:14:26 345.3 33.58 5.550E+002
002 16:22:34 348.9 33.23 5.550E+002
