T d154 d184 d214 d244
d 150 180 210 240
290 1.420879200E-02 1.451399300E-02 1.536441900E-02 1.593981100E-02
295 1.169460500E-02 1.211758800E-02 1.292394400E-02 1.348314600E-02
300 5.951345000E-03 6.117194000E-03 6.902258000E-03 7.567516000E-03
305 -6.322177000E-03 -6.524568000E-03 -5.724334000E-03 -4.806007000E-03
310 -3.087491700E-02 -3.158588200E-02 -3.056909600E-02 -2.898221400E-02
315 -7.727371500E-02 -7.745941800E-02 -7.585712100E-02 -7.281555700E-02
320 -1.520531900E-01 -1.526365800E-01 -1.495075380E-01 -1.446847090E-01
325 -1.601622170E-01 -1.554930020E-01 -1.515581940E-01 -1.484107430E-01
330 -1.101855540E-01 -1.016232320E-01 -9.515130800E-02 -9.050106700E-02
335 -1.477540300E-02 -9.973710000E-04 5.623718000E-03 5.144776000E-03
340 1.170778100E-02 1.080949900E-02 9.845506000E-03 8.921641000E-03
