T d154 d184 d214 d244
d 150 180 210 240
290 3.334392600E-02 3.265375900E-02 3.204777300E-02 3.084882300E-02
295 3.232372200E-02 3.181923300E-02 3.134432700E-02 3.029066000E-02
300 3.156221700E-02 3.124066800E-02 3.089497100E-02 2.992462200E-02
305 3.127029300E-02 3.105576300E-02 3.038182800E-02 2.993789900E-02
310 3.055626800E-02 3.042017100E-02 2.985737400E-02 2.950780000E-02
315 2.929492700E-02 2.929215500E-02 2.882494700E-02 2.856683300E-02
320 2.728731700E-02 2.738737200E-02 2.710991100E-02 2.691547300E-02
325 2.277188800E-02 2.295534900E-02 2.284078700E-02 2.278906700E-02
330 1.425928500E-02 1.450051500E-02 1.343863100E-02 1.493143400E-02
335 -7.593340000E-04 -4.647820000E-04 -1.027625000E-03 1.044426000E-03
340 -2.785994300E-02 -2.738510900E-02 -2.707464500E-02 -2.391907800E-02
