N_Fe N_B T n_Fe n_Fe_SRH
1.000000E+10 5.623e+16 305 1.171599293E+00 1.208099438E+00
1.468000E+10 5.623e+16 305 1.176577386E+00 1.208107875E+00
2.154000E+10 5.623e+16 305 1.180150095E+00 1.208120011E+00
3.162000E+10 5.623e+16 305 1.186707474E+00 1.208137739E+00
4.642000E+10 5.623e+16 305 1.188546576E+00 1.208163404E+00
6.813000E+10 5.623e+16 305 1.193723772E+00 1.208200332E+00
1.000000E+11 5.623e+16 305 1.196286456E+00 1.208253328E+00
1.468000E+11 5.623e+16 305 1.196990651E+00 1.208328440E+00
2.154000E+11 5.623e+16 305 1.198125924E+00 1.208433258E+00
3.162000E+11 5.623e+16 305 1.205190457E+00 1.208576652E+00
4.642000E+11 5.623e+16 305 1.208296125E+00 1.208767155E+00
6.813000E+11 5.623e+16 305 1.208691170E+00 1.209011145E+00
1.000000E+12 5.623e+16 305 1.209092024E+00 1.209309139E+00
1.468000E+12 5.623e+16 305 1.209506135E+00 1.209653325E+00
2.154000E+12 5.623e+16 305 1.209868785E+00 1.209968133E+00
3.162000E+12 5.623e+16 305 1.210394995E+00 1.210461230E+00
4.642000E+12 5.623e+16 305 1.220316746E+00 1.221542526E+00
6.813000E+12 5.623e+16 305 1.221879827E+00 1.221913254E+00
1.000000E+13 5.623e+16 305 1.222203312E+00 1.222225967E+00
