fname time Tem kT_1 I01 n1 Rsh1 I02 n2 Rsh2 Rs Iph Voc Isc FF Pm Vm Im rmsre 
00L1 26008 298.98 38.779 2.344320488E-12 1.947903857E+00 3.357161353E+04 7.027209810E-05 4.128017909E+00 2.691030955E+03 0.000000000E+00 5.512851215E-05 4.354553886E-01 5.257822341E-05 5.116889733E-01 1.171535990E-05 3.037125460E-01 3.857425172E-05 4.342178061E+00 
00L2 26552 300.01 38.646 2.287298613E-11 2.184647439E+00 3.988360364E+04 7.555331182E-05 3.403520813E+00 2.488108078E+03 0.000000000E+00 5.429978909E-05 4.355582466E-01 5.236327031E-05 5.156137310E-01 1.175973343E-05 3.044055876E-01 3.863117175E-05 2.656843442E+00 
00L3 27088 301.02 38.516 1.874391783E-11 2.147430271E+00 3.813055480E+04 7.602474316E-05 3.429338345E+00 2.356925628E+03 0.000000000E+00 5.445245719E-05 4.345953018E-01 5.243642584E-05 5.173879880E-01 1.179056048E-05 3.039149584E-01 3.879578775E-05 4.084915924E+00 
00L4 27620 302.03 38.388 6.473816967E-12 2.014832069E+00 3.620995517E+04 8.325133204E-05 3.978026353E+00 2.329063562E+03 0.000000000E+00 5.469053438E-05 4.329990921E-01 5.246705981E-05 5.168670261E-01 1.174228292E-05 3.033244507E-01 3.871199775E-05 4.280637165E+00 
00L5 28222 303.02 38.262 8.615723219E-12 2.020146293E+00 3.722466914E+04 8.620929773E-05 4.044586507E+00 2.214164185E+03 0.000000000E+00 5.447353051E-05 4.316935028E-01 5.244668299E-05 5.185731001E-01 1.174095770E-05 3.035138475E-01 3.868360745E-05 5.706880052E+00 
00L6 28746 304.02 38.136 8.443850369E-12 2.008640924E+00 3.704117712E+04 9.011474348E-05 3.898654757E+00 2.113417577E+03 0.000000000E+00 5.444523157E-05 4.296519974E-01 5.240951061E-05 5.195241217E-01 1.169856672E-05 3.009768188E-01 3.886851338E-05 3.769124816E+00 
00L7 29356 305.01 38.013 5.857419551E-12 1.953438912E+00 3.642832016E+04 9.694574222E-05 4.302619771E+00 2.054212070E+03 0.000000000E+00 5.442304415E-05 4.274977333E-01 5.230130461E-05 5.232591522E-01 1.169938874E-05 3.015828405E-01 3.879322551E-05 5.916694838E+00 
00L8 29972 306.03 37.886 9.055446031E-12 2.004959099E+00 3.773383982E+04 1.110120789E-04 4.478476834E+00 2.015206840E+03 0.000000000E+00 5.435980719E-05 4.264345245E-01 5.223005990E-05 5.226534352E-01 1.164090356E-05 3.009109646E-01 3.868564196E-05 4.065897751E+00 
00L9 30604 307.03 37.762 1.347667730E-11 2.029092740E+00 3.833139064E+04 1.153692079E-04 4.377705968E+00 1.917235623E+03 0.000000000E+00 5.426951080E-05 4.247049629E-01 5.221424805E-05 5.219338241E-01 1.157422195E-05 2.995355143E-01 3.863925389E-05 5.854535054E+00 
0L10 31234 308.04 37.639 2.351592848E-11 2.069072599E+00 4.042261230E+04 1.176784408E-04 4.045830919E+00 1.803581950E+03 0.000000000E+00 5.390424545E-05 4.236364609E-01 5.201213532E-05 5.260923117E-01 1.159204264E-05 2.981949507E-01 3.887382429E-05 3.763836744E+00 
