Model	MSEn	MRE	MedRE	R2	BestVar
ExpRf1p360e15EfC	0.22315	0.27127	0.22827	0.44466	Var1
ExpGb1p360e15EfC	0.23803	0.2708	0.2113	0.52225	Var1
ExpXg1p360e15EfC	0.63892	0.17037	0.14967	0.88156	Var1
Exp1p360e15EfC	0.41786	0.14281	0.09727	0.94216	Var1
ExpSv1p360e15EfC	0.63096	0.17419	0.16046	0.89836	Var1
ExpRf1p360e15EfP	0.27424	0.2074	0.12647	0.54798	Var1
ExpGb1p360e15EfP	0.31605	0.19105	0.14883	0.64589	Var1
ExpXg1p360e15EfP	0.62449	0.16332	0.15066	0.90039	Var1
Exp1p360e15EfP	0.40554	0.13603	0.0937	0.85576	Var1
ExpSv1p360e15EfP	0.63543	0.17537	0.16172	0.8937	Var1
ExpRf1p360e15RsC	0.21181	0.48678	0.31478	0.36094	Var1
ExpGb1p360e15RsC	0.22129	0.48468	0.20203	0.42847	Var1
ExpXg1p360e15RsC	0.21595	0.50836	0.26384	0.3935	Var1
Exp1p360e15RsC	0.19888	0.24313	0.17025	0.72182	Var1
ExpSv1p360e15RsC	0.1961	1.29569	0.48484	-5.80545	Var1
ExpRf1p360e15RsP	0.24023	0.22225	0.09266	0.42953	Var1
ExpGb1p360e15RsP	0.25472	0.2094	0.08476	0.49321	Var1
ExpXg1p360e15RsP	0.96965	5.33042	0.29792	-5.29744	Var1
Exp1p360e15RsP	0.224	0.23455	0.13825	0.48591	Var1
ExpSv1p360e15RsP	1.06344	3.67545	0.25667	-3.33596	Var1
ExpRf1p360e15MbC	0.26538	0.18061	0.07636	0.57956	Var1
ExpGb1p360e15MbC	0.26152	0.19644	0.07732	0.56998	Var1
ExpXg1p360e15MbC	0.44656	0.1474	0.11756	0.96697	Var1
Exp1p360e15MbC	0.34682	0.36623	0.39206	0.58202	Var1
ExpSv1p360e15MbC	0.30384	0.21669	0.12668	0.62133	Var1
ExpRf1p360e15YOL	0.12203	0.34818	0.26424	0.17304	Var1
ExpGb1p360e15YOL	0.14682	0.34526	0.29181	0.20827	Var1
ExpXg1p360e15YOL	0.35953	0.30571	0.22685	0.88813	Var1
Exp1p360e15YOL	0.27663	0.32901	0.29289	0.45753	Var1
ExpSv1p360e15YOL	0.29061	0.2778	0.28087	0.60005	Var1
ExpRf1p360e15MbP	0.20919	0.2521	0.11141	0.37342	Var1
ExpGb1p360e15MbP	0.20793	0.2535	0.11949	0.39607	Var1
ExpXg1p360e15MbP	0.22716	0.1482	0.08402	0.96547	Var1
Exp1p360e15MbP	0.26931	0.1494	0.09887	0.91681	Var1
ExpSv1p360e15MbP	0.2291	0.15516	0.09145	0.96314	Var1
ExpRf1p360e15XcC	0.207	0.25408	0.18017	0.37182	Var1
ExpGb1p360e15XcC	0.18625	0.28054	0.20334	0.37168	Var1
ExpXg1p360e15XcC	0.43512	0.21108	0.18972	0.77915	Var1
Exp1p360e15XcC	0.31836	0.2077	0.14501	0.78214	Var1
ExpSv1p360e15XcC	0.32053	0.20333	0.15665	0.76394	Var1
ExpRf1p360e15XcP	0.21317	0.24006	0.12323	0.39057	Var1
ExpGb1p360e15XcP	0.2208	0.23788	0.11033	0.41331	Var1
ExpXg1p360e15XcP	0.42839	0.15012	0.11139	0.90659	Var1
Exp1p360e15XcP	0.35904	0.19757	0.1731	0.78677	Var1
ExpSv1p360e15XcP	0.48557	0.17041	0.1595	0.85294	Var1
ExpRf1p360e15NNC	0.29537	0.22817	0.12554	0.66259	Var1
ExpGb1p360e15NNC	0.31536	0.22571	0.09836	0.67369	Var1
ExpXg1p360e15NNC	0.39636	0.1729	0.17648	0.88784	Var1
Exp1p360e15NNC	0.36408	0.15687	0.08888	0.81275	Var1
ExpSv1p360e15NNC	0.40263	0.18255	0.12703	0.90682	Var1
ExpRf1p360e15NNP	0.27494	0.18503	0.07719	0.54149	Var1
ExpGb1p360e15NNP	0.28348	0.19131	0.10096	0.56291	Var1
ExpXg1p360e15NNP	1.93746	17.40529	0.24222	-5.16486	Var1
Exp1p360e15NNP	0.23704	0.23224	0.14513	0.2771	Var1
ExpSv1p360e15NNP	2.74105	15.53159	0.25959	-4.01168	Var1
ExpRf1p360e15YOL2	0.16457	0.34278	0.26865	0.19632	Var1
ExpGb1p360e15YOL2	0.18003	0.33209	0.23075	0.24758	Var1
ExpXg1p360e15YOL2	0.34586	0.23375	0.25652	0.81826	Var1
Exp1p360e15YOL2	0.32369	0.25772	0.26888	0.64957	Var1
ExpSv1p360e15YOL2	0.28845	0.24061	0.22352	0.63473	Var1
ExpSv1p360e15YOfl	0.30202	0.28964	0.29438	0.6365	Var1
ExpSv1p360e15YOfl2	0.29848	0.21739	0.14953	0.66081	Var1
ExpRf1p360e15EfPp	0.30562	0.22483	0.20039	0.56838	Var1
ExpGb1p360e15EfPp	0.36573	0.16787	0.10841	0.70064	Var1
ExpXg1p360e15EfPp	0.6494	0.19729	0.1881	0.87539	Var1
Exp1p360e15EfPp	0.41897	0.16148	0.13492	0.83331	Var1
