Model	MSEn	MRE	MedRE	R2	BestVar
TestXg1p360e15EfC	0.00111	0.0721	0.0592	0.99068	Var1
Test1p360e15EfC	0.00679	0.1436	0.10233	0.98058	Var1
TestSv1p360e15EfC	0.00347	0.13496	0.1299	0.96353	Var1
TestXg1p360e15EfP	0.00134	0.078	0.06752	0.98593	Var1
Test1p360e15EfP	6.58077E-4	0.05899	0.04831	0.99591	Var1
TestSv1p360e15EfP	0.00177	0.09107	0.0814	0.98206	Var1
TestXg1p360e15RsC	0.00929	0.22454	0.20635	0.84844	Var1
Test1p360e15RsC	0.01666	0.26661	0.24621	0.98662	Var1
TestSv1p360e15RsC	0.0921	1.47134	0.57895	-16.43188	Var1
TestXg1p360e15RsP	0.00173	0.0928	0.07768	0.98593	Var1
Test1p360e15RsP	0.00225	0.09281	0.07058	0.97466	Var1
TestSv1p360e15RsP	0.00171	0.09554	0.07625	0.94712	Var1
TestXg1p360e15MbC	0.00309	0.11903	0.08784	0.84974	Var1
Test1p360e15MbC	0.03704	0.47605	0.47366	0.89605	Var1
TestSv1p360e15MbC	0.00157	0.08708	0.09473	0.98102	Var1
TestXg1p360e15YOL	0.03304	0.33361	0.31604	0.80657	Var1
Test1p360e15YOL	0.02386	0.23866	0.19695	0.97102	Var1
TestSv1p360e15YOL	0.01355	0.18714	0.15701	0.96988	Var1
TestXg1p360e15MbP	0.00121	0.07869	0.05365	0.97263	Var1
Test1p360e15MbP	0.00274	0.11207	0.09372	0.9733	Var1
TestSv1p360e15MbP	0.00154	0.08069	0.08694	0.97637	Var1
TestXg1p360e15XcC	0.0025	0.11494	0.10018	0.9876	Var1
Test1p360e15XcC	0.00176	0.09817	0.10306	0.98377	Var1
TestSv1p360e15XcC	0.00173	0.09522	0.08811	0.9892	Var1
TestXg1p360e15XcP	0.001	0.07987	0.07675	0.98191	Var1
Test1p360e15XcP	0.00111	0.08697	0.09332	0.99493	Var1
TestSv1p360e15XcP	0.00135	0.09603	0.09714	0.97035	Var1
TestXg1p360e15NNC	0.00118	0.07837	0.07555	0.98908	Var1
Test1p360e15NNC	0.00175	0.08058	0.06743	0.99948	Var1
TestSv1p360e15NNC	0.00304	0.09258	0.04878	0.8814	Var1
TestXg1p360e15NNP	7.70296E-4	0.06194	0.05118	0.9865	Var1
Test1p360e15NNP	0.00167	0.08833	0.08468	0.99268	Var1
TestSv1p360e15NNP	6.98683E-4	0.05818	0.05417	0.98749	Var1
TestXg1p360e15YOL2	0.02279	0.23965	0.19358	0.95175	Var1
Test1p360e15YOL2	0.02762	0.1664	0.06953	0.98426	Var1
TestSv1p360e15YOL2	0.01638	0.173	0.11589	0.97955	Var1
TestSv1p360e15YOfl	0.01535	0.2455	0.25176	0.91402	Var1
TestSv1p360e15YOfl2	0.0096	0.14746	0.13128	0.96552	Var1
TestXg1p360e15EfPp	0.00148	0.08623	0.07104	0.95196	Var1
Test1p360e15EfPp	8.50051E-4	0.05957	0.0368	0.99719	Var1
TestSv1p360e15EfPp	0.00129	0.08616	0.07816	0.95726	Var1
TestXg1p360e15YOflp	0.07721	0.55487	0.40547	0.27967	Var1
Test1p360e15YOflp	0.01148	0.19866	0.13819	0.98557	Var1
TestSv1p360e15YOflp	0.00984	0.15437	0.10115	0.99659	Var1
TestXg1p360e15MbPp	0.00221	0.10592	0.10172	0.98543	Var1
Test1p360e15MbPp	0.00328	0.12089	0.09715	0.98718	Var1
TestSv1p360e15MbPp	0.00203	0.0987	0.09383	0.99079	Var1
TestXg1p360e15NNCp	0.01099	0.22917	0.13716	0.96378	Var1
Test1p360e15NNCp	0.00108	0.08369	0.09534	0.98709	Var1
TestSv1p360e15NNCp	0.00292	0.10261	0.0452	0.99915	Var1
TestXg1p360e15YOfl2p	0.05144	0.38598	0.28447	0.71541	Var1
Test1p360e15YOfl2p	0.00563	0.13184	0.08524	0.98177	Var1
TestSv1p360e15YOfl2p	0.01046	0.12768	0.0621	0.99808	Var1
TestRf1p360e15MbPp	0.01035	0.22573	0.22295	0.86036	Var1
TestGb1p360e15MbPp	0.00878	0.22691	0.23054	0.89535	Var1
TestRf1p360e15NNCp	0.00908	0.23398	0.19394	0.9135	Var1
TestGb1p360e15NNCp	0.00831	0.23036	0.19777	0.91392	Var1
TestRf1p360e15YOfl2p	0.03711	0.26624	0.20231	0.84924	Var1
TestGb1p360e15YOfl2p	0.02398	0.22596	0.14919	0.84825	Var1
TestRf1p360e15EfPp	0.01021	0.20231	0.15728	0.92924	Var1
TestGb1p360e15EfPp	0.00218	0.10829	0.12356	0.98603	Var1
TestRf1p360e15YOflp	0.03344	0.41527	0.327	0.54367	Var1
TestGb1p360e15YOflp	0.02806	0.30809	0.31542	0.52287	Var1
TestRf1p360e15EfC	0.00583	0.18291	0.16654	0.91488	Var1
TestGb1p360e15EfC	0.00727	0.17955	0.15306	0.89452	Var1
TestRf1p360e15EfP	0.00381	0.14624	0.1317	0.96851	Var1
TestGb1p360e15EfP	0.00412	0.1376	0.0884	0.96165	Var1
TestRf1p360e15RsC	0.01128	0.1973	0.19152	0.94683	Var1
TestGb1p360e15RsC	0.01365	0.18066	0.13798	0.91321	Var1
TestRf1p360e15RsP	0.00272	0.10287	0.07966	0.95503	Var1
TestGb1p360e15RsP	0.00357	0.13805	0.11492	0.97773	Var1
TestRf1p360e15MbC	0.00683	0.17137	0.14534	0.94233	Var1
TestGb1p360e15MbC	0.00675	0.18448	0.18138	0.92965	Var1
TestRf1p360e15YOL	0.02804	0.35919	0.39873	0.63521	Var1
TestGb1p360e15YOL	0.01785	0.29787	0.29594	0.75162	Var1
TestRf1p360e15MbP	0.00534	0.16506	0.16003	0.93887	Var1
TestGb1p360e15MbP	0.00454	0.15044	0.12064	0.97398	Var1
TestRf1p360e15XcC	0.00374	0.14204	0.14726	0.93976	Var1
TestGb1p360e15XcC	0.00642	0.15803	0.16071	0.8909	Var1
TestRf1p360e15XcP	0.00289	0.11321	0.07798	0.94208	Var1
TestGb1p360e15XcP	0.00305	0.11227	0.0579	0.95645	Var1
TestRf1p360e15NNC	0.00218	0.08429	0.06465	0.99302	Var1
TestGb1p360e15NNC	0.00588	0.16039	0.15059	0.98689	Var1
TestRf1p360e15NNP	0.00263	0.10948	0.10084	0.97898	Var1
TestGb1p360e15NNP	0.00198	0.09979	0.09156	0.98496	Var1
TestRf1p360e15YOL2	0.01941	0.31753	0.27992	0.79264	Var1
TestGb1p360e15YOL2	0.02173	0.29546	0.29824	0.85481	Var1
