Model	MSEn	MRE	MedRE	R2	BestVar
ExpTestSv1p360e15YOfl2	0.05308	0.24939	0.1292	0.93952	Var1
ExpTestSv1p360e15YOfl	0.0373	0.23327	0.11596	0.97512	Var1
ExpTestRf1p360e15EfC	0.04309	0.26493	0.19356	0.86705	Var1
ExpTestGb1p360e15EfC	0.03444	0.23697	0.17412	0.91893	Var1
ExpTestXg1p360e15EfC	0.02203	0.17665	0.11302	0.99014	Var1
ExpTest1p360e15EfC	0.01302	0.13814	0.11825	0.98552	Var1
ExpTestSv1p360e15EfC	0.019	0.17	0.14287	0.97305	Var1
ExpTestRf1p360e15EfP	0.03913	0.23467	0.17673	0.89706	Var1
ExpTestGb1p360e15EfP	0.02499	0.18892	0.12926	0.93827	Var1
ExpTestXg1p360e15EfP	0.01872	0.16454	0.12186	0.98383	Var1
ExpTest1p360e15EfP	0.02777	0.17029	0.08289	0.99046	Var1
ExpTestSv1p360e15EfP	0.01977	0.17365	0.14052	0.97063	Var1
ExpTestRf1p360e15RsC	0.08068	0.41163	0.29129	0.87922	Var1
ExpTestGb1p360e15RsC	0.07215	0.34982	0.22891	0.91992	Var1
ExpTestXg1p360e15RsC	0.08862	0.36139	0.27473	0.87063	Var1
ExpTest1p360e15RsC	0.06889	0.34911	0.17246	0.95886	Var1
ExpTestSv1p360e15RsC	0.17966	0.59811	0.39634	0.50954	Var1
ExpTestRf1p360e15RsP	0.05611	0.28564	0.18064	0.94059	Var1
ExpTestGb1p360e15RsP	0.05102	0.27341	0.14813	0.95092	Var1
ExpTestXg1p360e15RsP	0.02699	0.16176	0.04373	0.99886	Var1
ExpTest1p360e15RsP	0.02615	0.17612	0.08386	0.99202	Var1
ExpTestSv1p360e15RsP	0.02708	0.16269	0.04819	0.99663	Var1
ExpTestRf1p360e15MbC	0.07074	0.33681	0.14466	0.94567	Var1
ExpTestGb1p360e15MbC	0.06588	0.31762	0.16228	0.93532	Var1
ExpTestXg1p360e15MbC	0.02874	0.21992	0.1838	0.95783	Var1
ExpTest1p360e15MbC	0.08538	0.39496	0.25285	0.90425	Var1
ExpTestSv1p360e15MbC	0.02305	0.16712	0.08259	0.98008	Var1
ExpTestRf1p360e15YOL	0.18456	0.66613	0.36327	0.72709	Var1
ExpTestGb1p360e15YOL	0.20043	0.73246	0.35198	0.73509	Var1
ExpTestXg1p360e15YOL	0.07746	0.37932	0.20268	0.9425	Var1
ExpTest1p360e15YOL	0.08066	0.36414	0.23835	0.87534	Var1
ExpTestSv1p360e15YOL	0.07063	0.31931	0.16717	0.93947	Var1
ExpTestRf1p360e15MbP	0.07563	0.36172	0.19497	0.92965	Var1
ExpTestGb1p360e15MbP	0.06997	0.32942	0.1846	0.93831	Var1
ExpTestXg1p360e15MbP	0.01955	0.16571	0.09112	0.9763	Var1
