Model MSEn MRE MedRE R2
ExpRf1p360e15EfC 2.231497e-01 2.712703e-01 2.282682e-01 4.446594e-01
ExpGb1p360e15EfC 2.380301e-01 2.707967e-01 2.113029e-01 5.222480e-01
ExpXg1p360e15EfC 6.389191e-01 1.703687e-01 1.496660e-01 8.815578e-01
Exp1p360e15EfC 4.178649e-01 1.428137e-01 9.727397e-02 9.421589e-01
ExpSv1p360e15EfC 6.309571e-01 1.741933e-01 1.604557e-01 8.983571e-01
ExpRf1p360e15EfP 2.742421e-01 2.074046e-01 1.264669e-01 5.479810e-01
ExpGb1p360e15EfP 3.160547e-01 1.910491e-01 1.488259e-01 6.458926e-01
ExpXg1p360e15EfP 6.244902e-01 1.633177e-01 1.506648e-01 9.003938e-01
Exp1p360e15EfP 4.055411e-01 1.360316e-01 9.370223e-02 8.557634e-01
ExpSv1p360e15EfP 6.354272e-01 1.753707e-01 1.617224e-01 8.937022e-01
ExpRf1p360e15RsC 2.118145e-01 4.867849e-01 3.147842e-01 3.609388e-01
ExpGb1p360e15RsC 2.212903e-01 4.846799e-01 2.020293e-01 4.284727e-01
ExpXg1p360e15RsC 2.159496e-01 5.083595e-01 2.638409e-01 3.935012e-01
Exp1p360e15RsC 1.988794e-01 2.431272e-01 1.702498e-01 7.218248e-01
ExpSv1p360e15RsC 1.961031e-01 1.295688e+00 4.848403e-01 -5.805446e+00
ExpRf1p360e15RsP 2.402330e-01 2.222481e-01 9.266458e-02 4.295279e-01
ExpGb1p360e15RsP 2.547184e-01 2.093952e-01 8.475569e-02 4.932068e-01
ExpXg1p360e15RsP 9.696481e-01 5.330424e+00 2.979226e-01 -5.297441e+00
Exp1p360e15RsP 2.239953e-01 2.345516e-01 1.382492e-01 4.859124e-01
ExpSv1p360e15RsP 1.063436e+00 3.675453e+00 2.566669e-01 -3.335965e+00
ExpRf1p360e15MbC 2.653820e-01 1.806067e-01 7.636358e-02 5.795590e-01
ExpGb1p360e15MbC 2.615169e-01 1.964443e-01 7.732184e-02 5.699771e-01
ExpXg1p360e15MbC 4.465628e-01 1.473986e-01 1.175618e-01 9.669744e-01
Exp1p360e15MbC 3.468179e-01 3.662324e-01 3.920612e-01 5.820170e-01
ExpSv1p360e15MbC 3.038435e-01 2.166906e-01 1.266829e-01 6.213281e-01
ExpRf1p360e15YOL 1.220251e-01 3.481840e-01 2.642447e-01 1.730401e-01
ExpGb1p360e15YOL 1.468166e-01 3.452630e-01 2.918066e-01 2.082696e-01
ExpXg1p360e15YOL 3.595269e-01 3.057108e-01 2.268535e-01 8.881335e-01
Exp1p360e15YOL 2.766280e-01 3.290063e-01 2.928937e-01 4.575273e-01
ExpSv1p360e15YOL 2.906058e-01 2.778000e-01 2.808712e-01 6.000491e-01
ExpRf1p360e15MbP 2.091899e-01 2.521032e-01 1.114138e-01 3.734218e-01
ExpGb1p360e15MbP 2.079310e-01 2.534952e-01 1.194920e-01 3.960689e-01
ExpXg1p360e15MbP 2.271610e-01 1.481963e-01 8.402406e-02 9.654658e-01
Exp1p360e15MbP 2.693051e-01 1.494030e-01 9.886729e-02 9.168053e-01
ExpSv1p360e15MbP 2.290993e-01 1.551574e-01 9.145307e-02 9.631361e-01
ExpRf1p360e15XcC 2.070030e-01 2.540764e-01 1.801741e-01 3.718220e-01
ExpGb1p360e15XcC 1.862471e-01 2.805396e-01 2.033357e-01 3.716777e-01
ExpXg1p360e15XcC 4.351208e-01 2.110780e-01 1.897166e-01 7.791546e-01
Exp1p360e15XcC 3.183593e-01 2.077015e-01 1.450132e-01 7.821355e-01
ExpSv1p360e15XcC 3.205331e-01 2.033344e-01 1.566454e-01 7.639425e-01
ExpRf1p360e15XcP 2.131658e-01 2.400646e-01 1.232327e-01 3.905706e-01
ExpGb1p360e15XcP 2.208048e-01 2.378840e-01 1.103274e-01 4.133085e-01
ExpXg1p360e15XcP 4.283879e-01 1.501216e-01 1.113861e-01 9.065895e-01
Exp1p360e15XcP 3.590368e-01 1.975737e-01 1.731038e-01 7.867658e-01
ExpSv1p360e15XcP 4.855658e-01 1.704085e-01 1.594968e-01 8.529448e-01
ExpRf1p360e15NNC 2.953651e-01 2.281744e-01 1.255402e-01 6.625917e-01
ExpGb1p360e15NNC 3.153571e-01 2.257140e-01 9.836376e-02 6.736937e-01
ExpXg1p360e15NNC 3.963639e-01 1.729007e-01 1.764792e-01 8.878447e-01
Exp1p360e15NNC 3.640753e-01 1.568739e-01 8.888285e-02 8.127491e-01
ExpSv1p360e15NNC 4.026304e-01 1.825454e-01 1.270267e-01 9.068181e-01
ExpRf1p360e15NNP 2.749399e-01 1.850271e-01 7.718620e-02 5.414925e-01
ExpGb1p360e15NNP 2.834832e-01 1.913143e-01 1.009567e-01 5.629120e-01
ExpXg1p360e15NNP 1.937461e+00 1.740529e+01 2.422225e-01 -5.164859e+00
Exp1p360e15NNP 2.370429e-01 2.322398e-01 1.451290e-01 2.771026e-01
ExpSv1p360e15NNP 2.741051e+00 1.553159e+01 2.595901e-01 -4.011685e+00
ExpRf1p360e15YOL2 1.645710e-01 3.427798e-01 2.686531e-01 1.963201e-01
ExpGb1p360e15YOL2 1.800296e-01 3.320866e-01 2.307513e-01 2.475751e-01
ExpXg1p360e15YOL2 3.458577e-01 2.337504e-01 2.565219e-01 8.182618e-01
Exp1p360e15YOL2 3.236901e-01 2.577192e-01 2.688752e-01 6.495707e-01
ExpSv1p360e15YOL2 2.884471e-01 2.406102e-01 2.235189e-01 6.347285e-01
ExpSv1p360e15YOfl 3.020181e-01 2.896351e-01 2.943826e-01 6.364982e-01
ExpSv1p360e15YOfl2 2.984776e-01 2.173889e-01 1.495319e-01 6.608144e-01
ExpRf1p360e15EfPp 3.056221e-01 2.248321e-01 2.003872e-01 5.683831e-01
ExpGb1p360e15EfPp 3.657262e-01 1.678746e-01 1.084091e-01 7.006417e-01
ExpXg1p360e15EfPp 6.494026e-01 1.972886e-01 1.880967e-01 8.753854e-01
Exp1p360e15EfPp 4.189679e-01 1.614822e-01 1.349181e-01 8.333078e-01
ExpSv1p360e15EfPp 6.367505e-01 1.867379e-01 1.766673e-01 8.984519e-01
ExpRf1p360e15YOflp 1.693242e-01 6.788220e-01 4.051977e-01 2.161836e-01
ExpGb1p360e15YOflp 1.361514e-01 4.642899e-01 4.205556e-01 3.170984e-01
ExpXg1p360e15YOflp 1.518400e-01 5.011647e-01 4.425165e-01 1.901691e-01
Exp1p360e15YOflp 3.565604e-01 3.031314e-01 2.489008e-01 6.642862e-01
ExpSv1p360e15YOflp 3.192610e-01 2.506042e-01 2.428972e-01 6.374688e-01
ExpRf1p360e15MbPp 2.193729e-01 2.397328e-01 1.626989e-01 4.183780e-01
ExpGb1p360e15MbPp 2.093021e-01 2.524944e-01 1.793044e-01 4.621607e-01
ExpXg1p360e15MbPp 2.320512e-01 1.459315e-01 8.287769e-02 9.621735e-01
Exp1p360e15MbPp 2.318736e-01 3.166184e-01 3.133520e-01 5.086484e-01
ExpSv1p360e15MbPp 2.786109e-01 1.528621e-01 8.042819e-02 9.597730e-01
ExpRf1p360e15NNCp 2.223925e-01 2.667899e-01 2.184376e-01 4.791475e-01
ExpGb1p360e15NNCp 2.540997e-01 2.443557e-01 1.579221e-01 6.153340e-01
ExpXg1p360e15NNCp 3.619026e-01 2.199553e-01 1.760296e-01 8.621615e-01
Exp1p360e15NNCp 3.221679e-01 1.643146e-01 8.671846e-02 7.034419e-01
ExpSv1p360e15NNCp 3.124874e-01 1.779941e-01 1.227498e-01 6.303994e-01
ExpRf1p360e15YOfl2p 1.482301e-01 2.829609e-01 2.806193e-01 3.621254e-01
ExpGb1p360e15YOfl2p 1.581893e-01 2.952862e-01 2.397849e-01 3.589031e-01
ExpXg1p360e15YOfl2p 9.044063e-02 3.650601e-01 3.335492e-01 1.347575e-01
Exp1p360e15YOfl2p 3.575039e-01 2.552164e-01 2.177552e-01 6.517065e-01
ExpSv1p360e15YOfl2p 3.344081e-01 2.264391e-01 1.797592e-01 6.669254e-01
