Ytrue Ypred RelError Label
1.780000e+11 1.582504e+11 1.109527e-01 SC2973
2.150000e+11 2.274417e+12 9.578686e+00 SC312v2
2.670000e+11 2.920785e+11 9.392703e-02 SC312v6
7.090000e+12 6.800857e+12 4.078175e-02 SC3132v3
3.870000e+12 4.304026e+12 1.121515e-01 SC3132v5
1.910000e+12 2.265256e+12 1.859979e-01 SC3152v1
3.100000e+12 3.120392e+12 6.578163e-03 SC3152v3
3.630000e+11 3.453344e+12 8.513345e+00 SC320v10
4.500000e+11 3.843984e+13 8.442187e+01 SC320v7
1.940000e+11 5.845772e+12 2.913284e+01 SC3252v1
1.170000e+11 6.013140e+11 4.139436e+00 SC3383v1
9.310000e+11 1.174679e+12 2.617389e-01 SC3383v2
8.780000e+12 1.171345e+13 3.341062e-01 SC3411v10
7.570000e+12 1.838560e+13 1.428745e+00 SC3411v9
7.170000e+11 9.041254e+11 2.609838e-01 SC342v1
5.310000e+12 1.052912e+13 9.828857e-01 SC3491v2
7.230000e+12 1.207329e+13 6.698882e-01 SC3492v1
1.630000e+13 2.467611e+13 5.138715e-01 SC3501v6
1.600000e+13 4.885591e+13 2.053494e+00 SC3501v9
9.880000e+12 4.592471e+13 3.648250e+00 SC3502v10
1.520000e+13 3.301695e+13 1.172168e+00 SC3502v8
1.440000e+13 3.161030e+11 9.780484e-01 SC3503
1.490000e+12 1.691481e+12 1.352222e-01 SC3753v2
3.000000e+12 3.333729e+12 1.112429e-01 SC3753v5
3.200000e+12 3.114387e+12 2.675411e-02 SC3753v7
4.480000e+12 5.202920e+12 1.613660e-01 SC4023v2
7.210000e+12 7.726382e+12 7.162031e-02 SC4023v3
2.070000e+12 2.287209e+12 1.049319e-01 SC4023v5
